parameter,value1,value2,value3,value4,value5,value6,value7,value8
subsample,0.47009098174634656,0.94362223354692,0.9969204043266121,0.5189303626722119,0.08930339512110316,0.569074290579248,0.729388696953114,0.778945174238608
subsample_for_bin,332025,127883,192030,500000,282302,283465,377863,384435
subsample_freq,0,0,0,0,0,0,0,0
verbose,1,0,0,0,0,0,0,0
best_score,1.0,0.5923673541336153,0.6032963158822492,0.6032081790939537,0.6082319760267936,0.6143134144191786,0.5976555614313415,0.6140490040542922
best_index,48.0,14.0,2.0,46.0,38.0,24.0,48.0,49.0
acc_train,0.6195652173913043,0.7065217391304348,0.6847826086956522,0.8532608695652174,0.9456521739130435,0.7282608695652174,0.7391304347826086,0.75
acc_val,0.5531914893617021,0.5957446808510638,0.6382978723404256,0.5957446808510638,0.5531914893617021,0.6595744680851063,0.6170212765957447,0.6595744680851063
acc_test,0.4482758620689655,0.5517241379310345,0.6206896551724138,0.5689655172413793,0.5517241379310345,0.5344827586206896,0.5,0.5862068965517241
precision,1.0,0.7333333333333333,0.7619047619047619,0.6428571428571429,0.5897435897435898,0.6666666666666666,0.5833333333333334,0.6956521739130435
recall,0.030303030303030304,0.3333333333333333,0.48484848484848486,0.5454545454545454,0.696969696969697,0.36363636363636365,0.42424242424242425,0.48484848484848486
f1score,0.05882352941176471,0.45833333333333326,0.5925925925925926,0.5901639344262296,0.638888888888889,0.4705882352941177,0.4912280701754386,0.5714285714285715
roc,0.5151515151515151,0.5866666666666666,0.6424242424242425,0.5727272727272728,0.5284848484848486,0.5618181818181818,0.5121212121212122,0.6024242424242424
tn,25.0,21.0,20.0,15.0,9.0,19.0,15.0,18.0
fp,0.0,4.0,5.0,10.0,16.0,6.0,10.0,7.0
fn,32.0,22.0,17.0,15.0,10.0,21.0,19.0,17.0
tp,1.0,11.0,16.0,18.0,23.0,12.0,14.0,16.0
acc_test1,0.3684210526315789,0.5789473684210527,0.7368421052631579,0.5789473684210527,0.5263157894736842,0.47368421052631576,0.47368421052631576,0.631578947368421
precision1,0.0,1.0,1.0,0.75,0.6153846153846154,0.6666666666666666,0.625,0.7777777777777778
recall1,0.0,0.3333333333333333,0.5833333333333334,0.5,0.6666666666666666,0.3333333333333333,0.4166666666666667,0.5833333333333334
f1score1,0.0,0.5,0.7368421052631579,0.6,0.64,0.4444444444444444,0.5,0.6666666666666666
roc1,0.5,0.6666666666666666,0.7916666666666667,0.6071428571428571,0.47619047619047616,0.5238095238095237,0.49404761904761907,0.648809523809524
tn1,7.0,7.0,7.0,5.0,2.0,5.0,4.0,5.0
fp1,0.0,0.0,0.0,2.0,5.0,2.0,3.0,2.0
fn1,12.0,8.0,5.0,6.0,4.0,8.0,7.0,5.0
tp1,0.0,4.0,7.0,6.0,8.0,4.0,5.0,7.0
acc_test2,0.3684210526315789,0.5263157894736842,0.5263157894736842,0.5789473684210527,0.5789473684210527,0.5263157894736842,0.47368421052631576,0.5263157894736842
precision2,1.0,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334
recall2,0.07692307692307693,0.38461538461538464,0.38461538461538464,0.5384615384615384,0.7692307692307693,0.38461538461538464,0.46153846153846156,0.38461538461538464
f1score2,0.14285714285714288,0.5263157894736842,0.5263157894736842,0.6363636363636364,0.7142857142857142,0.5263157894736842,0.5454545454545455,0.5263157894736842
roc2,0.5384615384615384,0.608974358974359,0.608974358974359,0.6025641025641026,0.46794871794871795,0.608974358974359,0.48076923076923084,0.608974358974359
tn2,6.0,5.0,5.0,4.0,1.0,5.0,3.0,5.0
fp2,0.0,1.0,1.0,2.0,5.0,1.0,3.0,1.0
fn2,12.0,8.0,8.0,6.0,3.0,8.0,7.0,8.0
tp2,1.0,5.0,5.0,7.0,10.0,5.0,6.0,5.0
acc_test3,0.6,0.55,0.6,0.55,0.55,0.6,0.55,0.6
precision3,0.0,0.4,0.5,0.45454545454545453,0.45454545454545453,0.5,0.42857142857142855,0.5
recall3,0.0,0.25,0.5,0.625,0.625,0.375,0.375,0.5
f1score3,0.0,0.3076923076923077,0.5,0.5263157894736842,0.5263157894736842,0.42857142857142855,0.39999999999999997,0.5
roc3,0.5,0.5,0.5833333333333334,0.5625,0.5625,0.5625,0.5208333333333334,0.5833333333333334
tn3,12.0,9.0,8.0,6.0,6.0,9.0,8.0,8.0
fp3,0.0,3.0,4.0,6.0,6.0,3.0,4.0,4.0
fn3,8.0,6.0,4.0,3.0,3.0,5.0,5.0,4.0
tp3,0.0,2.0,4.0,5.0,5.0,3.0,3.0,4.0
