parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9
precision,0.6875,0.7391304347826086,0.6666666666666666,0.75,0.75,0.75,0.75,0.75,0.7368421052631579
recall,0.6111111111111112,0.6071428571428571,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.75,0.5
f1score,0.6470588235294118,0.6666666666666666,0.6153846153846153,0.6923076923076924,0.6923076923076924,0.6923076923076924,0.6923076923076924,0.75,0.5957446808510638
roc,0.5423976608187134,0.636904761904762,0.5634920634920635,0.6547619047619049,0.6547619047619049,0.6547619047619049,0.6547619047619049,0.6805555555555557,0.611111111111111
tn,9.0,12.0,10.0,12.0,12.0,12.0,12.0,11.0,13.0
fp,10.0,6.0,8.0,6.0,6.0,6.0,6.0,7.0,5.0
fn,14.0,11.0,12.0,10.0,10.0,10.0,10.0,7.0,14.0
tp,22.0,17.0,16.0,18.0,18.0,18.0,18.0,21.0,14.0
acc_test1,0.5555555555555556,0.6,0.6,0.6,0.6,0.6,0.6,0.6666666666666666,0.5333333333333333
precision1,0.7777777777777778,0.6666666666666666,0.7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6666666666666666
recall1,0.5384615384615384,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.6
f1score1,0.6363636363636364,0.7272727272727272,0.7,0.7272727272727272,0.7272727272727272,0.7272727272727272,0.7272727272727272,0.761904761904762,0.631578947368421
roc1,0.5692307692307692,0.5,0.55,0.5,0.5,0.5,0.5,0.6000000000000001,0.5
tn1,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0
fp1,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0
fn1,6.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0
tp1,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0
acc_test2,0.5555555555555556,0.6,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.7333333333333333
precision2,0.6363636363636364,0.75,0.5714285714285714,0.8,0.8,0.8,0.8,0.8571428571428571,1.0
recall2,0.6363636363636364,0.375,0.5,0.5,0.5,0.5,0.5,0.75,0.5
f1score2,0.6363636363636364,0.5,0.5333333333333333,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.7999999999999999,0.6666666666666666
roc2,0.5324675324675324,0.6160714285714286,0.5357142857142857,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.8035714285714286,0.75
tn2,3.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,7.0
fp2,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0
fn2,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0
tp2,7.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0
acc_test3,0.5789473684210527,0.6875,0.5625,0.6875,0.6875,0.6875,0.6875,0.625,0.5
precision3,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7,0.6666666666666666
recall3,0.6666666666666666,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.4
f1score3,0.6666666666666666,0.7058823529411764,0.588235294117647,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.7058823529411764,0.7,0.5
roc3,0.5476190476190477,0.7166666666666668,0.5833333333333334,0.7166666666666668,0.7166666666666668,0.7166666666666668,0.7166666666666668,0.6,0.5333333333333333
tn3,3.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0
fp3,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0
fn3,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,6.0
tp3,8.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0,4.0
