parameter,value2,value4,value5,value6,value7,value8,value9,value14,value15,value16,value19,value21,value22,value23,value24
fn2,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0
fn3,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
fp,4.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0
fp1,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
fp2,1.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0
fp3,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
iterations,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20
learning_rate,0.0007007988503825381,0.0027489451641867055,0.0010532748240661071,0.0007889540653915104,0.0008804604510248291,0.0010532748240661071,0.0010532748240661071,0.0008804604510248291,0.0008804604510248291,0.0008804604510248291,0.0010532748240661071,0.0010532748240661071,0.003,0.0027489451641867055,0.0027489451641867055
max_depth,-1,-1,-1,29,34,19,19,34,34,34,19,19,50,43,43
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,20,17,15,20,20,15,15,20,20,20,10,10,10,14,14
min_child_weight,0.001,0.001,0.001,2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1174,1048,1059,1426,1318,1059,1059,1318,1318,1318,1059,1059,1500,1048,1048
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,110,110,110,110,110,110,80,80,80,80,80,80,80,110,80
num_leaves,8,7,7,9,5,7,7,5,5,5,7,7,10,7,7
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
precision,0.6666666666666666,0.6,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6153846153846154,0.6153846153846154,0.625,0.6,0.5625
precision1,0.6666666666666666,0.8,0.8,0.7142857142857143,0.7142857142857143,0.625,0.625,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.75,0.5714285714285714,0.5714285714285714
precision2,0.6666666666666666,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.25
precision3,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.8
random_state,,,,,,,,,,,,,,,
recall,0.36363636363636365,0.4090909090909091,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.4090909090909091,0.4090909090909091
recall1,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.6,0.4,0.4
recall2,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285
recall3,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.8
reg_alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,3
reg_lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,4
roc,0.6077441077441078,0.5934343434343434,0.6077441077441078,0.5707070707070708,0.5707070707070708,0.5707070707070708,0.5707070707070708,0.5707070707070708,0.5707070707070708,0.5707070707070708,0.5892255892255893,0.5892255892255893,0.6161616161616161,0.5934343434343434,0.5749158249158248
roc1,0.5333333333333333,0.6166666666666667,0.6166666666666667,0.5833333333333334,0.5833333333333334,0.5,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.44999999999999996,0.44999999999999996,0.6333333333333334,0.44999999999999996,0.44999999999999996
roc2,0.5873015873015872,0.5317460317460316,0.5317460317460316,0.40476190476190477,0.40476190476190477,0.5158730158730158,0.5158730158730158,0.40476190476190477,0.40476190476190477,0.40476190476190477,0.5873015873015872,0.5873015873015872,0.4761904761904762,0.4603174603174603,0.40476190476190477
roc3,0.6583333333333333,0.675,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6166666666666667,0.6166666666666667,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.8583333333333333,0.8583333333333333
scale_pos_weight,,,,,,,,1.09,1.09,1.09,,,,,
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.5930070264428381,0.6336020558163782,0.7697045536001489,0.029649078936835577,0.5544643023916863,0.7697045536001489,0.7697045536001489,0.13556548021189216,0.13556548021189216,0.13556548021189216,0.7697045536001489,0.7697045536001489,0.8986230590398824,0.7691228483798597,0.7691228483798597
subsample_for_bin,325840,496918,277761,194589,150734,277761,277761,171234,171234,171234,277761,277761,100000,255410,255410
subsample_freq,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
tn,23.0,21.0,23.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,21.0,21.0,20.0
tn1,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0
tn2,8.0,7.0,7.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,8.0,8.0,6.0,7.0,6.0
tn3,11.0,9.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
tp,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0
tp1,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,4.0,4.0
tp2,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
tp3,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0
verbose,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
