parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12
best_score,0.7638888888888888,0.6313131313131314,0.7422222222222222,0.7279176201372998,0.7238095238095239,0.755980861244019,0.755980861244019,0.6875,0.7115009746588695,0.7083333333333334,0.706547619047619,0.7638888888888888
best_index,47.0,36.0,31.0,17.0,34.0,37.0,37.0,39.0,24.0,26.0,10.0,47.0
acc_train,0.6565656565656566,0.7272727272727273,0.6565656565656566,0.6818181818181818,0.6414141414141414,0.6919191919191919,0.6919191919191919,0.696969696969697,0.6212121212121212,0.6818181818181818,0.6212121212121212,0.6565656565656566
acc_val,0.54,0.7,0.54,0.58,0.5,0.58,0.58,0.5,0.54,0.56,0.52,0.54
acc_test,0.6031746031746031,0.5238095238095238,0.5396825396825397,0.5555555555555556,0.5873015873015873,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6031746031746031
precision,0.8,0.4642857142857143,0.42857142857142855,0.5,0.75,0.5714285714285714,0.5714285714285714,0.6,0.6666666666666666,0.5714285714285714,0.6,0.8
recall,0.14285714285714285,0.4642857142857143,0.10714285714285714,0.17857142857142858,0.10714285714285714,0.14285714285714285,0.14285714285714285,0.10714285714285714,0.07142857142857142,0.14285714285714285,0.10714285714285714,0.14285714285714285
f1score,0.24242424242424243,0.4642857142857143,0.17142857142857143,0.2631578947368421,0.1875,0.2285714285714286,0.2285714285714286,0.18181818181818182,0.12903225806451613,0.2285714285714286,0.18181818181818182,0.24242424242424243
roc,0.5571428571428572,0.5178571428571429,0.49642857142857144,0.5178571428571429,0.5392857142857143,0.5285714285714285,0.5285714285714285,0.525,0.5214285714285715,0.5285714285714285,0.525,0.5571428571428572
tn,34.0,20.0,31.0,30.0,34.0,32.0,32.0,33.0,34.0,32.0,33.0,34.0
fp,1.0,15.0,4.0,5.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0
fn,24.0,15.0,25.0,23.0,25.0,24.0,24.0,25.0,26.0,24.0,25.0,24.0
tp,4.0,13.0,3.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0
acc_test1,0.5714285714285714,0.5238095238095238,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6190476190476191,0.5714285714285714,0.5714285714285714,0.5714285714285714
precision1,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recall1,0.1,0.4,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
f1score1,0.18181818181818182,0.4444444444444445,0.18181818181818182,0.30769230769230765,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.33333333333333337,0.18181818181818182,0.18181818181818182,0.18181818181818182
roc1,0.55,0.5181818181818182,0.55,0.5545454545454545,0.55,0.55,0.55,0.55,0.6,0.55,0.55,0.55
tn1,11.0,7.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
fp1,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fn1,9.0,6.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0
tp1,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
acc_test2,0.5714285714285714,0.42857142857142855,0.47619047619047616,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.47619047619047616,0.42857142857142855,0.5238095238095238,0.47619047619047616,0.5714285714285714
precision2,1.0,0.5,0.6666666666666666,0.6,1.0,0.75,0.75,0.6666666666666666,0.0,0.75,0.6666666666666666,1.0
recall2,0.25,0.4166666666666667,0.16666666666666666,0.25,0.16666666666666666,0.25,0.25,0.16666666666666666,0.0,0.25,0.16666666666666666,0.25
f1score2,0.4,0.45454545454545453,0.26666666666666666,0.35294117647058826,0.2857142857142857,0.375,0.375,0.26666666666666666,0.0,0.375,0.26666666666666666,0.4
roc2,0.625,0.4305555555555556,0.5277777777777778,0.5138888888888888,0.5833333333333334,0.5694444444444444,0.5694444444444444,0.5277777777777778,0.5,0.5694444444444444,0.5277777777777778,0.625
tn2,9.0,4.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0
fp2,0.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
fn2,9.0,7.0,10.0,9.0,10.0,9.0,9.0,10.0,12.0,9.0,10.0,9.0
tp2,3.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,2.0,3.0
acc_test3,0.6666666666666666,0.6190476190476191,0.5714285714285714,0.6190476190476191,0.6666666666666666,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.6666666666666666
precision3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recall3,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1score3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roc3,0.4666666666666667,0.6333333333333333,0.4,0.43333333333333335,0.4666666666666667,0.43333333333333335,0.43333333333333335,0.4666666666666667,0.4666666666666667,0.43333333333333335,0.4666666666666667,0.4666666666666667
tn3,14.0,9.0,12.0,13.0,14.0,13.0,13.0,14.0,14.0,13.0,14.0,14.0
fp3,1.0,6.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0
fn3,6.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
tp3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
