parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6
best_index,18.0,29.0,29.0,22.0,6.0,28.0
acc_train,1.0,0.6536964980544747,0.6536964980544747,0.7003891050583657,0.7354085603112841,0.6575875486381323
acc_val,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.47368421052631576,0.3157894736842105,0.3157894736842105
acc_test,0.5,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.4090909090909091,0.45454545454545453
train_precision,1.0,0.9705882352941176,0.9705882352941176,0.9230769230769231,0.7912087912087912,0.6542056074766355
train_tn,136.0,135.0,135.0,132.0,117.0,99.0
train_fp,0.0,1.0,1.0,4.0,19.0,37.0
train_fn,0.0,88.0,88.0,73.0,49.0,51.0
train_tp,121.0,33.0,33.0,48.0,72.0,70.0
val_precision,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.25,0.14285714285714285,0.14285714285714285
val_tn,6.0,9.0,9.0,8.0,5.0,5.0
val_fp,5.0,2.0,2.0,3.0,6.0,6.0
val_fn,4.0,7.0,7.0,7.0,7.0,7.0
val_tp,4.0,1.0,1.0,1.0,1.0,1.0
test_precision,0.7777777777777778,0.0,0.0,0.5,1.0,0.75
recall,0.4375,0.0,0.0,0.0625,0.1875,0.375
f1score,0.56,0.0,0.0,0.1111111111111111,0.3157894736842105,0.5
roc,0.5520833333333334,0.5,0.5,0.4479166666666667,0.59375,0.5208333333333334
test_tn,4.0,6.0,6.0,5.0,6.0,4.0
test_fp,2.0,0.0,0.0,1.0,0.0,2.0
test_fn,9.0,16.0,16.0,15.0,13.0,10.0
test_tp,7.0,0.0,0.0,1.0,3.0,6.0
