parameter,value4,value6,value7,value8,value9,value10,value11,value12,value14,value15,value16,value17
verbose,1,1,1,1,1,1,1,1,1,1,1,1
boost_from_average,False,False,False,False,False,False,True,False,False,True,True,False
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true
max_bin,784,100,792,563,599,599,835,599,599,559,510,230
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,0.7000000000000002,0.6000000000000001,0.7000000000000002,0.8000000000000003,0.8000000000000003,0.8000000000000003,0.7000000000000002,0.8000000000000003,0.8000000000000003,0.6000000000000001,0.6000000000000001,0.2
cv,5,3,3,5,5,10,7,7,7,7,7,3
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,110,110,110,110,110,110
iterations,50,50,50,50,10,10,20,20,10,20,20,70
best_score,0.7157203907203907,0.7205882352941176,0.6529157117392411,0.6794480519480519,0.6571969696969696,0.6695238095238094,0.7356009070294786,0.6472222222222221,0.6472222222222221,0.6738095238095239,0.673992673992674,0.8888888888888888
best_index,13.0,37.0,46.0,23.0,2.0,2.0,18.0,2.0,2.0,11.0,5.0,69.0
acc_train,0.6666666666666666,0.75,0.7552083333333334,0.6875,0.6979166666666666,0.6979166666666666,0.7552083333333334,0.6927083333333334,0.6927083333333334,0.7760416666666666,0.8958333333333334,0.640625
acc_val,0.6041666666666666,0.5625,0.5416666666666666,0.625,0.6041666666666666,0.6041666666666666,0.5416666666666666,0.6041666666666666,0.6041666666666666,0.5208333333333334,0.5625,0.5625
acc_test,0.6666666666666666,0.6833333333333333,0.7166666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7166666666666667,0.6666666666666666,0.6666666666666666,0.6,0.6166666666666667,0.65
precision,0.5833333333333334,0.7142857142857143,0.6923076923076923,0.5625,0.5625,0.5625,0.7777777777777778,0.5625,0.5625,0.42857142857142855,0.45454545454545453,1.0
recall,0.3181818181818182,0.22727272727272727,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.3181818181818182,0.4090909090909091,0.4090909090909091,0.2727272727272727,0.22727272727272727,0.045454545454545456
f1score,0.4117647058823529,0.3448275862068965,0.5142857142857142,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.45161290322580644,0.47368421052631576,0.47368421052631576,0.33333333333333326,0.30303030303030304,0.08695652173913045
roc,0.5933014354066986,0.5873205741626795,0.6519138755980862,0.6124401913875598,0.6124401913875598,0.6124401913875598,0.6327751196172249,0.6124401913875598,0.6124401913875598,0.5311004784688995,0.534688995215311,0.5227272727272727
tn,33.0,36.0,34.0,31.0,31.0,31.0,36.0,31.0,31.0,30.0,32.0,38.0
fp,5.0,2.0,4.0,7.0,7.0,7.0,2.0,7.0,7.0,8.0,6.0,0.0
fn,15.0,17.0,13.0,13.0,13.0,13.0,15.0,13.0,13.0,16.0,17.0,21.0
tp,7.0,5.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,6.0,5.0,1.0
acc_test1,0.6,0.6,0.65,0.6,0.6,0.6,0.65,0.6,0.6,0.5,0.55,0.55
precision1,0.6,1.0,0.75,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.5,0.0
recall1,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0
f1score1,0.42857142857142855,0.19999999999999998,0.46153846153846156,0.5,0.5,0.5,0.3636363636363636,0.5,0.5,0.16666666666666666,0.1818181818181818,0.0
roc1,0.5757575757575757,0.5555555555555556,0.6212121212121211,0.5858585858585859,0.5858585858585859,0.5858585858585859,0.6111111111111112,0.5858585858585859,0.5858585858585859,0.46464646464646464,0.5101010101010102,0.5
tn1,9.0,11.0,10.0,8.0,8.0,8.0,11.0,8.0,8.0,9.0,10.0,11.0
fp1,2.0,0.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,1.0,0.0
fn1,6.0,8.0,6.0,5.0,5.0,5.0,7.0,5.0,5.0,8.0,8.0,9.0
tp1,3.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,0.0
acc_test2,0.75,0.85,0.85,0.8,0.8,0.8,0.85,0.8,0.8,0.75,0.75,0.75
precision2,0.5,0.75,0.6666666666666666,0.6,0.6,0.6,0.75,0.6,0.6,0.5,0.5,0.0
recall2,0.4,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.0
f1score2,0.4444444444444445,0.6666666666666665,0.7272727272727272,0.6,0.6,0.6,0.6666666666666665,0.6,0.6,0.5454545454545454,0.5454545454545454,0.0
roc2,0.6333333333333333,0.7666666666666667,0.8333333333333334,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.7666666666666667,0.7333333333333334,0.7333333333333334,0.7000000000000002,0.7000000000000002,0.5
tn2,13.0,14.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,12.0,12.0,15.0
fp2,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0
fn2,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0
tp2,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0
acc_test3,0.65,0.6,0.65,0.6,0.6,0.6,0.65,0.6,0.6,0.55,0.55,0.65
precision3,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.4,0.3333333333333333,1.0
recall3,0.25,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0.125
f1score3,0.36363636363636365,0.2,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.18181818181818182,0.2222222222222222
roc3,0.5833333333333333,0.5208333333333334,0.5833333333333333,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5833333333333333,0.5416666666666667,0.5416666666666667,0.5,0.4791666666666667,0.5625
tn3,11.0,11.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,10.0,12.0
fp3,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0
fn3,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0
tp3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
