parameter,value1,value2,value3,value4,value5,value6,value7,value12,value13,value14
acc_test,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.5333333333333333,0.5166666666666667,0.6666666666666666,0.7166666666666667,0.7166666666666667,0.6666666666666666,0.6666666666666666
precision,0.0,0.0,1.0,0.425,0.4146341463414634,0.6666666666666666,0.7777777777777778,0.7777777777777778,1.0,1.0
recall,0.0,0.0,0.09090909090909091,0.7727272727272727,0.7727272727272727,0.18181818181818182,0.3181818181818182,0.3181818181818182,0.09090909090909091,0.09090909090909091
f1score,0.0,0.0,0.16666666666666669,0.5483870967741935,0.5396825396825397,0.28571428571428575,0.45161290322580644,0.45161290322580644,0.16666666666666669,0.16666666666666669
roc,0.5,0.5,0.5454545454545454,0.5837320574162679,0.5705741626794258,0.5645933014354068,0.6327751196172249,0.6327751196172249,0.5454545454545454,0.5454545454545454
tn,38.0,38.0,38.0,15.0,14.0,36.0,36.0,36.0,38.0,38.0
fp,0.0,0.0,0.0,23.0,24.0,2.0,2.0,2.0,0.0,0.0
fn,22.0,22.0,20.0,5.0,5.0,18.0,15.0,15.0,20.0,20.0
tp,0.0,0.0,2.0,17.0,17.0,4.0,7.0,7.0,2.0,2.0
acc_test1,0.55,0.55,0.55,0.65,0.65,0.6,0.65,0.65,0.6,0.6
precision1,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,1.0
recall1,0.0,0.0,0.0,0.7777777777777778,0.7777777777777778,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111
f1score1,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.19999999999999998,0.3636363636363636,0.3636363636363636,0.19999999999999998,0.19999999999999998
roc1,0.5,0.5,0.5,0.6616161616161615,0.6616161616161615,0.5555555555555556,0.6111111111111112,0.6111111111111112,0.5555555555555556,0.5555555555555556
tn1,11.0,11.0,11.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0
fp1,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
fn1,9.0,9.0,9.0,2.0,2.0,8.0,7.0,7.0,8.0,8.0
tp1,0.0,0.0,0.0,7.0,7.0,1.0,2.0,2.0,1.0,1.0
acc_test2,0.75,0.75,0.85,0.5,0.45,0.75,0.85,0.85,0.8,0.8
precision2,0.0,0.0,1.0,0.3076923076923077,0.2857142857142857,0.5,0.75,0.75,1.0,1.0
recall2,0.0,0.0,0.4,0.8,0.8,0.4,0.6,0.6,0.2,0.2
f1score2,0.0,0.0,0.5714285714285715,0.4444444444444444,0.4210526315789473,0.4444444444444445,0.6666666666666665,0.6666666666666665,0.33333333333333337,0.33333333333333337
roc2,0.5,0.5,0.7,0.6000000000000001,0.5666666666666667,0.6333333333333333,0.7666666666666667,0.7666666666666667,0.6,0.6
tn2,15.0,15.0,15.0,6.0,5.0,13.0,14.0,14.0,15.0,15.0
fp2,0.0,0.0,0.0,9.0,10.0,2.0,1.0,1.0,0.0,0.0
fn2,5.0,5.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0
tp2,0.0,0.0,2.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0
acc_test3,0.6,0.6,0.6,0.45,0.45,0.65,0.65,0.65,0.6,0.6
precision3,0.0,0.0,0.0,0.4,0.4,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0
recall3,0.0,0.0,0.0,0.75,0.75,0.125,0.25,0.25,0.0,0.0
f1score3,0.0,0.0,0.0,0.5217391304347827,0.5217391304347827,0.2222222222222222,0.36363636363636365,0.36363636363636365,0.0,0.0
roc3,0.5,0.5,0.5,0.5,0.5,0.5625,0.5833333333333333,0.5833333333333333,0.5,0.5
tn3,12.0,12.0,12.0,3.0,3.0,12.0,11.0,11.0,12.0,12.0
fp3,0.0,0.0,0.0,9.0,9.0,0.0,1.0,1.0,0.0,0.0
fn3,8.0,8.0,8.0,2.0,2.0,7.0,6.0,6.0,8.0,8.0
tp3,0.0,0.0,0.0,6.0,6.0,1.0,2.0,2.0,0.0,0.0
