parameter,value4,value6,value7,value8,value9,value10,value11,value12,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23
roc2,0.6333333333333333,0.7666666666666667,0.8333333333333334,0.7333333333333334,0.7333333333333334,0.7333333333333334,0.7666666666666667,0.7333333333333334,0.7333333333333334,0.7000000000000002,0.7000000000000002,0.5,0.5666666666666667,0.5,0.6333333333333334,0.5,0.4666666666666667,0.5
tn2,13.0,14.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,12.0,12.0,15.0,2.0,15.0,10.0,15.0,14.0,15.0
fp2,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,13.0,0.0,5.0,0.0,1.0,0.0
fn2,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.0,5.0,2.0,5.0,5.0,5.0
tp2,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0
acc_test3,0.65,0.6,0.65,0.6,0.6,0.6,0.65,0.6,0.6,0.55,0.55,0.65,0.4,0.6,0.45,0.6,0.55,0.6
precision3,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.4,0.3333333333333333,1.0,0.4,0.0,0.2,0.0,0.0,0.0
recall3,0.25,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.125,0.125,1.0,0.0,0.125,0.0,0.0,0.0
f1score3,0.36363636363636365,0.2,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.18181818181818182,0.2222222222222222,0.5714285714285715,0.0,0.15384615384615385,0.0,0.0,0.0
roc3,0.5833333333333333,0.5208333333333334,0.5833333333333333,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5833333333333333,0.5416666666666667,0.5416666666666667,0.5,0.4791666666666667,0.5625,0.5,0.5,0.39583333333333337,0.5,0.4583333333333333,0.5
tn3,11.0,11.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,10.0,12.0,0.0,12.0,8.0,12.0,11.0,12.0
fp3,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,12.0,0.0,4.0,0.0,1.0,0.0
fn3,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,0.0,8.0,7.0,8.0,8.0,8.0
tp3,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0
