parameter,value1,value2,value3,value4,value5,value6,value7,value8
f1score1,0.5,0.6,0.6,0.6,0.5454545454545454,0.6,0.5,0.6
roc1,0.4666666666666667,0.6333333333333334,0.6333333333333334,0.6333333333333334,0.55,0.6333333333333334,0.4666666666666667,0.6333333333333334
tn1,2.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0
fp1,4.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0
fn1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
tp1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
acc_test2,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.6363636363636364
precision2,0.2857142857142857,0.5,0.5,0.5,0.4,0.3333333333333333,0.16666666666666666,0.5
recall2,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5
f1score2,0.36363636363636365,0.5,0.5,0.5,0.4444444444444445,0.4,0.2,0.5
roc2,0.39285714285714285,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5357142857142857,0.4642857142857143,0.26785714285714285,0.6071428571428571
tn2,2.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0
fp2,5.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0
fn2,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
tp2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
acc_test3,0.5833333333333334,0.5,0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5
precision3,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.6,0.5,0.5
recall3,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666
f1score3,0.4444444444444444,0.25,0.25,0.25,0.4444444444444444,0.5454545454545454,0.25,0.25
roc3,0.5833333333333334,0.5,0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5
tn3,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
fp3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
fn3,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0
tp3,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0
