parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
f1score2,0.30769230769230765,0.33333333333333337,0.28571428571428575,0.4,0.37499999999999994,0.4,0.33333333333333337,0.33333333333333337,0.47058823529411764,0.4
roc2,0.5444444444444444,0.6,0.4888888888888889,0.5388888888888889,0.4833333333333334,0.5388888888888889,0.6,0.6,0.5333333333333333,0.5388888888888889
tn2,8.0,9.0,7.0,7.0,6.0,7.0,9.0,9.0,6.0,7.0
fp2,1.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0
fn2,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,6.0,7.0
tp2,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0
acc_test3,0.45,0.6,0.45,0.4,0.4,0.4,0.6,0.6,0.45,0.35
precision3,0.5,0.8,0.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.8,0.8,0.5,0.375
recall3,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.2727272727272727
f1score3,0.3529411764705882,0.5000000000000001,0.3529411764705882,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5000000000000001,0.5000000000000001,0.5217391304347826,0.3157894736842105
roc3,0.4696969696969698,0.6262626262626263,0.4696969696969698,0.4040404040404041,0.4040404040404041,0.4040404040404041,0.6262626262626263,0.6262626262626263,0.43939393939393945,0.35858585858585856
tn3,6.0,8.0,6.0,4.0,4.0,4.0,8.0,8.0,3.0,4.0
fp3,3.0,1.0,3.0,5.0,5.0,5.0,1.0,1.0,6.0,5.0
fn3,8.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,5.0,8.0
tp3,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,3.0
