parameter,value1,value2,value3,value4,value5,value6,value7,value8,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21
tn,25.0,26.0,21.0,22.0,21.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,21.0,23.0,19.0,23.0,23.0,23.0
fp,4.0,3.0,8.0,7.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,10.0,6.0,6.0,6.0
fn,27.0,26.0,18.0,19.0,18.0,19.0,19.0,19.0,17.0,21.0,23.0,22.0,22.0,17.0,18.0,21.0,16.0,23.0,17.0,17.0
tp,2.0,3.0,11.0,10.0,11.0,10.0,10.0,10.0,12.0,8.0,6.0,7.0,7.0,12.0,11.0,8.0,13.0,6.0,12.0,12.0
acc_test1,0.3684210526315789,0.42105263157894735,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.5263157894736842,0.47368421052631576,0.47368421052631576,0.631578947368421,0.631578947368421,0.5263157894736842,0.5263157894736842
precision1,0.5,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6,0.6,0.6,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.7272727272727273,1.0,0.7142857142857143,0.7142857142857143
recall1,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.25,0.25,0.25,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.4166666666666667
f1score1,0.14285714285714285,0.15384615384615385,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.5263157894736842,0.4444444444444444,0.4444444444444444,0.6956521739130435,0.5882352941176471,0.5263157894736842,0.5263157894736842
roc1,0.47023809523809523,0.5416666666666666,0.5654761904761906,0.5654761904761906,0.5654761904761906,0.5654761904761906,0.5654761904761906,0.5654761904761906,0.5654761904761906,0.5654761904761906,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.5654761904761906,0.5238095238095237,0.5238095238095237,0.619047619047619,0.7083333333333334,0.5654761904761906,0.5654761904761906
tn1,6.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,5.0,5.0
fp1,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0
fn1,11.0,11.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,7.0,8.0,8.0,4.0,7.0,7.0,7.0
tp1,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,8.0,5.0,5.0,5.0
acc_test2,0.5263157894736842,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.6842105263157895,0.5263157894736842,0.631578947368421,0.631578947368421,0.631578947368421,0.6842105263157895,0.6842105263157895,0.631578947368421,0.5789473684210527,0.47368421052631576,0.6842105263157895,0.6842105263157895
precision2,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.5,0.0,0.75,0.75
recall2,0.0,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.375,0.125,0.25,0.25,0.25,0.375,0.5,0.25,0.25,0.0,0.375,0.375
f1score2,0.0,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5,0.5714285714285715,0.36363636363636365,0.3333333333333333,0.0,0.5,0.5
roc2,0.45454545454545453,0.5170454545454546,0.5340909090909091,0.5340909090909091,0.5340909090909091,0.5340909090909091,0.5340909090909091,0.5340909090909091,0.6420454545454546,0.47159090909090906,0.5795454545454545,0.5795454545454545,0.5795454545454545,0.6420454545454546,0.659090909090909,0.5795454545454545,0.5340909090909091,0.40909090909090906,0.6420454545454546,0.6420454545454546
tn2,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0
fp2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
fn2,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,8.0,5.0,5.0
tp2,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,0.0,3.0,3.0
acc_test3,0.5,0.5,0.55,0.55,0.55,0.55,0.55,0.55,0.6,0.55,0.45,0.5,0.5,0.6,0.5,0.5,0.45,0.4,0.6,0.6
precision3,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5714285714285714,0.5,0.25,0.4,0.4,0.5714285714285714,0.42857142857142855,0.4,0.375,0.2,0.5714285714285714,0.5714285714285714
recall3,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.4444444444444444
f1score3,0.16666666666666666,0.16666666666666666,0.47058823529411764,0.4,0.47058823529411764,0.4,0.4,0.4,0.5,0.30769230769230765,0.15384615384615383,0.2857142857142857,0.2857142857142857,0.5,0.375,0.2857142857142857,0.35294117647058826,0.14285714285714285,0.5,0.5
roc3,0.46464646464646464,0.46464646464646464,0.5404040404040403,0.5303030303030303,0.5404040404040403,0.5303030303030303,0.5303030303030303,0.5303030303030303,0.5858585858585859,0.5202020202020202,0.4191919191919192,0.47474747474747475,0.47474747474747475,0.5858585858585859,0.4848484848484848,0.47474747474747475,0.43939393939393934,0.37373737373737376,0.5858585858585859,0.5858585858585859
tn3,9.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,7.0,8.0,8.0
fp3,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0
fn3,8.0,8.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,7.0,8.0,7.0,7.0,5.0,6.0,7.0,6.0,8.0,5.0,5.0
tp3,1.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,4.0
