parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13
roc,0.525,0.525,0.513095238095238,0.513095238095238,0.4238095238095238,0.4797619047619048,0.5226190476190476,0.46071428571428574,0.4583333333333333,0.5226190476190476,0.5261904761904761,0.5571428571428572,0.5571428571428572
tn,21.0,21.0,25.0,25.0,20.0,25.0,19.0,23.0,21.0,19.0,22.0,20.0,20.0
fp,7.0,7.0,3.0,3.0,8.0,3.0,9.0,5.0,7.0,9.0,6.0,8.0,8.0
fn,21.0,21.0,26.0,26.0,26.0,28.0,19.0,27.0,25.0,19.0,22.0,18.0,18.0
tp,9.0,9.0,4.0,4.0,4.0,2.0,11.0,3.0,5.0,11.0,8.0,12.0,12.0
acc_test1,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.3157894736842105,0.42105263157894735,0.47368421052631576,0.3684210526315789,0.3684210526315789,0.47368421052631576,0.42105263157894735,0.5263157894736842,0.5263157894736842
precision1,0.6666666666666666,0.6666666666666666,1.0,1.0,0.4,1.0,0.625,0.5,0.5,0.625,0.6,0.7142857142857143,0.7142857142857143
recall1,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.25,0.4166666666666667,0.4166666666666667
f1score1,0.4444444444444444,0.4444444444444444,0.2857142857142857,0.2857142857142857,0.23529411764705882,0.15384615384615385,0.5,0.14285714285714285,0.25,0.5,0.35294117647058826,0.5263157894736842,0.5263157894736842
roc1,0.5238095238095237,0.5238095238095237,0.5833333333333334,0.5833333333333334,0.369047619047619,0.5416666666666666,0.49404761904761907,0.47023809523809523,0.44047619047619047,0.49404761904761907,0.48214285714285715,0.5654761904761906,0.5654761904761906
tn1,5.0,5.0,7.0,7.0,4.0,7.0,4.0,6.0,5.0,4.0,5.0,5.0,5.0
fp1,2.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0
fn1,8.0,8.0,10.0,10.0,10.0,11.0,7.0,11.0,10.0,7.0,9.0,7.0,7.0
tp1,4.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,5.0,3.0,5.0,5.0
acc_test2,0.5789473684210527,0.5789473684210527,0.5263157894736842,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.631578947368421,0.631578947368421,0.631578947368421
precision2,0.6,0.6,0.5,0.5,0.3333333333333333,0.5,0.5714285714285714,0.3333333333333333,0.5,0.5714285714285714,0.75,0.625,0.625
recall2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.5555555555555556
f1score2,0.42857142857142855,0.42857142857142855,0.1818181818181818,0.1818181818181818,0.16666666666666666,0.1818181818181818,0.5,0.16666666666666666,0.30769230769230765,0.5,0.46153846153846156,0.5882352941176471,0.5882352941176471
roc2,0.5666666666666667,0.5666666666666667,0.5055555555555555,0.5055555555555555,0.4555555555555556,0.5055555555555555,0.5722222222222222,0.4555555555555556,0.5111111111111112,0.5722222222222222,0.6166666666666667,0.6277777777777778,0.6277777777777778
tn2,8.0,8.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,7.0,9.0,7.0,7.0
fp2,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0
fn2,6.0,6.0,8.0,8.0,8.0,8.0,5.0,8.0,7.0,5.0,6.0,4.0,4.0
tp2,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,3.0,5.0,5.0
acc_test3,0.5,0.5,0.5,0.5,0.45,0.45,0.5,0.5,0.45,0.5,0.5,0.5,0.5
precision3,0.4,0.4,0.3333333333333333,0.3333333333333333,0.25,0.0,0.4,0.3333333333333333,0.25,0.4,0.4,0.4,0.4
recall3,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
f1score3,0.2857142857142857,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.15384615384615383,0.0,0.2857142857142857,0.16666666666666666,0.15384615384615383,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
roc3,0.47474747474747475,0.47474747474747475,0.46464646464646464,0.46464646464646464,0.4191919191919192,0.40909090909090906,0.47474747474747475,0.46464646464646464,0.4191919191919192,0.47474747474747475,0.47474747474747475,0.47474747474747475,0.47474747474747475
tn3,8.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0
fp3,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
fn3,7.0,7.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0
tp3,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0
