parameter,value1,value2,value3,value4,value5,value6,value7,value8,value10,value11,value12,value13
precision2,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.3333333333333333,0.6666666666666666,0.6666666666666666
recall2,0.0,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.375,0.125,0.25,0.25
f1score2,0.0,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.18181818181818182,0.36363636363636365,0.36363636363636365
roc2,0.45454545454545453,0.5170454545454546,0.5340909090909091,0.5340909090909091,0.5340909090909091,0.5340909090909091,0.5340909090909091,0.5340909090909091,0.6420454545454546,0.47159090909090906,0.5795454545454545,0.5795454545454545
tn2,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0
fp2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
fn2,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,7.0,6.0,6.0
tp2,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0
acc_test3,0.5,0.5,0.55,0.55,0.55,0.55,0.55,0.55,0.6,0.55,0.45,0.5
precision3,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5714285714285714,0.5,0.25,0.4
recall3,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222
f1score3,0.16666666666666666,0.16666666666666666,0.47058823529411764,0.4,0.47058823529411764,0.4,0.4,0.4,0.5,0.30769230769230765,0.15384615384615383,0.2857142857142857
roc3,0.46464646464646464,0.46464646464646464,0.5404040404040403,0.5303030303030303,0.5404040404040403,0.5303030303030303,0.5303030303030303,0.5303030303030303,0.5858585858585859,0.5202020202020202,0.4191919191919192,0.47474747474747475
tn3,9.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0
fp3,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
fn3,8.0,8.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,7.0,8.0,7.0
tp3,1.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0
