parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
tp,1.0,5.0,6.0,10.0,8.0,8.0,4.0,9.0,9.0,2.0
acc_test1,0.3157894736842105,0.47368421052631576,0.42105263157894735,0.5263157894736842,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.5263157894736842,0.5263157894736842,0.2631578947368421
precision1,0.0,0.75,0.5714285714285714,0.6666666666666666,0.625,0.625,0.75,0.6666666666666666,0.6666666666666666,0.25
recall1,0.0,0.25,0.3333333333333333,0.5,0.4166666666666667,0.4166666666666667,0.25,0.5,0.5,0.08333333333333333
f1score1,0.0,0.375,0.4210526315789474,0.5714285714285715,0.5,0.5,0.375,0.5714285714285715,0.5714285714285715,0.125
roc1,0.4285714285714286,0.5535714285714287,0.45238095238095233,0.5357142857142857,0.49404761904761907,0.49404761904761907,0.5535714285714287,0.5357142857142857,0.5357142857142857,0.32738095238095233
tn1,6.0,6.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0
fp1,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0
fn1,12.0,9.0,8.0,6.0,7.0,7.0,9.0,6.0,6.0,11.0
tp1,0.0,3.0,4.0,6.0,5.0,5.0,3.0,6.0,6.0,1.0
acc_test2,0.5263157894736842,0.5789473684210527,0.5263157894736842,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5263157894736842,0.5263157894736842,0.47368421052631576
precision2,0.25,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.25,0.2
recall2,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
f1score2,0.18181818181818182,0.2,0.0,0.2,0.2,0.2,0.2,0.18181818181818182,0.18181818181818182,0.16666666666666666
roc2,0.4464285714285714,0.4880952380952381,0.4166666666666667,0.4880952380952381,0.4880952380952381,0.4880952380952381,0.4880952380952381,0.4464285714285714,0.4464285714285714,0.40476190476190477
tn2,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0
fp2,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0
fn2,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
tp2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acc_test3,0.45,0.5,0.45,0.5,0.45,0.45,0.45,0.4,0.4,0.35
precision3,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.0,0.2857142857142857,0.2857142857142857,0.0
recall3,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0
f1score3,0.0,0.16666666666666666,0.26666666666666666,0.375,0.26666666666666666,0.26666666666666666,0.0,0.25,0.25,0.0
roc3,0.40909090909090906,0.46464646464646464,0.4292929292929293,0.4848484848484848,0.4292929292929293,0.4292929292929293,0.40909090909090906,0.3838383838383838,0.3838383838383838,0.3181818181818182
tn3,9.0,9.0,7.0,7.0,7.0,7.0,9.0,6.0,6.0,7.0
fp3,2.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0
fn3,9.0,8.0,7.0,6.0,7.0,7.0,9.0,7.0,7.0,9.0
tp3,0.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0
