parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17
reg_lambda,2.826117108450758,0.0,1.861937862359474,1.6304209488010621,1.7844651545003276,1.8515362318971393,0.0,0.0,4.0,3.546770914431676,2.7470096626976437,0.0,4.0,4.0,1.7813856167313924,3.8726966959629308,3.7763460591614577
scale_pos_weight,0.4058250653124762,0.7107399475980907,0.2,0.7892600062914028,0.765357711438728,0.7652096688897703,0.7107399475980907,0.7107399475980907,0.8055963075692514,0.7508304809626114,0.85164960513114,0.7107399475980907,0.9215223435384494,0.7298608126938115,0.8500527551388624,0.6684512344586391,0.3694267671983341
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,1.0,1.0,1.0,0.3982415029612957,0.06314545840194703,0.005,1.0,1.0,0.9194370982308538,0.9257173955370331,0.7465743439210867,1.0,0.04255945636631874,0.7272639883784999,0.9969204043266121,0.6487712293279236,0.6793878630120239
subsample_for_bin,145845,100000,312810,564964,753408,662107,100000,100000,100000,664355,647963,100000,1000000,774955,307068,949309,1000000
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.7350427350427351,0.6746794871794872,0.6814814814814815,0.6275252525252525,0.6333333333333333,0.6256090314913844,0.6746794871794872,0.6746794871794872,0.6153571428571428,0.6328671328671328,0.636030636030636,0.6746794871794872,0.6256410256410256,0.6182151182151182,0.6116666666666667,0.611111111111111,0.7592592592592592
best_index,42.0,13.0,14.0,6.0,3.0,37.0,13.0,13.0,21.0,29.0,16.0,13.0,18.0,29.0,2.0,5.0,17.0
acc_train,0.625,0.635,0.98,0.79,0.73,0.835,0.635,0.635,0.69,0.785,0.835,0.635,0.9,0.76,0.76,0.735,0.755
acc_val,0.6,0.58,0.64,0.66,0.6,0.58,0.58,0.58,0.62,0.54,0.58,0.58,0.58,0.6,0.58,0.58,0.6
acc_test,0.6031746031746031,0.6349206349206349,0.6031746031746031,0.6666666666666666,0.6031746031746031,0.6825396825396826,0.6349206349206349,0.6349206349206349,0.6507936507936508,0.6984126984126984,0.6507936507936508,0.6349206349206349,0.6507936507936508,0.7301587301587301,0.6666666666666666,0.6666666666666666,0.6666666666666666
precision,0.5,0.75,0.5,0.6111111111111112,0.5,0.631578947368421,0.75,0.75,0.5882352941176471,0.65,0.56,0.75,0.5555555555555556,0.75,0.5909090909090909,0.6666666666666666,0.8333333333333334
recall,0.04,0.12,0.2,0.44,0.32,0.48,0.12,0.12,0.4,0.52,0.56,0.12,0.6,0.48,0.52,0.32,0.2
f1score,0.07407407407407407,0.20689655172413793,0.28571428571428575,0.5116279069767442,0.39024390243902435,0.5454545454545454,0.20689655172413793,0.20689655172413793,0.4761904761904762,0.5777777777777778,0.56,0.20689655172413793,0.576923076923077,0.5853658536585366,0.5531914893617023,0.43243243243243246,0.3225806451612903
roc,0.506842105263158,0.5468421052631579,0.5342105263157895,0.6278947368421052,0.5547368421052632,0.6478947368421053,0.5468421052631579,0.5468421052631579,0.6078947368421053,0.6678947368421052,0.6352631578947369,0.5468421052631579,0.6421052631578947,0.6873684210526316,0.6415789473684211,0.6073684210526316,0.5868421052631579
tn,37.0,37.0,33.0,31.0,30.0,31.0,37.0,37.0,31.0,31.0,27.0,37.0,26.0,34.0,29.0,34.0,37.0
fp,1.0,1.0,5.0,7.0,8.0,7.0,1.0,1.0,7.0,7.0,11.0,1.0,12.0,4.0,9.0,4.0,1.0
fn,24.0,22.0,20.0,14.0,17.0,13.0,22.0,22.0,15.0,12.0,11.0,22.0,10.0,13.0,12.0,17.0,20.0
tp,1.0,3.0,5.0,11.0,8.0,12.0,3.0,3.0,10.0,13.0,14.0,3.0,15.0,12.0,13.0,8.0,5.0
acc_test1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.7619047619047619,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6190476190476191,0.6666666666666666,0.7142857142857143
precision1,0.0,0.0,0.5,0.4,0.5,0.75,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.5,0.6666666666666666,0.4,0.5,1.0
recall1,0.0,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285
f1score1,0.0,0.0,0.36363636363636365,0.3333333333333333,0.22222222222222224,0.5454545454545454,0.0,0.0,0.4,0.4,0.30769230769230765,0.0,0.5333333333333333,0.4,0.3333333333333333,0.22222222222222224,0.25
roc1,0.5,0.5,0.5714285714285714,0.5357142857142857,0.5357142857142857,0.6785714285714286,0.5,0.5,0.6071428571428571,0.6071428571428571,0.49999999999999994,0.5,0.6428571428571428,0.6071428571428571,0.5357142857142857,0.5357142857142857,0.5714285714285714
tn1,14.0,14.0,12.0,11.0,13.0,13.0,14.0,14.0,13.0,13.0,10.0,14.0,10.0,13.0,11.0,13.0,14.0
fp1,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,1.0,3.0,1.0,0.0
fn1,7.0,7.0,5.0,5.0,6.0,4.0,7.0,7.0,5.0,5.0,5.0,7.0,3.0,5.0,5.0,6.0,6.0
tp1,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,1.0,1.0
acc_test2,0.5714285714285714,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.5238095238095238,0.5238095238095238,0.6190476190476191,0.6190476190476191,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.6666666666666666,0.6190476190476191,0.6190476190476191,0.6666666666666666
precision2,0.0,0.5,0.3333333333333333,0.5714285714285714,0.375,0.4,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.5714285714285714,0.5,0.5,0.6666666666666666
recall2,0.0,0.125,0.125,0.5,0.375,0.5,0.125,0.125,0.5,0.5,0.5,0.125,0.5,0.5,0.5,0.375,0.25
f1score2,0.0,0.2,0.18181818181818182,0.5333333333333333,0.375,0.4444444444444445,0.2,0.2,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.2,0.4444444444444445,0.5333333333333333,0.5,0.42857142857142855,0.36363636363636365
roc2,0.46153846153846156,0.5240384615384616,0.4855769230769231,0.6346153846153846,0.49519230769230776,0.5192307692307693,0.5240384615384616,0.5240384615384616,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.5240384615384616,0.5192307692307693,0.6346153846153846,0.596153846153846,0.5721153846153845,0.5865384615384616
tn2,12.0,12.0,11.0,10.0,8.0,7.0,12.0,12.0,7.0,7.0,7.0,12.0,7.0,10.0,9.0,10.0,12.0
fp2,1.0,1.0,2.0,3.0,5.0,6.0,1.0,1.0,6.0,6.0,6.0,1.0,6.0,3.0,4.0,3.0,1.0
fn2,8.0,7.0,7.0,4.0,5.0,4.0,7.0,7.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,5.0,6.0
tp2,0.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,2.0
acc_test3,0.5714285714285714,0.6190476190476191,0.5714285714285714,0.7142857142857143,0.6190476190476191,0.7619047619047619,0.6190476190476191,0.6190476190476191,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.7619047619047619,0.8095238095238095,0.7619047619047619,0.7142857142857143,0.6190476190476191
precision3,1.0,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.7777777777777778,1.0,0.7777777777777778,1.0,1.0
recall3,0.1,0.2,0.2,0.5,0.4,0.5,0.2,0.2,0.4,0.7,0.8,0.2,0.7,0.6,0.7,0.4,0.2
f1score3,0.18181818181818182,0.33333333333333337,0.30769230769230765,0.625,0.5,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.5714285714285715,0.8235294117647058,0.8421052631578948,0.33333333333333337,0.7368421052631577,0.7499999999999999,0.7368421052631577,0.5714285714285715,0.33333333333333337
roc3,0.55,0.6,0.5545454545454545,0.7045454545454545,0.609090909090909,0.75,0.6,0.6,0.7,0.85,0.8545454545454545,0.6,0.759090909090909,0.8,0.759090909090909,0.7,0.6
tn3,11.0,11.0,10.0,10.0,9.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,9.0,11.0,9.0,11.0,11.0
fp3,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
fn3,9.0,8.0,8.0,5.0,6.0,5.0,8.0,8.0,6.0,3.0,2.0,8.0,3.0,4.0,3.0,6.0,8.0
tp3,1.0,2.0,2.0,5.0,4.0,5.0,2.0,2.0,4.0,7.0,8.0,2.0,7.0,6.0,7.0,4.0,2.0
