parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14
val_tp,11.0,8.0,8.0,8.0,4.0,14.0,15.0,8.0,4.0,13.0,8.0,12.0,9.0,4.0
test_precision,0.5,0.75,0.6666666666666666,0.625,0.7142857142857143,0.5416666666666666,0.46153846153846156,0.6666666666666666,0.8,0.47619047619047616,0.75,0.5789473684210527,0.5454545454545454,0.8
recall,0.38461538461538464,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.19230769230769232,0.5,0.46153846153846156,0.3076923076923077,0.15384615384615385,0.38461538461538464,0.23076923076923078,0.4230769230769231,0.23076923076923078,0.15384615384615385
f1score,0.4347826086956522,0.3529411764705882,0.3428571428571429,0.4761904761904762,0.30303030303030304,0.52,0.46153846153846156,0.42105263157894735,0.25806451612903225,0.42553191489361697,0.3529411764705882,0.4888888888888889,0.3243243243243243,0.25806451612903225
roc,0.5607287449392713,0.5890688259109312,0.5759109311740891,0.6133603238866396,0.569838056680162,0.605263157894737,0.5465587044534413,0.6012145748987855,0.5637651821862347,0.5475708502024291,0.5890688259109312,0.6062753036437247,0.5495951417004049,0.5637651821862347
test_tn,28.0,36.0,35.0,32.0,36.0,27.0,24.0,34.0,37.0,27.0,36.0,30.0,33.0,37.0
test_fp,10.0,2.0,3.0,6.0,2.0,11.0,14.0,4.0,1.0,11.0,2.0,8.0,5.0,1.0
test_fn,16.0,20.0,20.0,16.0,21.0,13.0,14.0,18.0,22.0,16.0,20.0,15.0,20.0,22.0
test_tp,10.0,6.0,6.0,10.0,5.0,13.0,12.0,8.0,4.0,10.0,6.0,11.0,6.0,4.0
acc_test1,0.5714285714285714,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.47619047619047616,0.6666666666666666,0.6666666666666666,0.6190476190476191,0.7142857142857143,0.6190476190476191,0.6666666666666666,0.6666666666666666
precision1,0.3333333333333333,1.0,0.5,0.5,1.0,0.5,0.3,0.5,0.0,0.42857142857142855,1.0,0.4,0.5,0.0
recall1,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0
f1score1,0.30769230769230765,0.25,0.22222222222222224,0.4615384615384615,0.25,0.5333333333333333,0.3529411764705882,0.22222222222222224,0.0,0.42857142857142855,0.25,0.3333333333333333,0.22222222222222224,0.0
roc1,0.49999999999999994,0.5714285714285714,0.5357142857142857,0.6071428571428571,0.5714285714285714,0.6428571428571428,0.4642857142857143,0.5357142857142857,0.5,0.5714285714285714,0.5714285714285714,0.5357142857142857,0.5357142857142857,0.5
tn1,10.0,14.0,13.0,11.0,14.0,10.0,7.0,13.0,14.0,10.0,14.0,11.0,13.0,14.0
fp1,4.0,0.0,1.0,3.0,0.0,4.0,7.0,1.0,0.0,4.0,0.0,3.0,1.0,0.0
fn1,5.0,6.0,6.0,4.0,6.0,3.0,4.0,6.0,7.0,4.0,6.0,5.0,6.0,7.0
tp1,2.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0
acc_test2,0.5714285714285714,0.5238095238095238,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5714285714285714,0.5714285714285714,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5714285714285714
precision2,0.7142857142857143,0.75,0.8,0.6666666666666666,0.75,0.7,0.7,0.8333333333333334,0.8,0.7142857142857143,0.75,0.7,0.6666666666666666,0.8
recall2,0.4166666666666667,0.25,0.3333333333333333,0.3333333333333333,0.25,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.25,0.5833333333333334,0.3333333333333333,0.3333333333333333
f1score2,0.5263157894736842,0.375,0.47058823529411764,0.4444444444444444,0.375,0.6363636363636365,0.6363636363636365,0.5555555555555556,0.47058823529411764,0.5263157894736842,0.375,0.6363636363636365,0.4444444444444444,0.47058823529411764
roc2,0.5972222222222222,0.5694444444444444,0.611111111111111,0.5555555555555556,0.5694444444444444,0.6250000000000001,0.6250000000000001,0.6527777777777778,0.611111111111111,0.5972222222222222,0.5694444444444444,0.6250000000000001,0.5555555555555556,0.611111111111111
tn2,7.0,8.0,8.0,7.0,8.0,6.0,6.0,8.0,8.0,7.0,8.0,6.0,7.0,8.0
fp2,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0
fn2,7.0,9.0,8.0,8.0,9.0,5.0,5.0,7.0,8.0,7.0,9.0,5.0,8.0,8.0
tp2,5.0,3.0,4.0,4.0,3.0,7.0,7.0,5.0,4.0,5.0,3.0,7.0,4.0,4.0
acc_test3,0.6363636363636364,0.7272727272727273,0.6818181818181818,0.7727272727272727,0.6818181818181818,0.5909090909090909,0.5909090909090909,0.6818181818181818,0.6818181818181818,0.5454545454545454,0.7272727272727273,0.6818181818181818,0.6363636363636364,0.6818181818181818
precision3,0.42857142857142855,0.6666666666666666,0.5,0.75,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.2857142857142857,0.6666666666666666,0.5,0.3333333333333333,0.0
recall3,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0
f1score3,0.42857142857142855,0.4,0.22222222222222224,0.5454545454545454,0.22222222222222224,0.30769230769230765,0.30769230769230765,0.36363636363636365,0.0,0.2857142857142857,0.4,0.36363636363636365,0.2,0.0
roc3,0.580952380952381,0.6095238095238095,0.5380952380952381,0.680952380952381,0.5380952380952381,0.5095238095238095,0.5095238095238095,0.5761904761904763,0.5,0.4761904761904762,0.6095238095238095,0.5761904761904763,0.5047619047619047,0.5
tn3,11.0,14.0,14.0,14.0,14.0,11.0,11.0,13.0,15.0,10.0,14.0,13.0,13.0,15.0
fp3,4.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,0.0,5.0,1.0,2.0,2.0,0.0
fn3,4.0,5.0,6.0,4.0,6.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,7.0
tp3,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0
