parameter,value1,value2,value3,value6,value7,value8,value9,value10,value11,value12,value13
tp,12.0,14.0,7.0,6.0,8.0,11.0,5.0,6.0,10.0,6.0,7.0
acc_test1,0.5,0.45,0.5,0.6,0.55,0.5,0.6,0.45,0.45,0.6,0.4
precision1,0.4166666666666667,0.38461538461538464,0.0,0.5,0.4,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.25
recall1,0.625,0.625,0.0,0.125,0.25,0.25,0.0,0.0,0.375,0.125,0.25
f1score1,0.5,0.4761904761904762,0.0,0.2,0.3076923076923077,0.28571428571428575,0.0,0.0,0.35294117647058826,0.2,0.25
roc1,0.5208333333333333,0.4791666666666667,0.4166666666666667,0.5208333333333334,0.5,0.4583333333333334,0.5,0.375,0.4375,0.5208333333333334,0.375
tn1,5.0,4.0,10.0,11.0,9.0,8.0,12.0,9.0,6.0,11.0,6.0
fp1,7.0,8.0,2.0,1.0,3.0,4.0,0.0,3.0,6.0,1.0,6.0
fn1,3.0,3.0,8.0,7.0,6.0,6.0,8.0,8.0,5.0,7.0,6.0
tp1,5.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0
acc_test2,0.6,0.65,0.65,0.6,0.65,0.7,0.65,0.65,0.8,0.6,0.65
precision2,0.5,0.5454545454545454,0.5555555555555556,0.5,0.5714285714285714,0.6,0.5714285714285714,0.5714285714285714,0.8333333333333334,0.5,0.6
recall2,0.625,0.75,0.625,0.375,0.5,0.75,0.5,0.5,0.625,0.375,0.375
f1score2,0.5555555555555556,0.631578947368421,0.5882352941176471,0.42857142857142855,0.5333333333333333,0.6666666666666665,0.5333333333333333,0.5333333333333333,0.7142857142857143,0.42857142857142855,0.4615384615384615
roc2,0.6041666666666666,0.6666666666666666,0.6458333333333334,0.5625,0.625,0.7083333333333334,0.625,0.625,0.7708333333333333,0.5625,0.6041666666666667
tn2,7.0,7.0,8.0,9.0,9.0,8.0,9.0,9.0,11.0,9.0,10.0
fp2,5.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,2.0
fn2,3.0,2.0,3.0,5.0,4.0,2.0,4.0,4.0,3.0,5.0,5.0
tp2,5.0,6.0,5.0,3.0,4.0,6.0,4.0,4.0,5.0,3.0,3.0
acc_test3,0.4090909090909091,0.4090909090909091,0.5,0.6818181818181818,0.5,0.4090909090909091,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.6818181818181818,0.45454545454545453
precision3,0.2222222222222222,0.2727272727272727,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.2727272727272727,0.5,0.3333333333333333,0.25,0.6666666666666666,0.25
recall3,0.25,0.375,0.25,0.25,0.25,0.375,0.125,0.25,0.25,0.25,0.25
f1score3,0.23529411764705882,0.3157894736842105,0.26666666666666666,0.36363636363636365,0.26666666666666666,0.3157894736842105,0.2,0.28571428571428575,0.25,0.36363636363636365,0.25
roc3,0.375,0.4017857142857143,0.4464285714285714,0.5892857142857143,0.4464285714285714,0.4017857142857143,0.5267857142857143,0.48214285714285715,0.41071428571428564,0.5892857142857143,0.41071428571428564
tn3,7.0,6.0,9.0,13.0,9.0,6.0,13.0,10.0,8.0,13.0,8.0
fp3,7.0,8.0,5.0,1.0,5.0,8.0,1.0,4.0,6.0,1.0,6.0
fn3,6.0,5.0,6.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0
tp3,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0
