parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14
learning_rate,0.0010375721358189456,0.0003952711851453308,0.0003952711851453308,0.0003952711851453308,0.00043885690117559834,0.0007966082706982221,0.002137355322395608,0.000195173569926799,0.0001,0.000195173569926799,0.00119272533943973,0.0001,0.0004980893060804046,0.00119272533943973
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
max_bin,150,513,513,513,1000,366,1198,247,1500,247,746,100,200,746
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)"
max_depth,50,27,27,27,33,30,0,27,0,27,1,0,29,1
max_depth,"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_samples,30,25,25,25,25,36,5,15,40,15,24,16,5,24
min_child_weight,,,,,,,"(0.001, 10.0)","(5.0, 11.0)","(6.0, 12.0)","(5.0, 11.0)","(5.0, 11.0)","(5.0, 11.0)","(5.0, 11.0)","(5.0, 11.0)"
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,9.788291350926551,11.0,9.158109254220122,11.0,7.130401339967348,9.62838797530745,5.0,7.130401339967348
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)"
n_estimators,700,3232,3232,3232,2878,4042,700,700,3155,700,1569,5000,850,1569
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98
num_leaves,20,13,13,13,20,14,13,20,3,20,20,20,5,20
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,0.0,1.9926933510296294,1.494520013272222,1.494520013272222,1.6444203463033866,0.7506209671013935,0.4426433475712188,0.27194406099606283,0.2588093127863792,0.27194406099606283,0.13998766482509267,1.0,0.5174439701067486,0.13998766482509267
reg_alpha,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')"
reg_lambda,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 5.0, 'uniform')"
reg_lambda,0.0,3.8726966959629308,3.8726966959629308,3.8726966959629308,0.3382564436082964,0.0,2.974134399121084,4.20796776519914,5.0,4.20796776519914,0.0,0.0,1.1551851311376342,0.0
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.8560477918891474,0.6684512344586391,0.6684512344586391,0.6684512344586391,0.5522158432247695,0.5650533078410334,0.8751453549090862,1.2680207328102202,0.9175880842306143,1.2680207328102202,0.7730923749244871,0.8313270931440737,0.7604614670463468,0.7730923749244871
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.09635605735898889,0.6487712293279236,0.6487712293279236,0.6487712293279236,0.4853251912073534,0.8361753607066187,0.005,0.190744167236938,0.005,0.190744167236938,0.09027957020009846,0.4038037522127505,0.984901445589773,0.09027957020009846
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample_for_bin,473561,477471,949309,949309,823423,805233,1000000,960297,381363,960297,1000000,100000,240806,1000000
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1100000)","(100000, 1000000)","(100000, 1000000)"
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.6710940825883355,0.8061507936507937,0.8013888888888889,0.8013888888888889,0.8380952380952381,0.8388888888888889,0.7416666666666667,0.7723076923076924,0.7544117647058823,0.7723076923076924,0.7940909090909092,0.7218522526067284,0.7909090909090909,0.7940909090909092
best_index,49.0,5.0,5.0,5.0,37.0,47.0,48.0,23.0,34.0,23.0,39.0,15.0,26.0,39.0
acc_train,0.7733990147783252,0.7733990147783252,0.7832512315270936,0.7832512315270936,0.7783251231527094,0.7536945812807881,0.7093596059113301,0.6896551724137931,0.6945812807881774,0.6896551724137931,0.6995073891625616,0.7142857142857143,0.7635467980295566,0.6995073891625616
acc_val,0.5490196078431373,0.6078431372549019,0.6078431372549019,0.6078431372549019,0.6470588235294118,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5490196078431373,0.5882352941176471,0.6078431372549019,0.5686274509803921,0.5882352941176471,0.6078431372549019
acc_test,0.578125,0.5625,0.578125,0.578125,0.53125,0.5625,0.609375,0.609375,0.609375,0.609375,0.609375,0.59375,0.59375,0.609375
train_precision,0.8148148148148148,0.9811320754716981,0.9818181818181818,0.9818181818181818,1.0,0.9607843137254902,0.8392857142857143,0.8541666666666666,0.8431372549019608,0.8541666666666666,0.875,0.8545454545454545,0.9298245614035088,0.875
train_tn,91.0,105.0,105.0,105.0,106.0,104.0,97.0,99.0,98.0,99.0,100.0,98.0,102.0,100.0
train_fp,15.0,1.0,1.0,1.0,0.0,2.0,9.0,7.0,8.0,7.0,6.0,8.0,4.0,6.0
train_fn,31.0,45.0,43.0,43.0,45.0,48.0,50.0,56.0,54.0,56.0,55.0,50.0,44.0,55.0
train_tp,66.0,52.0,54.0,54.0,52.0,49.0,47.0,41.0,43.0,41.0,42.0,47.0,53.0,42.0
val_precision,0.5263157894736842,0.7,0.7,0.7,0.875,0.7142857142857143,0.6363636363636364,0.8,0.5555555555555556,0.8,0.8333333333333334,0.6,0.7142857142857143,0.8333333333333334
val_tn,18.0,24.0,24.0,24.0,26.0,25.0,23.0,26.0,23.0,26.0,26.0,23.0,25.0,26.0
val_fp,9.0,3.0,3.0,3.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0
val_fn,14.0,17.0,17.0,17.0,17.0,19.0,17.0,20.0,19.0,20.0,19.0,18.0,19.0,19.0
val_tp,10.0,7.0,7.0,7.0,7.0,5.0,7.0,4.0,5.0,4.0,5.0,6.0,5.0,5.0
test_precision,0.5714285714285714,0.6153846153846154,0.6428571428571429,0.6428571428571429,0.5454545454545454,0.6363636363636364,0.75,0.75,0.75,0.75,0.75,0.6923076923076923,0.6923076923076923,0.75
recall,0.5161290322580645,0.25806451612903225,0.2903225806451613,0.2903225806451613,0.1935483870967742,0.22580645161290322,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.2903225806451613
f1score,0.5423728813559322,0.36363636363636365,0.4,0.4,0.2857142857142857,0.3333333333333333,0.4186046511627908,0.4186046511627908,0.4186046511627908,0.4186046511627908,0.4186046511627908,0.4090909090909091,0.4090909090909091,0.4186046511627908
roc,0.5762463343108504,0.5532746823069403,0.5694037145650048,0.5694037145650048,0.5210166177908113,0.552297165200391,0.5997067448680351,0.5997067448680351,0.5997067448680351,0.5997067448680351,0.5997067448680351,0.58455522971652,0.58455522971652,0.5997067448680351
test_tn,21.0,28.0,28.0,28.0,28.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,30.0
test_fp,12.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0
test_fn,15.0,23.0,22.0,22.0,25.0,24.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
test_tp,16.0,8.0,9.0,9.0,6.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
acc_test1,0.42857142857142855,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.42857142857142855,0.47619047619047616,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.47619047619047616,0.42857142857142855,0.42857142857142855
precision1,0.4444444444444444,0.5,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
recall1,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
f1score1,0.39999999999999997,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.14285714285714288,0.26666666666666666,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.26666666666666666,0.14285714285714288,0.14285714285714288
roc1,0.4318181818181819,0.49090909090909096,0.49090909090909096,0.49090909090909096,0.44545454545454544,0.49090909090909096,0.44545454545454544,0.44545454545454544,0.44545454545454544,0.44545454545454544,0.44545454545454544,0.49090909090909096,0.44545454545454544,0.44545454545454544
tn1,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
fp1,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
fn1,7.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
tp1,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
acc_test2,0.6190476190476191,0.5238095238095238,0.5714285714285714,0.5714285714285714,0.47619047619047616,0.47619047619047616,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6190476190476191,0.6666666666666666
precision2,0.6923076923076923,0.7142857142857143,0.75,0.75,0.6666666666666666,0.6666666666666666,0.875,0.875,0.875,0.875,0.875,0.75,0.7777777777777778,0.875
recall2,0.6923076923076923,0.38461538461538464,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.3076923076923077,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.46153846153846156,0.5384615384615384,0.5384615384615384
f1score2,0.6923076923076923,0.5,0.5714285714285714,0.5714285714285714,0.42105263157894735,0.42105263157894735,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.5714285714285714,0.6363636363636364,0.6666666666666667
roc2,0.5961538461538461,0.5673076923076923,0.6057692307692308,0.6057692307692308,0.5288461538461539,0.5288461538461539,0.7067307692307692,0.7067307692307692,0.7067307692307692,0.7067307692307692,0.7067307692307692,0.6057692307692308,0.6442307692307692,0.7067307692307692
tn2,4.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0
fp2,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
fn2,4.0,8.0,7.0,7.0,9.0,9.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0
tp2,9.0,5.0,6.0,6.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0
acc_test3,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273
precision3,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recall3,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
f1score3,0.4615384615384615,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
roc3,0.6142857142857143,0.5380952380952381,0.5380952380952381,0.5380952380952381,0.5380952380952381,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
tn3,12.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
fp3,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fn3,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
tp3,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
