parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value26
roc,0.622257053291536,0.5757575757575758,0.6865203761755486,0.6865203761755486,0.6760710553814002,0.6739811912225706,0.6243469174503657,0.6650992685475444,0.6368861024033438,0.7016718913270638,0.6760710553814002,0.6018808777429467,0.6760710553814002,0.6018808777429467,0.6974921630094043,0.7236154649947754,0.6974921630094043,0.6238244514106583,0.5715778474399164,0.6238244514106583,0.6541274817136886,0.6734587251828631,0.6823406478578892,0.6149425287356322
tn,15.0,29.0,24.0,24.0,19.0,18.0,16.0,21.0,22.0,24.0,19.0,27.0,19.0,27.0,22.0,20.0,22.0,23.0,27.0,23.0,23.0,25.0,22.0,26.0
fp,14.0,0.0,5.0,5.0,10.0,11.0,13.0,8.0,7.0,5.0,10.0,2.0,10.0,2.0,7.0,9.0,7.0,6.0,2.0,6.0,6.0,4.0,7.0,3.0
fn,9.0,28.0,15.0,15.0,10.0,9.0,10.0,13.0,16.0,14.0,10.0,24.0,10.0,24.0,12.0,8.0,12.0,18.0,26.0,18.0,16.0,17.0,13.0,22.0
tp,24.0,5.0,18.0,18.0,23.0,24.0,23.0,20.0,17.0,19.0,23.0,9.0,23.0,9.0,21.0,25.0,21.0,15.0,7.0,15.0,17.0,16.0,20.0,11.0
acc_test1,0.6,0.55,0.65,0.65,0.7,0.7,0.6,0.7,0.75,0.65,0.7,0.55,0.7,0.55,0.75,0.7,0.75,0.7,0.55,0.75,0.7,0.7,0.7,0.7
precision1,0.6,1.0,0.7142857142857143,0.7142857142857143,0.75,0.75,0.6,0.75,0.8571428571428571,0.7142857142857143,0.75,1.0,0.75,1.0,0.8571428571428571,0.75,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428571,0.8333333333333334,1.0,0.75,1.0
recall1,0.6,0.1,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.1,0.6,0.1,0.6,0.6,0.6,0.5,0.1,0.6,0.5,0.4,0.6,0.4
f1score1,0.6,0.18181818181818182,0.588235294117647,0.588235294117647,0.6666666666666665,0.6666666666666665,0.6,0.6666666666666665,0.7058823529411764,0.588235294117647,0.6666666666666665,0.18181818181818182,0.6666666666666665,0.18181818181818182,0.7058823529411764,0.6666666666666665,0.7058823529411764,0.625,0.18181818181818182,0.7058823529411764,0.625,0.5714285714285715,0.6666666666666665,0.5714285714285715
roc1,0.6,0.55,0.6500000000000001,0.6500000000000001,0.7000000000000002,0.7000000000000002,0.6,0.7000000000000002,0.7500000000000001,0.6500000000000001,0.7000000000000002,0.55,0.7000000000000002,0.55,0.7500000000000001,0.7000000000000002,0.7500000000000001,0.7000000000000001,0.55,0.7500000000000001,0.7000000000000001,0.7,0.7000000000000002,0.7
tn1,6.0,10.0,8.0,8.0,8.0,8.0,6.0,8.0,9.0,8.0,8.0,10.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0
fp1,4.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0
fn1,4.0,9.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,9.0,4.0,9.0,4.0,4.0,4.0,5.0,9.0,4.0,5.0,6.0,4.0,6.0
tp1,6.0,1.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,1.0,6.0,1.0,6.0,6.0,6.0,5.0,1.0,6.0,5.0,4.0,6.0,4.0
acc_test2,0.65,0.65,0.8,0.8,0.75,0.75,0.65,0.7,0.7,0.8,0.75,0.7,0.75,0.7,0.75,0.8,0.75,0.7,0.6,0.75,0.8,0.8,0.8,0.7
precision2,0.6666666666666666,1.0,0.8888888888888888,0.8888888888888888,0.75,0.75,0.6666666666666666,0.7777777777777778,0.8571428571428571,0.8888888888888888,0.75,1.0,0.75,1.0,0.875,0.8181818181818182,0.875,0.8571428571428571,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8571428571428571
recall2,0.7272727272727273,0.36363636363636365,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.8181818181818182,0.45454545454545453,0.8181818181818182,0.45454545454545453,0.6363636363636364,0.8181818181818182,0.6363636363636364,0.5454545454545454,0.2727272727272727,0.5454545454545454,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.5454545454545454
f1score2,0.6956521739130435,0.5333333333333333,0.7999999999999999,0.7999999999999999,0.7826086956521738,0.7826086956521738,0.6956521739130435,0.7000000000000001,0.6666666666666665,0.7999999999999999,0.7826086956521738,0.625,0.7826086956521738,0.625,0.7368421052631579,0.8181818181818182,0.7368421052631579,0.6666666666666665,0.42857142857142855,0.7058823529411764,0.7777777777777778,0.7999999999999999,0.7999999999999999,0.6666666666666665
roc2,0.6414141414141414,0.6818181818181819,0.8080808080808081,0.8080808080808081,0.7424242424242425,0.7424242424242425,0.6414141414141414,0.7070707070707071,0.7171717171717171,0.8080808080808081,0.7424242424242425,0.7272727272727273,0.7424242424242425,0.7272727272727273,0.7626262626262625,0.7979797979797981,0.7626262626262625,0.7171717171717171,0.6363636363636364,0.7727272727272727,0.8181818181818181,0.8080808080808081,0.8080808080808081,0.7171717171717171
tn2,5.0,9.0,8.0,8.0,6.0,6.0,5.0,7.0,8.0,8.0,6.0,9.0,6.0,9.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0
fp2,4.0,0.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
fn2,3.0,7.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,6.0,2.0,6.0,4.0,2.0,4.0,5.0,8.0,5.0,4.0,3.0,3.0,5.0
tp2,8.0,4.0,8.0,8.0,9.0,9.0,8.0,7.0,6.0,8.0,9.0,5.0,9.0,5.0,7.0,9.0,7.0,6.0,3.0,6.0,7.0,8.0,8.0,6.0
acc_test3,0.6363636363636364,0.45454545454545453,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.6363636363636364,0.5909090909090909,0.45454545454545453,0.6363636363636364,0.5909090909090909,0.5,0.5909090909090909,0.5,0.5909090909090909,0.6818181818181818,0.5909090909090909,0.45454545454545453,0.5,0.36363636363636365,0.45454545454545453,0.5,0.5454545454545454,0.4090909090909091
precision3,0.625,0.0,0.7142857142857143,0.7142857142857143,0.6153846153846154,0.6,0.6428571428571429,0.6363636363636364,0.5,0.75,0.6153846153846154,0.6,0.6153846153846154,0.6,0.6153846153846154,0.6666666666666666,0.6153846153846154,0.5,0.6,0.375,0.5,0.5714285714285714,0.6,0.3333333333333333
recall3,0.8333333333333334,0.0,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.75,0.75,0.5833333333333334,0.4166666666666667,0.5,0.6666666666666666,0.25,0.6666666666666666,0.25,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.25,0.25,0.4166666666666667,0.3333333333333333,0.5,0.08333333333333333
f1score3,0.7142857142857143,0.0,0.5263157894736842,0.5263157894736842,0.64,0.6666666666666665,0.6923076923076924,0.6086956521739131,0.45454545454545453,0.6,0.64,0.35294117647058826,0.64,0.35294117647058826,0.64,0.7407407407407408,0.64,0.4,0.35294117647058826,0.3,0.45454545454545453,0.4210526315789474,0.5454545454545454,0.13333333333333333
roc3,0.6166666666666667,0.5,0.6083333333333334,0.6083333333333334,0.5833333333333333,0.575,0.625,0.5916666666666667,0.45833333333333337,0.6500000000000001,0.5833333333333333,0.525,0.5833333333333333,0.525,0.5833333333333333,0.6666666666666667,0.5833333333333333,0.4666666666666666,0.525,0.375,0.45833333333333337,0.5166666666666666,0.5499999999999999,0.4416666666666667
tn3,4.0,10.0,8.0,8.0,5.0,4.0,5.0,6.0,5.0,8.0,5.0,8.0,5.0,8.0,5.0,5.0,5.0,6.0,8.0,5.0,5.0,7.0,6.0,8.0
fp3,6.0,0.0,2.0,2.0,5.0,6.0,5.0,4.0,5.0,2.0,5.0,2.0,5.0,2.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,4.0,2.0
fn3,2.0,12.0,7.0,7.0,4.0,3.0,3.0,5.0,7.0,6.0,4.0,9.0,4.0,9.0,4.0,2.0,4.0,8.0,9.0,9.0,7.0,8.0,6.0,11.0
tp3,10.0,0.0,5.0,5.0,8.0,9.0,9.0,7.0,5.0,6.0,8.0,3.0,8.0,3.0,8.0,10.0,8.0,4.0,3.0,3.0,5.0,4.0,6.0,1.0
