parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11
f1score2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6153846153846153,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
f1score3,0.8000000000000002,0.888888888888889,0.888888888888889,0.888888888888889,0.8000000000000002,0.888888888888889,0.888888888888889,0.8000000000000002,0.888888888888889,0.888888888888889,0.8000000000000002
fn,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
fn1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fn2,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
fn3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
force_col_wise,true,true,true,true,true,true,true,true,true,true,true
fp,7.0,6.0,6.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,7.0
fp1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
fp2,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
fp3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
importance_type,split,split,split,split,split,split,split,split,split,split,split
iterations,10,10,10,10,10,10,10,10,10,10,10
learning_rate,0.0006885907876058295,0.000890045629333899,0.000845385863843898,0.000845385863843898,0.0028055967090060275,0.0011847240811834723,0.000845385863843898,0.000845385863843898,0.000845385863843898,0.000845385863843898,0.0006885907876058295
max_bin,186,635,347,347,745,473,347,347,347,347,
max_depth,38,32,16,16,21,18,16,16,16,16,5
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,37,31,36,36,17,16,36,36,36,36,36
min_child_weight,0.001,6,8,12,13,10,13,11,8,8,9
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,1590,2826,2433,2433,1880,1965,2433,2433,2433,2433,1590
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,110,110,110,110,110,110,110,110,110,110,110
num_leaves,7,11,3,3,14,5,3,3,3,3,7
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
precision,0.6818181818181818,0.7142857142857143,0.7142857142857143,0.75,0.7142857142857143,0.75,0.7368421052631579,0.6818181818181818,0.7142857142857143,0.7142857142857143,0.6818181818181818
precision1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
precision2,0.625,0.625,0.625,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.625,0.625,0.625,0.625
precision3,0.8,1.0,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.8
random_state,,,,,,,,,,,
recall,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7368421052631579,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263
recall1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
recall2,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
recall3,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
reg_alpha,2.4000000000000004,1.3,1.4000000000000001,1.4000000000000001,0.5,1.2000000000000002,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.2000000000000002
reg_lambda,0.1,1.8,0.9,0.9,0.5,0.1,0.9,0.9,0.9,0.9,0.0
roc,0.6447368421052632,0.6804511278195489,0.6804511278195489,0.7161654135338346,0.6804511278195489,0.7161654135338346,0.6898496240601503,0.6447368421052632,0.6804511278195489,0.6804511278195489,0.6447368421052632
roc1,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286,0.5535714285714286
roc2,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.6071428571428572,0.6071428571428572,0.6071428571428572,0.5357142857142857,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.48214285714285715
roc3,0.8166666666666667,0.9,0.9,0.9,0.8166666666666667,0.9,0.9,0.8166666666666667,0.9,0.9,0.8166666666666667
scale_pos_weight,1.8000000000000005,1.6000000000000003,1.5000000000000004,1.5000000000000004,1.9000000000000006,1.3000000000000003,1.5000000000000004,1.5000000000000004,1.5000000000000004,1.5000000000000004,1.8000000000000005
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.4488857071819565,0.330729836811081,0.17081643471481592,0.17081643471481592,0.04647262439621294,0.6843335166200109,0.17081643471481592,0.17081643471481592,0.17081643471481592,0.17081643471481592,0.4488857071819565
subsample_for_bin,225635,258087,345897,345897,296934,408795,345897,345897,345897,345897,225635
subsample_freq,0,0,0,0,0,0,0,0,0,0,0
tn,7.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,8.0,8.0,7.0
tn1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tn2,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
tn3,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0
tp,15.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0
tp1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
tp2,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
tp3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
verbose,1,1,1,1,1,1,1,1,1,1,1
