parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_12,iter_13,iter_14
acc_train,0.7626262626262627,0.7121212121212122,0.8232323232323232,0.6717171717171717,0.8282828282828283,0.7676767676767676,0.9141414141414141,0.6767676767676768,0.7373737373737373,0.7676767676767676,0.9141414141414141
acc_val,0.58,0.62,0.58,0.52,0.56,0.58,0.56,0.52,0.64,0.56,0.56
acc_test,0.49206349206349204,0.42857142857142855,0.49206349206349204,0.4126984126984127,0.5238095238095238,0.47619047619047616,0.5555555555555556,0.4603174603174603,0.49206349206349204,0.47619047619047616,0.5555555555555556
precision,0.6153846153846154,0.46153846153846156,0.6,0.375,0.6470588235294118,0.6666666666666666,0.7058823529411765,0.6,0.5789473684210527,0.6666666666666666,0.7058823529411765
recall,0.22857142857142856,0.17142857142857143,0.2571428571428571,0.08571428571428572,0.3142857142857143,0.11428571428571428,0.34285714285714286,0.08571428571428572,0.3142857142857143,0.11428571428571428,0.34285714285714286
f1score,0.3333333333333333,0.25000000000000006,0.36,0.1395348837209302,0.4230769230769231,0.19512195121951217,0.46153846153846156,0.15,0.40740740740740744,0.19512195121951217,0.46153846153846156
roc,0.525,0.4607142857142857,0.5214285714285714,0.4535714285714285,0.5499999999999999,0.5214285714285715,0.5821428571428572,0.5071428571428571,0.5142857142857143,0.5214285714285715,0.5821428571428572
tn,23.0,21.0,22.0,23.0,22.0,26.0,23.0,26.0,20.0,26.0,23.0
fp,5.0,7.0,6.0,5.0,6.0,2.0,5.0,2.0,8.0,2.0,5.0
fn,27.0,29.0,26.0,32.0,24.0,31.0,23.0,32.0,24.0,31.0,23.0
tp,8.0,6.0,9.0,3.0,11.0,4.0,12.0,3.0,11.0,4.0,12.0
acc_test1,0.3333333333333333,0.38095238095238093,0.2857142857142857,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.5238095238095238,0.3333333333333333,0.6190476190476191,0.38095238095238093,0.5238095238095238
precision1,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6,1.0,1.0,0.5,0.8,1.0,1.0
recall1,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.5714285714285714,0.07142857142857142,0.2857142857142857
f1score1,0.22222222222222224,0.23529411764705882,0.11764705882352941,0.23529411764705882,0.3157894736842105,0.13333333333333333,0.4444444444444445,0.125,0.6666666666666666,0.13333333333333333,0.4444444444444445
roc1,0.4285714285714286,0.5,0.39285714285714285,0.5,0.46428571428571425,0.5357142857142857,0.6428571428571428,0.4642857142857143,0.6428571428571428,0.5357142857142857,0.6428571428571428
tn1,5.0,6.0,5.0,6.0,5.0,7.0,7.0,6.0,5.0,7.0,7.0
fp1,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0
fn1,12.0,12.0,13.0,12.0,11.0,13.0,10.0,13.0,6.0,13.0,10.0
tp1,2.0,2.0,1.0,2.0,3.0,1.0,4.0,1.0,8.0,1.0,4.0
acc_test2,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238
precision2,0.6666666666666666,0.25,0.6,0.3333333333333333,0.6,0.6666666666666666,0.5,0.5,0.5,0.5,0.5
recall2,0.2,0.1,0.3,0.1,0.3,0.2,0.3,0.1,0.1,0.1,0.3
f1score2,0.30769230769230765,0.14285714285714288,0.4,0.15384615384615383,0.4,0.30769230769230765,0.37499999999999994,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.37499999999999994
roc2,0.5545454545454545,0.41363636363636364,0.559090909090909,0.4590909090909091,0.559090909090909,0.5545454545454545,0.5136363636363637,0.5045454545454545,0.5045454545454545,0.5045454545454545,0.5136363636363637
tn2,10.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,8.0
fp2,1.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0
fn2,8.0,9.0,7.0,9.0,7.0,8.0,7.0,9.0,9.0,9.0,7.0
tp2,2.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0
acc_test3,0.5714285714285714,0.47619047619047616,0.6190476190476191,0.38095238095238093,0.6190476190476191,0.47619047619047616,0.6190476190476191,0.5238095238095238,0.3333333333333333,0.5238095238095238,0.6190476190476191
precision3,0.6666666666666666,0.5,0.7142857142857143,0.0,0.7142857142857143,0.5,0.7142857142857143,1.0,0.2857142857142857,0.6666666666666666,0.7142857142857143
recall3,0.36363636363636365,0.2727272727272727,0.45454545454545453,0.0,0.45454545454545453,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.45454545454545453
f1score3,0.4705882352941177,0.3529411764705882,0.5555555555555556,0.0,0.5555555555555556,0.15384615384615385,0.5555555555555556,0.16666666666666669,0.2222222222222222,0.28571428571428575,0.5555555555555556
roc3,0.5818181818181819,0.48636363636363633,0.6272727272727273,0.4,0.6272727272727273,0.4954545454545454,0.6272727272727273,0.5454545454545454,0.34090909090909094,0.5409090909090909,0.6272727272727273
tn3,8.0,7.0,8.0,8.0,8.0,9.0,8.0,10.0,5.0,9.0,8.0
fp3,2.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,5.0,1.0,2.0
fn3,7.0,8.0,6.0,11.0,6.0,10.0,6.0,10.0,9.0,9.0,6.0
tp3,4.0,3.0,5.0,0.0,5.0,1.0,5.0,1.0,2.0,2.0,5.0
