날짜,종가,오픈,고가,저가,변동 %
2022년 01월 07일,"1,197.63","1,205.03","1,205.78","1,197.32",-0.61%
2022년 01월 06일,"1,204.95","1,200.65","1,207.11","1,197.20",0.56%
2022년 01월 05일,"1,198.20","1,197.54","1,200.18","1,195.91",0.06%
2022년 01월 04일,"1,197.49","1,194.77","1,199.49","1,192.75",0.38%
2022년 01월 03일,"1,193.00","1,189.80","1,193.86","1,187.55",0.42%
2021년 12월 31일,"1,187.96","1,190.22","1,191.31","1,186.67",-0.12%
2021년 12월 30일,"1,189.36","1,184.79","1,190.72","1,182.75",0.39%
2021년 12월 29일,"1,184.70","1,188.14","1,188.59","1,184.06",-0.29%
2021년 12월 28일,"1,188.09","1,186.59","1,189.39","1,185.31",0.21%
2021년 12월 27일,"1,185.61","1,187.10","1,188.63","1,185.02",-0.03%
2021년 12월 24일,"1,185.99","1,185.64","1,188.40","1,184.69",0.04%
2021년 12월 23일,"1,185.55","1,187.94","1,190.76","1,184.89",-0.39%
2021년 12월 22일,"1,190.21","1,190.43","1,192.98","1,189.50",-0.04%
2021년 12월 21일,"1,190.67","1,189.95","1,193.81","1,189.00",0.10%
2021년 12월 20일,"1,189.53","1,188.10","1,192.67","1,186.79",0.15%
2021년 12월 17일,"1,187.70","1,186.39","1,188.63","1,180.03",0.12%
2021년 12월 16일,"1,186.29","1,185.41","1,188.86","1,181.63",0.15%
2021년 12월 15일,"1,184.57","1,185.24","1,190.22","1,183.93",-0.05%
2021년 12월 14일,"1,185.19","1,185.10","1,186.38","1,180.97",0.02%
2021년 12월 13일,"1,184.91","1,180.96","1,186.16","1,177.03",0.34%
2021년 12월 10일,"1,180.86","1,178.27","1,182.82","1,176.40",0.23%
2021년 12월 09일,"1,178.15","1,173.42","1,179.37","1,172.62",0.25%
2021년 12월 08일,"1,175.19","1,176.85","1,179.31","1,175.12",-0.13%
2021년 12월 07일,"1,176.73","1,180.66","1,184.03","1,176.56",-0.32%
2021년 12월 06일,"1,180.54","1,184.85","1,186.49","1,179.70",-0.04%
2021년 12월 03일,"1,181.00","1,176.85","1,183.63","1,175.83",0.36%
2021년 12월 02일,"1,176.74","1,177.06","1,179.35","1,173.32",-0.02%
2021년 12월 01일,"1,176.93","1,182.84","1,185.49","1,173.33",-0.49%
