parameter,iter_4,iter_5,iter_6,iter_7,iter_8,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40,iter_41
force_col_wise,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
importance_type,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split,split
importance_type,['split'],['split'],['split'],['split'],,,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
iterations,50,50,50,50,50,50,50,50,50,50,50,50,50,30,30,30,30,20,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
iterations,50,50,50,50,50,50,50,50,50,50,50,50,50,30,30,30,30,20,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
learning_rate,0.004,0.0006990079532777798,0.0001,0.0010715399473836228,0.00040783886902393755,0.00021250006797232895,0.002417130374244699,0.0001258430018789339,0.0001,0.00015292127781997098,0.0001,0.0006795184423178851,0.00014664177165849931,0.00014664177165849931,0.0001258430018789339,0.0001258430018789339,0.00021812144757174065,0.00021812144757174065,0.00029119129328816323,0.0009422364615643448,0.004,0.0006501885683732512,0.0014805096752975348,0.0002763364849605814,0.0001,0.004,0.00018022558572755338,0.0024043419877028413,0.00026915710736624194,0.0005377065075108085,0.004,0.0001,0.0001,0.0009234718044868614,0.004
learning_rate,"(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')","(0.0001, 0.004, 'log-uniform')"
max_bin,838,758,406,307,290,754,1000,224,100,204,1000,100,270,270,224,224,100,100,1000,735,1000,360,702,184,1000,892,1000,1000,987,989,1000,656,770,1000,100
max_bin,"(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1000)","(100, 1200)"
max_depth,"(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)","(0, 50)"
max_depth,50,28,29,23,0,41,49,18,16,15,50,50,22,22,18,18,19,19,50,32,10,32,48,50,0,50,29,47,19,0,50,50,28,36,48
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
min_child_samples,5,26,50,50,32,50,40,38,5,8,5,21,36,36,38,38,11,11,37,40,31,33,29,5,5,10,12,28,33,40,40,28,5,30,20
min_child_samples,"(5, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 50)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_weight,"(5, 15)",,,"(5, 15)","(5, 15)","(5, 15)",,,,,,,,,,,,,,,,,,,,,,"(0.001, 10.0)","(2.0, 5.0)","(2.0, 5.0)","(3.0, 5.0)","(3.0, 5.0)","(3.0, 5.0)","(3.0, 6.0)","(3.0, 6.0)"
min_child_weight,15,0.001,0.001,13,7,13,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.5102212552271547,2.4845687863122623,3.780791222723737,3.020628365344427,5.0,4.370078618759771,5.119980012506488,5.017418762577616
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)"
n_estimators,700,5536,2897,1381,7837,7869,4285,3409,5000,4056,700,700,2873,2873,3409,3409,4000,4000,700,1912,4275,3249,4224,1869,700,4572,700,5000,5000,725,700,3273,4531,1558,2915
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
num_leaves,3,13,20,17,11,3,3,20,8,6,20,19,20,20,20,20,11,11,20,3,12,14,20,20,19,7,20,3,16,20,4,20,4,11,3
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,"(0, 4.0, 'uniform')","(0, 4.0, 'uniform')","(1, 3.0, 'uniform')","(0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.5, 'uniform')","(1.0, 2.5, 'uniform')","(0.0, 1.5, 'uniform')","(0.0, 1.5, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_alpha,0,2,2,3,0.7405082488530242,1,4.0,0.7770497001067955,0.0,0.26596729519994516,0.0,1.1304951672098067,0.5983009777496737,0.5983009777496737,0.38852485005339776,0.38852485005339776,0.3702541244265121,0.3702541244265121,1.790988364073324,2.0,2.8861038603727853,1.0026327971232425,0.13096367299077918,1.075538449842719,0.0,2.5,2.1277505660582285,0.8135504393513966,0.0,0.5366070177837983,1.7227729430524745,0.03508928050833151,0.27095406977680087,0.18295137747753906,0.18447146834705058
reg_lambda,"(0, 4.0, 'uniform')","(0, 4.0, 'uniform')","(1, 5.0, 'uniform')","(0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.5, 'uniform')","(1.0, 4.5, 'uniform')","(0.0, 3.5, 'uniform')","(0.0, 3.5, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.5, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.5, 'uniform')","(0.0, 7.0, 'uniform')","(0.0, 7.5, 'uniform')","(0.0, 9.0, 'uniform')","(0.0, 9.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')"
reg_lambda,0,4,4,0,1.4705428484986756,2,4.0,1.2146419659493164,2.97155309280186,1.6920782183462202,0.0,2.516122808865619,1.9199017160285328,1.9199017160285328,1.8219629489239746,2.125623440411304,1.8381785606233445,1.8381785606233445,3.282540882963429,3.176803178412975,5.0,5.0,5.5,6.5285980683889,7.5,4.6446143842517955,3.1618999576093,4.0,1.707505428598632,1.9222945476066082,4.0,1.5802443115187157,0.0,2.194221762081072,3.920954516763119
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","[0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8
 1.9]","[0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8
 1.9]","[0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.  1.1 1.2 1.3 1.4 1.5 1.6 1.7 1.8
 1.9]","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.7929536861563735,0.6462007975096964,0.6842099835618743,0.8,0.8,0.6,0.7831850297430674,0.4538499819025539,0.6382495859792454,0.5696741771722786,2.0,0.7302034644409658,0.4597048396156218,0.4597048396156218,0.4538499819025539,0.4538499819025539,0.9283974730118987,0.9283974730118987,0.9490720184205077,0.531975997072256,0.3983406747533348,0.7204848418178842,0.8785410008569243,0.41913435449134784,1.365944718618567,0.2,1.3347237200344986,0.36429376321169615,0.6835159899965202,0.6110130938221702,0.49571981682047034,0.6222275222637952,0.764551951101041,0.6271897608264749,0.2996419380932418
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
second_best_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
second_best_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.005,0.8929536160978595,0.766280203278796,0.5972656114406726,0.7473968543326747,0.3136393752802958,0.005,0.05257883563224533,1.0,0.9848353788400677,0.005,0.21593062345527708,0.10155228448654315,0.10155228448654315,0.05257883563224533,0.05257883563224533,0.7473968543326747,0.7473968543326747,1.0,0.16451824581653723,0.005,0.8320596116889168,0.8905653438912957,0.005,0.411719943656265,0.5616131723169063,0.869160932583859,0.12141322499718943,0.8413088134501889,0.42833158521724035,0.005,0.005,0.04617372896538681,0.04140674903329627,0.005
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample_for_bin,1086780,1141418,1184501,259604,1150185,446898,195342,370662,395751,326981,500000,111676,386504,386504,370662,370662,481885,481885,500000,328129,100000,516783,100000,116900,100000,270047,493887,239400,585732,100000,100000,100000,556867,531328,615623
subsample_for_bin,"(100000, 1200000)","(100000, 1200000)","(100000, 1200000)","(100000, 1200000)","(100000, 1200000)","(100000, 1200000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)"
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.6634848484848486,0.7423076923076923,0.6845238095238095,0.663540260908682,0.6557613954672779,0.7065476190476191,0.6442495126705653,0.95,0.6635790679908327,0.6542857142857142,0.6666666666666667,0.6367379679144385,0.8666666666666666,0.8666666666666666,0.95,0.9333333333333332,0.6224503714529289,0.6224503714529289,0.6972222222222222,0.6853679653679653,0.7177777777777777,0.6280107985223073,0.6476812661023188,0.788888888888889,0.8533333333333333,0.8800000000000001,0.6897435897435897,0.6806349206349207,0.6664360201202306,0.6757142857142857,0.6593939393939394,0.6692640692640692,0.6662878787878788,0.6747294810452706,0.8433333333333334
best_index,30.0,29.0,26.0,17.0,8.0,31.0,31.0,1.0,24.0,31.0,32.0,15.0,23.0,23.0,1.0,1.0,8.0,8.0,38.0,47.0,45.0,15.0,29.0,49.0,12.0,18.0,46.0,46.0,46.0,38.0,46.0,24.0,26.0,35.0,48.0
acc_train,0.6937984496124031,0.6511627906976745,0.7131782945736435,0.6744186046511628,0.8875968992248062,0.6472868217054264,0.751937984496124,0.5968992248062015,0.7945736434108527,0.7984496124031008,0.8178294573643411,0.8488372093023255,0.6046511627906976,0.6046511627906976,0.5968992248062015,0.5968992248062015,0.9534883720930233,0.9534883720930233,0.6744186046511628,0.6937984496124031,0.7325581395348837,0.8294573643410853,0.9612403100775194,0.6550387596899225,0.6821705426356589,0.6589147286821705,0.7170542635658915,0.6589147286821705,0.8488372093023255,0.6627906976744186,0.748062015503876,0.7635658914728682,0.7906976744186046,0.810077519379845,0.624031007751938
acc_val,0.3684210526315789,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.42105263157894735,0.3684210526315789,0.47368421052631576,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.5789473684210527,0.47368421052631576,0.5263157894736842,0.5263157894736842,0.5789473684210527,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.3684210526315789,0.5789473684210527,0.42105263157894735,0.47368421052631576
acc_test,0.6176470588235294,0.5294117647058824,0.5588235294117647,0.5882352941176471,0.6470588235294118,0.5294117647058824,0.6470588235294118,0.5,0.6470588235294118,0.7058823529411765,0.5294117647058824,0.6764705882352942,0.5588235294117647,0.5588235294117647,0.5,0.5,0.6764705882352942,0.6764705882352942,0.5294117647058824,0.6470588235294118,0.5882352941176471,0.6764705882352942,0.5882352941176471,0.47058823529411764,0.5294117647058824,0.5588235294117647,0.5882352941176471,0.5294117647058824,0.6470588235294118,0.6176470588235294,0.6176470588235294,0.6764705882352942,0.6176470588235294,0.7058823529411765,0.5294117647058824
train_precision,0.7866666666666666,1.0,0.8636363636363636,0.7375,0.9345794392523364,0.8163265306122449,0.7685185185185185,1.0,0.9859154929577465,0.972972972972973,1.0,0.9368421052631579,1.0,1.0,0.95,1.0,0.9741379310344828,0.9741379310344828,0.9523809523809523,0.8909090909090909,0.9818181818181818,0.8979591836734694,0.9745762711864406,1.0,1.0,1.0,0.9298245614035088,0.9722222222222222,0.9560439560439561,0.9487179487179487,0.9384615384615385,0.9066666666666666,0.9473684210526315,0.9294117647058824,0.9629629629629629
train_tn,120.0,136.0,127.0,115.0,129.0,127.0,111.0,136.0,135.0,134.0,136.0,130.0,136.0,136.0,135.0,136.0,133.0,133.0,134.0,130.0,135.0,126.0,133.0,136.0,136.0,136.0,132.0,135.0,132.0,134.0,132.0,129.0,132.0,130.0,135.0
train_fp,16.0,0.0,9.0,21.0,7.0,9.0,25.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,6.0,1.0,10.0,3.0,0.0,0.0,0.0,4.0,1.0,4.0,2.0,4.0,7.0,4.0,6.0,1.0
