parameter,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10
min_child_samples,"(5, 40)",[30],"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_weight,"(1.0, 5.0)",,"(3.0, 5.0)","(3.0, 6.0)","(3.0, 5.0)","(3.0, 5.0)",,,"(3.0, 5.0)"
min_child_weight,4.03952825977175,0.001,4.699774638727422,5.868307389412163,3.179248807734788,3.925374935426946,0.001,0.001,4.699774638727422
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)",[4430],"(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)"
n_estimators,5000,4430,3128,1554,3986,700,1067,892,3128
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98,98,98,98
num_col,98,98,98,98,98,98,98,98,98
num_leaves,3,7,15,20,20,20,20,20,15
num_leaves,"(3, 20)",[7],"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
random_state,42,42,42,42,42,42,42,42,42
reg_alpha,"(0.0, 4.0, 'uniform')",[0.3316885531236909],"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 4.0, 'uniform')"
reg_alpha,0.9327789934345192,0.3316885531236909,3.171748843268028,0.0,1.6099631381166686,0.0,0.6714326699568128,2.967771288620863,3.171748843268028
reg_lambda,"(0.0, 4.0, 'uniform')",[4.0],"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')"
reg_lambda,4.0,4.0,4.0,4.0,1.8893388171613967,0.0,3.3451157756725,1.0421850546634108,4.0
scale_pos_weight,"(0.2, 2.0, 'uniform')",[0.4502797905751872],"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.3206660613853089,0.4502797905751872,0.5118057188462797,0.5162609606868374,0.5289899190371927,1.2519482890275646,1.0525475933710786,0.7178949029212842,0.5118057188462797
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision
second_best_index,,23,,,,,,,
second_best_index,,23,,,,,,,
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.7742145527868235,0.5094181297695733,0.5647752351332301,0.005,0.2955719952973697,0.005,0.283862273001041,0.4339460059997201,0.5647752351332301
subsample,"(0.005, 1.0, 'uniform')",[0.5094181297695733],"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample_for_bin,637417,254057,100000,100000,150346,553221,552637,576934,100000
subsample_for_bin,"(100000, 700000)",[254057],"(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)","(100000, 700000)"
subsample_freq,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0
best_score,0.73,0.6637659399424105,0.7203174603174602,0.6777777777777778,0.6496783625730994,0.6675213675213675,0.6299999999999999,0.6491702741702742,0.7203174603174602
best_index,24.0,0.0,40.0,35.0,49.0,28.0,33.0,35.0,40.0
acc_train,0.5852713178294574,0.7364341085271318,0.6666666666666666,0.689922480620155,0.9147286821705426,0.813953488372093,0.8953488372093024,0.8798449612403101,0.6666666666666666
acc_val,0.47368421052631576,0.47368421052631576,0.5263157894736842,0.42105263157894735,0.5263157894736842,0.5263157894736842,0.3684210526315789,0.5263157894736842,0.5263157894736842
acc_test,0.5294117647058824,0.6176470588235294,0.5882352941176471,0.6764705882352942,0.6764705882352942,0.6176470588235294,0.6764705882352942,0.6764705882352942,0.5882352941176471
train_precision,1.0,0.9090909090909091,0.9090909090909091,0.9038461538461539,0.9901960784313726,1.0,0.8861788617886179,0.9690721649484536,0.9090909090909091
train_tn,136.0,130.0,132.0,131.0,135.0,136.0,122.0,133.0,132.0
train_fp,0.0,6.0,4.0,5.0,1.0,0.0,14.0,3.0,4.0
train_fn,107.0,62.0,82.0,75.0,21.0,48.0,13.0,28.0,82.0
train_tp,15.0,60.0,40.0,47.0,101.0,74.0,109.0,94.0,40.0
val_precision,0.0,0.5,1.0,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.4166666666666667,0.6,1.0
val_tn,9.0,8.0,9.0,7.0,6.0,8.0,2.0,7.0,9.0
val_fp,0.0,1.0,0.0,2.0,3.0,1.0,7.0,2.0,0.0
val_fn,10.0,9.0,9.0,9.0,6.0,8.0,5.0,7.0,9.0
val_tp,0.0,1.0,1.0,1.0,4.0,2.0,5.0,3.0,1.0
test_precision,0.0,0.6666666666666666,0.75,0.7777777777777778,0.6923076923076923,0.7142857142857143,0.6086956521739131,0.6470588235294118,0.75
recall,0.0,0.375,0.1875,0.4375,0.5625,0.3125,0.875,0.6875,0.1875
f1score,0.0,0.4800000000000001,0.3,0.56,0.6206896551724138,0.43478260869565216,0.717948717948718,0.6666666666666667,0.3
roc,0.5,0.6041666666666667,0.5659722222222222,0.6631944444444444,0.670138888888889,0.6006944444444444,0.6875,0.6770833333333335,0.5659722222222222
test_tn,18.0,15.0,17.0,16.0,14.0,16.0,9.0,12.0,17.0
test_fp,0.0,3.0,1.0,2.0,4.0,2.0,9.0,6.0,1.0
test_fn,16.0,10.0,13.0,9.0,7.0,11.0,2.0,5.0,13.0
test_tp,0.0,6.0,3.0,7.0,9.0,5.0,14.0,11.0,3.0
