parameter,value1,value2,value3,value4,value5,value6,value7,value8
fn,21.0,21.0,18.0,20.0,16.0,19.0,15.0,16.0
tp,3.0,3.0,6.0,4.0,8.0,5.0,9.0,8.0
acc_test1,0.4666666666666667,0.4666666666666667,0.6,0.5333333333333333,0.6666666666666666,0.5333333333333333,0.7333333333333333,0.6666666666666666
precision1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recall1,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.5555555555555556,0.4444444444444444
f1score1,0.19999999999999998,0.19999999999999998,0.5,0.3636363636363636,0.6153846153846153,0.3636363636363636,0.7142857142857143,0.6153846153846153
roc1,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6111111111111112,0.7222222222222222,0.6111111111111112,0.7777777777777778,0.7222222222222222
tn1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fn1,8.0,8.0,6.0,7.0,5.0,7.0,4.0,5.0
tp1,1.0,1.0,3.0,2.0,4.0,2.0,5.0,4.0
acc_test2,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333
precision2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
recall2,0.0,0.0,0.125,0.0,0.125,0.125,0.125,0.125
f1score2,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
roc2,0.5,0.5,0.5625,0.5,0.5625,0.5625,0.5625,0.5625
tn2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fn2,8.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0
tp2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
acc_test3,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.7647058823529411
precision3,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.75,1.0
recall3,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855
f1score3,0.4,0.4,0.4,0.4444444444444445,0.6,0.4444444444444445,0.5454545454545454,0.6
roc3,0.5928571428571427,0.5928571428571427,0.5928571428571427,0.6428571428571428,0.7142857142857143,0.6428571428571428,0.6642857142857144,0.7142857142857143
tn3,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0
fp3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
fn3,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0
tp3,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
