parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11
best_score,0.7564102564102564,0.7888888888888889,0.7135416666666666,0.8809523809523809,0.8185185185185185,0.8185185185185185,0.8185185185185185,0.7888888888888889,0.8257575757575758,0.7888888888888889,0.7714285714285714
best_index,35.0,23.0,15.0,44.0,8.0,8.0,8.0,23.0,57.0,23.0,25.0
acc_train,0.8125,0.7916666666666666,0.7708333333333334,0.8072916666666666,0.75,0.75,0.75,0.7916666666666666,0.7708333333333334,0.7916666666666666,0.7760416666666666
acc_val,0.5208333333333334,0.5625,0.6041666666666666,0.5208333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5625,0.5416666666666666,0.5625,0.5833333333333334
acc_test,0.65,0.6333333333333333,0.5666666666666667,0.6166666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6333333333333333,0.6,0.6333333333333333,0.6166666666666667
precision,0.7777777777777778,0.8333333333333334,0.5,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8333333333333334,0.75,0.8333333333333334,0.8
recall,0.2692307692307692,0.19230769230769232,0.46153846153846156,0.19230769230769232,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.19230769230769232,0.11538461538461539,0.19230769230769232,0.15384615384615385
f1score,0.39999999999999997,0.3125,0.48000000000000004,0.30303030303030304,0.24242424242424246,0.24242424242424246,0.24242424242424246,0.3125,0.19999999999999998,0.3125,0.25806451612903225
roc,0.6052036199095022,0.5814479638009049,0.5542986425339367,0.5667420814479638,0.5328054298642533,0.5328054298642533,0.5328054298642533,0.5814479638009049,0.5429864253393665,0.5814479638009049,0.5622171945701356
tn,32.0,33.0,22.0,32.0,31.0,31.0,31.0,33.0,33.0,33.0,33.0
fp,2.0,1.0,12.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
fn,19.0,21.0,14.0,21.0,22.0,22.0,22.0,21.0,23.0,21.0,22.0
tp,7.0,5.0,12.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0
acc_test1,0.7,0.6,0.65,0.65,0.6,0.6,0.6,0.6,0.55,0.6,0.55
precision1,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recall1,0.4,0.2,0.5,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.1
f1score1,0.5714285714285715,0.33333333333333337,0.588235294117647,0.4615384615384615,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.18181818181818182,0.33333333333333337,0.18181818181818182
roc1,0.7,0.6,0.6500000000000001,0.65,0.6,0.6,0.6,0.6,0.55,0.6,0.55
tn1,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
fp1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fn1,6.0,8.0,5.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0
tp1,4.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
acc_test2,0.65,0.65,0.55,0.6,0.6,0.6,0.6,0.65,0.6,0.65,0.65
precision2,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recall2,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222
f1score2,0.3636363636363636,0.3636363636363636,0.4,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.3636363636363636,0.19999999999999998,0.3636363636363636,0.3636363636363636
roc2,0.6111111111111112,0.6111111111111112,0.5303030303030303,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.5555555555555556,0.6111111111111112,0.6111111111111112
tn2,11.0,11.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
fp2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fn2,7.0,7.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0
tp2,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0
acc_test3,0.6,0.65,0.5,0.6,0.55,0.55,0.55,0.65,0.65,0.65,0.65
precision3,0.3333333333333333,0.5,0.36363636363636365,0.3333333333333333,0.25,0.25,0.25,0.5,0.5,0.5,0.5
recall3,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
f1score3,0.2,0.22222222222222224,0.4444444444444444,0.2,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224
roc3,0.49450549450549447,0.532967032967033,0.5164835164835164,0.49450549450549447,0.456043956043956,0.456043956043956,0.456043956043956,0.532967032967033,0.532967032967033,0.532967032967033,0.532967032967033
tn3,11.0,12.0,6.0,11.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0
fp3,2.0,1.0,7.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
fn3,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
tp3,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
