parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value16,value17,value18,value19,value20
reg_alpha,2.7,2.7,0.8,3.9000000000000004,0.8,0.8,0.5,0.5,2.7,3.3000000000000003,1.0,2.0,2.0,0.2,0.30000000000000004,0.4,0.30000000000000004,1.1
reg_lambda,0.30000000000000004,0.30000000000000004,2.0,0.0,2.0,2.0,0.7000000000000001,0.7000000000000001,0.30000000000000004,0.8,0.2,0.2,0.2,0.4,1.2000000000000002,1.0,1.2000000000000002,0.0
scale_pos_weight,0.7000000000000002,0.7000000000000002,1.0000000000000002,1.5000000000000004,1.0000000000000002,1.0000000000000002,0.8000000000000003,0.8000000000000003,0.7000000000000002,0.9000000000000001,0.8000000000000003,0.7000000000000002,0.7000000000000002,0.8000000000000003,0.30000000000000004,1.0000000000000002,0.30000000000000004,1.1000000000000003
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.5597576125719046,0.5597576125719046,0.36433471742398227,0.8452222291773318,0.36433471742398227,0.36433471742398227,0.40764193647046626,0.40764193647046626,0.5597576125719046,0.48952993548978346,0.4929646344714594,0.5597576125719046,0.5597576125719046,0.40764193647046626,0.6684947525293031,0.36433471742398227,0.6684947525293031,0.4943126967643726
subsample_for_bin,439614,439614,498762,500000,498762,498762,398451,398451,439614,443229,464585,439614,439614,398451,714473,997214,714473,869461
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.7777777777777777,0.7777777777777777,0.623477564102564,0.5621461060057552,0.6683410806217823,0.592189400162154,0.7333333333333333,0.7333333333333333,0.7777777777777777,0.6875,0.8083333333333332,0.75,0.75,0.7333333333333333,0.6345238095238095,0.5714285714285715,0.6345238095238095,0.7777777777777777
best_index,7.0,7.0,2.0,16.0,2.0,2.0,8.0,8.0,7.0,11.0,42.0,7.0,7.0,8.0,0.0,2.0,0.0,40.0
acc_train,0.7216494845360825,0.7216494845360825,0.7783505154639175,0.9845360824742269,0.7783505154639175,0.7783505154639175,0.6752577319587629,0.6752577319587629,0.7216494845360825,0.6907216494845361,0.7371134020618557,0.7731958762886598,0.7731958762886598,0.6958762886597938,0.9639175257731959,0.8762886597938144,0.9639175257731959,0.7371134020618557
acc_val,0.6122448979591837,0.6122448979591837,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.5918367346938775,0.5918367346938775,0.6122448979591837,0.6122448979591837,0.673469387755102,0.6326530612244898,0.6326530612244898,0.5918367346938775,0.673469387755102,0.7755102040816326,0.673469387755102,0.6326530612244898
acc_test,0.6229508196721312,0.6229508196721312,0.6721311475409836,0.39344262295081966,0.6721311475409836,0.6721311475409836,0.5901639344262295,0.5901639344262295,0.6229508196721312,0.6229508196721312,0.6229508196721312,0.6065573770491803,0.6065573770491803,0.5901639344262295,0.6229508196721312,0.6065573770491803,0.6229508196721312,0.6065573770491803
precision,1.0,1.0,0.7,0.30303030303030304,0.7,0.7,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5714285714285714,0.5,0.5714285714285714,0.5
recall,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.4166666666666667,0.2916666666666667,0.2916666666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.2916666666666667,0.16666666666666666,0.041666666666666664
f1score,0.07999999999999999,0.07999999999999999,0.4117647058823529,0.3508771929824562,0.4117647058823529,0.4117647058823529,0.07407407407407407,0.07407407407407407,0.07999999999999999,0.07999999999999999,0.07999999999999999,0.07692307692307693,0.07692307692307693,0.07407407407407407,0.25806451612903225,0.3684210526315789,0.25806451612903225,0.07692307692307693
roc,0.5208333333333334,0.5208333333333334,0.6052927927927928,0.39752252252252257,0.6052927927927928,0.6052927927927928,0.49380630630630634,0.49380630630630634,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5073198198198199,0.5073198198198199,0.49380630630630634,0.5427927927927928,0.5512387387387387,0.5427927927927928,0.5073198198198199
tn,37.0,37.0,34.0,14.0,34.0,34.0,35.0,35.0,37.0,37.0,37.0,36.0,36.0,35.0,34.0,30.0,34.0,36.0
fp,0.0,0.0,3.0,23.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,7.0,3.0,1.0
fn,23.0,23.0,17.0,14.0,17.0,17.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,20.0,17.0,20.0,23.0
tp,1.0,1.0,7.0,10.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,4.0,1.0
acc_test1,0.5,0.5,0.6,0.4,0.6,0.6,0.5,0.5,0.5,0.5,0.55,0.5,0.5,0.5,0.5,0.55,0.5,0.5
precision1,0.0,0.0,0.75,0.4,0.75,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.6,0.5,0.0
recall1,0.0,0.0,0.3,0.4,0.3,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.1,0.0
f1score1,0.0,0.0,0.4285714285714285,0.4000000000000001,0.4285714285714285,0.4285714285714285,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.16666666666666669,0.4,0.16666666666666669,0.0
roc1,0.5,0.5,0.6000000000000001,0.39999999999999997,0.6000000000000001,0.6000000000000001,0.5,0.5,0.5,0.5,0.55,0.5,0.5,0.5,0.5,0.55,0.5,0.5
tn1,10.0,10.0,9.0,4.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0
fp1,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
fn1,10.0,10.0,7.0,6.0,7.0,7.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,7.0,9.0,10.0
tp1,0.0,0.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
acc_test2,0.65,0.65,0.7,0.4,0.7,0.7,0.55,0.55,0.65,0.65,0.6,0.6,0.6,0.55,0.6,0.6,0.6,0.6
precision2,1.0,1.0,0.75,0.3,0.75,0.75,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5
recall2,0.125,0.125,0.375,0.375,0.375,0.375,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.25,0.375,0.25,0.125
f1score2,0.2222222222222222,0.2222222222222222,0.5,0.33333333333333326,0.5,0.5,0.18181818181818182,0.18181818181818182,0.2222222222222222,0.2222222222222222,0.0,0.2,0.2,0.18181818181818182,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.2
roc2,0.5625,0.5625,0.6458333333333333,0.3958333333333333,0.6458333333333333,0.6458333333333333,0.4791666666666667,0.4791666666666667,0.5625,0.5625,0.5,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.5416666666666667,0.5625,0.5416666666666667,0.5208333333333334
tn2,12.0,12.0,11.0,5.0,11.0,11.0,10.0,10.0,12.0,12.0,12.0,11.0,11.0,10.0,10.0,9.0,10.0,11.0
fp2,0.0,0.0,1.0,7.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0
fn2,7.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0
tp2,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0
acc_test3,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.38095238095238093,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.6666666666666666,0.7619047619047619,0.7142857142857143
precision3,0.0,0.0,0.5,0.23076923076923078,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0
recall3,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
f1score3,0.0,0.0,0.25,0.3157894736842105,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2222222222222222,0.2857142857142857,0.0
roc3,0.5,0.5,0.55,0.41666666666666663,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333334,0.5166666666666667,0.5833333333333334,0.5
tn3,15.0,15.0,14.0,5.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,13.0,15.0,15.0
fp3,0.0,0.0,1.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
fn3,6.0,6.0,5.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0
tp3,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
