parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9
best_score,0.6276190476190477,0.6309523809523809,0.6309523809523809,0.5947619047619048,0.5947619047619048,0.6209523809523809,0.6666666666666667,0.6957142857142857,0.6666666666666667
best_index,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
acc_train,0.9617486338797814,0.9617486338797814,0.9617486338797814,0.9398907103825137,0.9398907103825137,0.9617486338797814,0.9234972677595629,0.9344262295081968,0.9234972677595629
acc_val,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.6086956521739131,0.6086956521739131,0.6956521739130435,0.6521739130434783,0.6304347826086957,0.6521739130434783
acc_test,0.7068965517241379,0.7241379310344828,0.7241379310344828,0.7068965517241379,0.7068965517241379,0.7068965517241379,0.6206896551724138,0.6206896551724138,0.6206896551724138
precision,0.7727272727272727,0.8095238095238095,0.8095238095238095,0.6764705882352942,0.6764705882352942,0.7727272727272727,0.8181818181818182,0.8181818181818182,0.8181818181818182
recall,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.7931034482758621,0.7931034482758621,0.5862068965517241,0.3103448275862069,0.3103448275862069,0.3103448275862069
f1score,0.6666666666666667,0.68,0.68,0.7301587301587301,0.7301587301587301,0.6666666666666667,0.45000000000000007,0.45000000000000007,0.45000000000000007
roc,0.7068965517241379,0.7241379310344827,0.7241379310344827,0.706896551724138,0.706896551724138,0.7068965517241379,0.6206896551724138,0.6206896551724138,0.6206896551724138
tn,24.0,25.0,25.0,18.0,18.0,24.0,27.0,27.0,27.0
fp,5.0,4.0,4.0,11.0,11.0,5.0,2.0,2.0,2.0
fn,12.0,12.0,12.0,6.0,6.0,12.0,20.0,20.0,20.0
tp,17.0,17.0,17.0,23.0,23.0,17.0,9.0,9.0,9.0
acc_test1,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.631578947368421,0.631578947368421,0.5789473684210527,0.47368421052631576,0.47368421052631576,0.47368421052631576
precision1,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.5,0.5,0.5
recall1,0.3,0.3,0.3,0.6,0.6,0.3,0.1,0.1,0.1
f1score1,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.631578947368421,0.631578947368421,0.4285714285714285,0.16666666666666669,0.16666666666666669,0.16666666666666669
roc1,0.5944444444444444,0.5944444444444444,0.5944444444444444,0.6333333333333334,0.6333333333333334,0.5944444444444444,0.49444444444444446,0.49444444444444446,0.49444444444444446
tn1,8.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0
fp1,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0
fn1,7.0,7.0,7.0,4.0,4.0,7.0,9.0,9.0,9.0
tp1,3.0,3.0,3.0,6.0,6.0,3.0,1.0,1.0,1.0
acc_test2,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579
precision2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.6153846153846154,0.6666666666666666,0.8,0.8,0.8
recall2,0.75,0.75,0.75,1.0,1.0,0.75,0.5,0.5,0.5
f1score2,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.761904761904762,0.761904761904762,0.7058823529411765,0.6153846153846154,0.6153846153846154,0.6153846153846154
roc2,0.7386363636363636,0.7386363636363636,0.7386363636363636,0.7727272727272727,0.7727272727272727,0.7386363636363636,0.7045454545454545,0.7045454545454545,0.7045454545454545
tn2,8.0,8.0,8.0,6.0,6.0,8.0,10.0,10.0,10.0
fp2,3.0,3.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0
fn2,2.0,2.0,2.0,0.0,0.0,2.0,4.0,4.0,4.0
tp2,6.0,6.0,6.0,8.0,8.0,6.0,4.0,4.0,4.0
acc_test3,0.8,0.85,0.85,0.75,0.75,0.8,0.65,0.65,0.65
precision3,0.8888888888888888,1.0,1.0,0.75,0.75,0.8888888888888888,1.0,1.0,1.0
recall3,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.36363636363636365,0.36363636363636365,0.36363636363636365
f1score3,0.7999999999999999,0.8421052631578948,0.8421052631578948,0.7826086956521738,0.7826086956521738,0.7999999999999999,0.5333333333333333,0.5333333333333333,0.5333333333333333
roc3,0.8080808080808081,0.8636363636363636,0.8636363636363636,0.7424242424242425,0.7424242424242425,0.8080808080808081,0.6818181818181819,0.6818181818181819,0.6818181818181819
tn3,8.0,9.0,9.0,6.0,6.0,8.0,9.0,9.0,9.0
fp3,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0
fn3,3.0,3.0,3.0,2.0,2.0,3.0,7.0,7.0,7.0
tp3,8.0,8.0,8.0,9.0,9.0,8.0,4.0,4.0,4.0
