parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25
subsample,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
subsample_for_bin,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
scale_pos_weight,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cv,,,,,,,,,,,,,,,,,,,,,,,,,
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
num_col,110,110,110,110,110,110,110,95,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
best_score,0.6474976004387769,0.658874458874459,0.6284766214177979,0.658874458874459,0.658874458874459,0.6578021978021977,0.6519198448610213,0.6511821511821512,0.6681052281052281,0.6363254392666158,0.6076282051282051,0.6290909090909091,0.6625108225108225,0.6373989898989899,0.6237878787878788,0.6363254392666158,0.6543323343323343,0.6691308691308692,0.6429921059332824,0.6386331315743081,0.6393037518037518,0.6826298701298702,0.6363254392666158,0.6181693306693307,0.6130411255411256
best_index,702.0,672.0,18.0,750.0,456.0,480.0,76.0,256.0,58.0,178.0,272.0,134.0,154.0,254.0,80.0,160.0,260.0,76.0,246.0,380.0,474.0,17136.0,0.0,0.0,0.0
acc_train,1.0,1.0,0.8859060402684564,1.0,1.0,0.9463087248322147,1.0,1.0,0.9865771812080537,0.9731543624161074,0.8993288590604027,0.912751677852349,0.9798657718120806,0.9261744966442953,0.9261744966442953,0.9664429530201343,0.9530201342281879,0.9865771812080537,1.0,1.0,0.9395973154362416,1.0,0.9731543624161074,0.9731543624161074,0.9731543624161074
acc_val,0.5526315789473685,0.5526315789473685,0.5,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.6052631578947368,0.5789473684210527,0.6052631578947368,0.5526315789473685,0.5789473684210527,0.5789473684210527,0.6052631578947368,0.5526315789473685,0.5789473684210527,0.6052631578947368,0.5789473684210527,0.5526315789473685,0.5263157894736842,0.6052631578947368,0.6052631578947368,0.6052631578947368
acc_test,0.7446808510638298,0.723404255319149,0.723404255319149,0.723404255319149,0.723404255319149,0.7446808510638298,0.7446808510638298,0.7446808510638298,0.7446808510638298,0.8085106382978723,0.723404255319149,0.7659574468085106,0.7659574468085106,0.7872340425531915,0.7659574468085106,0.7659574468085106,0.7446808510638298,0.723404255319149,0.7659574468085106,0.7659574468085106,0.7446808510638298,0.723404255319149,0.8085106382978723,0.7872340425531915,0.7872340425531915
precision,0.7727272727272727,0.7619047619047619,0.72,0.7619047619047619,0.7619047619047619,0.7727272727272727,0.8,0.8,0.8,0.8571428571428571,0.7391304347826086,0.782608695652174,0.8095238095238095,0.8181818181818182,0.8095238095238095,0.782608695652174,0.7727272727272727,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7727272727272727,0.7619047619047619,0.8571428571428571,0.8181818181818182,0.8181818181818182
recall,0.7083333333333334,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.7083333333333334,0.75,0.7083333333333334,0.75,0.7083333333333334,0.75,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.75,0.75,0.75
f1score,0.7391304347826088,0.7111111111111111,0.7346938775510204,0.7111111111111111,0.7111111111111111,0.7391304347826088,0.7272727272727272,0.7272727272727272,0.7272727272727272,0.7999999999999999,0.723404255319149,0.7659574468085107,0.7555555555555556,0.7826086956521738,0.7555555555555556,0.7659574468085107,0.7391304347826088,0.7111111111111111,0.7555555555555556,0.7555555555555556,0.7391304347826088,0.7111111111111111,0.7999999999999999,0.7826086956521738,0.7826086956521738
roc,0.7454710144927537,0.7246376811594203,0.7228260869565217,0.7246376811594203,0.7246376811594203,0.7454710144927537,0.7463768115942029,0.7463768115942029,0.7463768115942029,0.8097826086956521,0.723731884057971,0.766304347826087,0.7672101449275364,0.7880434782608695,0.7672101449275364,0.766304347826087,0.7454710144927537,0.7246376811594203,0.7672101449275364,0.7672101449275364,0.7454710144927537,0.7246376811594203,0.8097826086956521,0.7880434782608695,0.7880434782608695
tn,18.0,18.0,16.0,18.0,18.0,18.0,19.0,19.0,19.0,20.0,17.0,18.0,19.0,19.0,19.0,18.0,18.0,18.0,19.0,19.0,18.0,18.0,20.0,19.0,19.0
fp,5.0,5.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0
fn,7.0,8.0,6.0,8.0,8.0,7.0,8.0,8.0,8.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,8.0,7.0,7.0,7.0,8.0,6.0,6.0,6.0
tp,17.0,16.0,18.0,16.0,16.0,17.0,16.0,16.0,16.0,18.0,17.0,18.0,17.0,18.0,17.0,18.0,17.0,16.0,17.0,17.0,17.0,16.0,18.0,18.0,18.0
acc_test1,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.8,0.7333333333333333,0.8,0.7333333333333333,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.8,0.8,0.8
precision1,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
recall1,0.5,0.5,0.625,0.5,0.5,0.625,0.375,0.375,0.375,0.625,0.5,0.625,0.5,0.625,0.5,0.625,0.5,0.375,0.5,0.5,0.5,0.375,0.625,0.625,0.625
f1score1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7692307692307693,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.7692307692307693,0.6153846153846154,0.7142857142857143,0.6666666666666666,0.7692307692307693,0.6666666666666666,0.7692307692307693,0.6666666666666666,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.7692307692307693,0.7692307692307693,0.7692307692307693
roc1,0.75,0.75,0.6696428571428572,0.75,0.75,0.8125,0.6875,0.6875,0.6875,0.8125,0.6785714285714286,0.7410714285714286,0.75,0.8125,0.75,0.8125,0.75,0.6875,0.75,0.75,0.75,0.6875,0.8125,0.8125,0.8125
tn1,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
fp1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fn1,4.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0
tp1,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0
acc_test2,0.8,0.8,0.8666666666666667,0.8,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8,0.8666666666666667,0.8,0.8,0.8,0.8,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667
precision2,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8333333333333334
recall2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
f1score2,0.7692307692307692,0.7692307692307692,0.8333333333333334,0.7692307692307692,0.7692307692307692,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7692307692307692,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7692307692307692,0.8333333333333334,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.7692307692307692,0.8333333333333334,0.8333333333333334,0.8333333333333334
roc2,0.8055555555555556,0.8055555555555556,0.8611111111111112,0.8055555555555556,0.8055555555555556,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8055555555555556,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8055555555555556,0.8611111111111112,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8611111111111112,0.8611111111111112,0.8611111111111112
tn2,7.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0
fp2,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
fn2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tp2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
acc_test3,0.7058823529411765,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.5882352941176471,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.6470588235294118,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.7058823529411765
precision3,0.7272727272727273,0.7,0.6666666666666666,0.7,0.7,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.8,0.8,0.7272727272727273,0.7272727272727273,0.8,0.7272727272727273,0.7272727272727273
recall3,0.8,0.7,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
f1score3,0.761904761904762,0.7,0.7272727272727272,0.7,0.7,0.6666666666666666,0.761904761904762,0.761904761904762,0.761904761904762,0.8000000000000002,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.7272727272727272,0.761904761904762,0.8000000000000002,0.8000000000000002,0.761904761904762,0.761904761904762,0.8000000000000002,0.761904761904762,0.761904761904762
roc3,0.6857142857142857,0.6357142857142857,0.6142857142857143,0.6357142857142857,0.6357142857142857,0.5642857142857143,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.7571428571428572,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.6142857142857143,0.6857142857142857,0.7571428571428572,0.7571428571428572,0.6857142857142857,0.6857142857142857,0.7571428571428572,0.6857142857142857,0.6857142857142857
tn3,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0
fp3,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
fn3,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
tp3,8.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
