parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9
roc1,0.4642857142857143,0.4285714285714286,0.4285714285714286,0.5714285714285714,0.4285714285714286,0.4285714285714286,0.4642857142857143,0.3928571428571428,0.3928571428571428
tn1,13.0,12.0,12.0,14.0,12.0,12.0,13.0,9.0,9.0
fp1,1.0,2.0,2.0,0.0,2.0,2.0,1.0,5.0,5.0
fn1,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0
tp1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
acc_test2,0.6190476190476191,0.7142857142857143,0.7142857142857143,0.47619047619047616,0.6666666666666666,0.7619047619047619,0.7142857142857143,0.5238095238095238,0.5238095238095238
precision2,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.0,1.0,0.8333333333333334,0.7142857142857143,0.4444444444444444,0.4444444444444444
recall2,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.0,0.2222222222222222,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444
f1score2,0.5,0.6250000000000001,0.6250000000000001,0.0,0.3636363636363636,0.6666666666666667,0.6250000000000001,0.4444444444444444,0.4444444444444444
roc2,0.5972222222222222,0.6944444444444444,0.6944444444444444,0.4166666666666667,0.6111111111111112,0.736111111111111,0.6944444444444444,0.5138888888888888,0.5138888888888888
tn2,9.0,10.0,10.0,10.0,12.0,11.0,10.0,7.0,7.0
fp2,3.0,2.0,2.0,2.0,0.0,1.0,2.0,5.0,5.0
fn2,5.0,4.0,4.0,9.0,7.0,4.0,4.0,5.0,5.0
tp2,4.0,5.0,5.0,0.0,2.0,5.0,5.0,4.0,4.0
acc_test3,0.42857142857142855,0.42857142857142855,0.38095238095238093,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.47619047619047616,0.47619047619047616
precision3,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5714285714285714,0.5714285714285714
recall3,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.3333333333333333,0.3333333333333333
f1score3,0.14285714285714285,0.3333333333333333,0.23529411764705882,0.14285714285714285,0.25,0.3333333333333333,0.25,0.4210526315789474,0.4210526315789474
roc3,0.48611111111111105,0.4583333333333334,0.41666666666666674,0.48611111111111105,0.4722222222222222,0.4583333333333334,0.4722222222222222,0.5,0.5
tn3,8.0,6.0,6.0,8.0,7.0,6.0,7.0,6.0,6.0
fp3,1.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0
fn3,11.0,9.0,10.0,11.0,10.0,9.0,10.0,8.0,8.0
tp3,1.0,3.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0
