parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)"
subsample_freq,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0
best_score,0.7354497354497355,0.6944444444444444,0.7222222222222222,0.6773504273504273,0.7307692307692308,0.7000000000000001,0.6666666666666666,0.7307692307692308
best_index,10.0,38.0,23.0,27.0,45.0,6.0,19.0,45.0
acc_train,0.6766169154228856,0.8059701492537313,0.835820895522388,0.835820895522388,0.6616915422885572,0.7114427860696517,0.6965174129353234,0.6616915422885572
acc_val,0.5882352941176471,0.6274509803921569,0.6078431372549019,0.6078431372549019,0.5882352941176471,0.5490196078431373,0.6078431372549019,0.5882352941176471
acc_test,0.453125,0.421875,0.4375,0.5,0.484375,0.484375,0.484375,0.484375
train_precision,0.90625,1.0,1.0,1.0,0.9259259259259259,0.851063829787234,0.9411764705882353,0.9259259259259259
train_tn,107.0,110.0,110.0,110.0,108.0,103.0,108.0,108.0
train_fp,3.0,0.0,0.0,0.0,2.0,7.0,2.0,2.0
train_fn,62.0,39.0,33.0,33.0,66.0,51.0,59.0,66.0
train_tp,29.0,52.0,58.0,58.0,25.0,40.0,32.0,25.0
val_precision,0.625,0.75,0.7142857142857143,0.7142857142857143,0.75,0.5,0.7142857142857143,0.75
val_tn,25.0,26.0,26.0,26.0,27.0,23.0,26.0,27.0
val_fp,3.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0
val_fn,18.0,17.0,18.0,18.0,20.0,18.0,18.0,20.0
val_tp,5.0,6.0,5.0,5.0,3.0,5.0,5.0,3.0
test_precision,0.625,0.5,0.6,0.7777777777777778,0.8333333333333334,0.6666666666666666,0.75,0.8333333333333334
recall,0.13513513513513514,0.13513513513513514,0.08108108108108109,0.1891891891891892,0.13513513513513514,0.21621621621621623,0.16216216216216217,0.13513513513513514
f1score,0.22222222222222224,0.21276595744680854,0.14285714285714288,0.30434782608695654,0.23255813953488372,0.326530612244898,0.26666666666666666,0.23255813953488372
roc,0.512012012012012,0.474974974974975,0.5035035035035036,0.5575575575575575,0.549049049049049,0.534034034034034,0.544044044044044,0.549049049049049
test_tn,24.0,22.0,25.0,25.0,26.0,23.0,25.0,26.0
test_fp,3.0,5.0,2.0,2.0,1.0,4.0,2.0,1.0
test_fn,32.0,32.0,34.0,30.0,32.0,29.0,31.0,32.0
test_tp,5.0,5.0,3.0,7.0,5.0,8.0,6.0,5.0
acc_test1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.5714285714285714,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.5714285714285714
precision1,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.0,0.5,0.5,1.0
recall1,0.1,0.1,0.0,0.2,0.1,0.1,0.1,0.1
f1score1,0.15384615384615383,0.15384615384615383,0.0,0.30769230769230765,0.18181818181818182,0.16666666666666669,0.16666666666666669,0.18181818181818182
roc1,0.4590909090909091,0.4590909090909091,0.45454545454545453,0.5545454545454545,0.55,0.5045454545454545,0.5045454545454545,0.55
tn1,9.0,9.0,10.0,10.0,11.0,10.0,10.0,11.0
fp1,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
fn1,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0
tp1,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0
acc_test2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.38095238095238093,0.3333333333333333,0.42857142857142855,0.38095238095238093
precision2,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.75,0.6666666666666666
recall2,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.14285714285714285
f1score2,0.125,0.22222222222222224,0.125,0.3333333333333333,0.23529411764705882,0.3,0.3333333333333333,0.23529411764705882
roc2,0.4642857142857143,0.4285714285714286,0.4642857142857143,0.5357142857142857,0.5,0.3928571428571428,0.5357142857142857,0.5
tn2,6.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0
fp2,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0
fn2,13.0,12.0,13.0,11.0,12.0,11.0,11.0,12.0
tp2,1.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0
acc_test3,0.5454545454545454,0.45454545454545453,0.5,0.5,0.5,0.5909090909090909,0.5,0.5
precision3,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
recall3,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.15384615384615385
f1score3,0.375,0.25,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.47058823529411764,0.2666666666666667,0.2666666666666667
roc3,0.6153846153846154,0.5213675213675213,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.6538461538461539,0.5769230769230769,0.5769230769230769
tn3,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0
fp3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fn3,10.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0
tp3,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
