parameter,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13
reg_lambda,"(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 5.0, 'uniform')"
reg_lambda,2.9164970801633108,1.2774387444650217,2.692387345902764,0.0,3.0,1.6412072705182874,3.0,4.016698644354901,0.8950592897064323,0.0,0.9035684991194134,4.016698644354901
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.35695160957148486,1.923072943299456,0.6804687580554847,0.2,0.7828475792893448,0.6849261297099288,0.7230408460632485,0.4531511600099945,0.540728653170252,1.4417360346640682,0.6063113537346101,0.4531511600099945
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample,0.15921687338407625,0.7916598890589724,0.9348046692105394,1.0,1.0,0.9464072297545038,0.6020640912045853,1.0,0.2619037245521563,0.3991830349669384,0.9482175893007057,1.0
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 1000000)","(100000, 1200000)","(100000, 1200000)","(100000, 1200000)","(100000, 1200000)","(100000, 1200000)","(100000, 1200000)","(100000, 1200000)"
subsample_for_bin,100000,294429,500000,500000,1000000,976117,587175,197236,1186716,248849,410652,197236
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.6666666666666666,0.5306431431431432,0.5498989898989898,0.5746753246753247,0.5666666666666667,0.5853174603174603,0.5777777777777778,0.8333333333333334,0.5566666666666666,0.5334519448805164,0.6,0.8333333333333334
best_index,31.0,26.0,43.0,17.0,16.0,25.0,32.0,34.0,47.0,34.0,35.0,34.0
acc_train,0.6318407960199005,0.9800995024875622,0.9850746268656716,0.6766169154228856,0.6567164179104478,0.6616915422885572,0.7014925373134329,0.6666666666666666,0.9850746268656716,0.6865671641791045,0.5970149253731343,0.6666666666666666
acc_val,0.6666666666666666,0.5490196078431373,0.5294117647058824,0.5882352941176471,0.5686274509803921,0.5294117647058824,0.5098039215686274,0.5882352941176471,0.5686274509803921,0.6862745098039216,0.5490196078431373,0.5882352941176471
acc_test,0.5714285714285714,0.5555555555555556,0.5714285714285714,0.5238095238095238,0.6031746031746031,0.5873015873015873,0.6031746031746031,0.5714285714285714,0.5873015873015873,0.5238095238095238,0.5555555555555556,0.5714285714285714
train_precision,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.627906976744186,0.9411764705882353,1.0
train_tn,105.0,101.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,57.0,104.0,105.0
train_fp,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,0.0
train_fn,74.0,0.0,3.0,65.0,69.0,68.0,60.0,67.0,3.0,15.0,80.0,67.0
train_tp,22.0,96.0,93.0,31.0,27.0,28.0,36.0,29.0,93.0,81.0,16.0,29.0
val_precision,0.8888888888888888,0.5185185185185185,0.5,1.0,1.0,0.5,0.3333333333333333,1.0,0.5833333333333334,0.6333333333333333,1.0,1.0
val_tn,26.0,14.0,19.0,27.0,27.0,26.0,25.0,27.0,22.0,16.0,27.0,27.0
val_fp,1.0,13.0,8.0,0.0,0.0,1.0,2.0,0.0,5.0,11.0,0.0,0.0
val_fn,16.0,10.0,16.0,21.0,22.0,23.0,23.0,21.0,17.0,5.0,23.0,21.0
val_tp,8.0,14.0,8.0,3.0,2.0,1.0,1.0,3.0,7.0,19.0,1.0,3.0
test_precision,0.7142857142857143,0.5238095238095238,0.5483870967741935,0.5,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.8,0.6,0.5,0.6,0.8
recall,0.16666666666666666,0.7333333333333333,0.5666666666666667,0.1,0.3,0.3,0.3333333333333333,0.13333333333333333,0.4,0.8666666666666667,0.2,0.13333333333333333
f1score,0.2702702702702703,0.611111111111111,0.5573770491803278,0.16666666666666669,0.41860465116279066,0.4090909090909091,0.4444444444444444,0.2285714285714286,0.48,0.6341463414634146,0.3,0.2285714285714286
roc,0.5530303030303031,0.5636363636363636,0.5712121212121212,0.5045454545454545,0.5893939393939395,0.5742424242424242,0.5909090909090909,0.5515151515151515,0.5787878787878787,0.5393939393939394,0.5393939393939393,0.5515151515151515
test_tn,31.0,13.0,19.0,30.0,29.0,28.0,28.0,32.0,25.0,7.0,29.0,32.0
test_fp,2.0,20.0,14.0,3.0,4.0,5.0,5.0,1.0,8.0,26.0,4.0,1.0
test_fn,25.0,8.0,13.0,27.0,21.0,21.0,20.0,26.0,18.0,4.0,24.0,26.0
test_tp,5.0,22.0,17.0,3.0,9.0,9.0,10.0,4.0,12.0,26.0,6.0,4.0
acc_test1,0.5238095238095238,0.38095238095238093,0.5714285714285714,0.5238095238095238,0.5714285714285714,0.5714285714285714,0.6190476190476191,0.5238095238095238,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.5238095238095238
precision1,0.0,0.38461538461538464,0.5555555555555556,0.5,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.4666666666666667,1.0,0.0
recall1,0.0,0.5,0.5,0.1,0.1,0.2,0.2,0.0,0.2,0.7,0.1,0.0
f1score1,0.0,0.4347826086956522,0.5263157894736842,0.16666666666666669,0.18181818181818182,0.30769230769230765,0.33333333333333337,0.0,0.30769230769230765,0.56,0.18181818181818182,0.0
roc1,0.5,0.38636363636363635,0.5681818181818182,0.5045454545454545,0.55,0.5545454545454545,0.6,0.5,0.5545454545454545,0.48636363636363633,0.55,0.5
tn1,11.0,3.0,7.0,10.0,11.0,10.0,11.0,11.0,10.0,3.0,11.0,11.0
fp1,0.0,8.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0
fn1,10.0,5.0,5.0,9.0,9.0,8.0,8.0,10.0,8.0,3.0,9.0,10.0
tp1,0.0,5.0,5.0,1.0,1.0,2.0,2.0,0.0,2.0,7.0,1.0,0.0
acc_test2,0.6190476190476191,0.5238095238095238,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.6190476190476191,0.6666666666666666
precision2,0.6,0.4666666666666667,0.5,1.0,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6,0.42105263157894735,0.6666666666666666,0.75
recall2,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8888888888888888,0.2222222222222222,0.3333333333333333
f1score2,0.42857142857142855,0.5833333333333334,0.6086956521739131,0.3636363636363636,0.5333333333333333,0.46153846153846156,0.5333333333333333,0.46153846153846156,0.631578947368421,0.5714285714285714,0.3333333333333333,0.46153846153846156
roc2,0.5833333333333334,0.5555555555555556,0.5972222222222221,0.6111111111111112,0.6388888888888888,0.6249999999999999,0.6388888888888888,0.6249999999999999,0.6666666666666667,0.4861111111111111,0.5694444444444445,0.6249999999999999
tn2,10.0,4.0,5.0,12.0,10.0,11.0,10.0,11.0,8.0,1.0,11.0,11.0
fp2,2.0,8.0,7.0,0.0,2.0,1.0,2.0,1.0,4.0,11.0,1.0,1.0
fn2,6.0,2.0,2.0,7.0,5.0,6.0,5.0,6.0,3.0,1.0,7.0,6.0
tp2,3.0,7.0,7.0,2.0,4.0,3.0,4.0,3.0,6.0,8.0,2.0,3.0
acc_test3,0.5714285714285714,0.7619047619047619,0.5714285714285714,0.38095238095238093,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.6666666666666666,0.47619047619047616,0.5238095238095238
precision3,1.0,0.7142857142857143,0.625,0.0,0.6666666666666666,0.5714285714285714,0.5714285714285714,1.0,0.5714285714285714,0.6111111111111112,0.5,1.0
recall3,0.18181818181818182,0.9090909090909091,0.45454545454545453,0.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.36363636363636365,1.0,0.2727272727272727,0.09090909090909091
f1score3,0.3076923076923077,0.8,0.5263157894736842,0.0,0.4705882352941177,0.4444444444444444,0.4444444444444444,0.16666666666666669,0.4444444444444444,0.7586206896551725,0.3529411764705882,0.16666666666666669
roc3,0.5909090909090909,0.7545454545454546,0.5772727272727272,0.4,0.5818181818181819,0.5318181818181819,0.5318181818181819,0.5454545454545454,0.5318181818181819,0.65,0.48636363636363633,0.5454545454545454
tn3,10.0,6.0,7.0,8.0,8.0,7.0,7.0,10.0,7.0,3.0,7.0,10.0
fp3,0.0,4.0,3.0,2.0,2.0,3.0,3.0,0.0,3.0,7.0,3.0,0.0
fn3,9.0,1.0,6.0,11.0,7.0,7.0,7.0,10.0,7.0,0.0,8.0,10.0
tp3,2.0,10.0,5.0,0.0,4.0,4.0,4.0,1.0,4.0,11.0,3.0,1.0
