parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13
val_precision,0.375,0.6,0.6153846153846154,0.625,0.5,0.5,0.5882352941176471,0.4444444444444444,0.625,0.25,0.6,0.5,0.4444444444444444
val_tn,9.0,12.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,11.0,12.0,13.0,9.0
val_fp,5.0,2.0,5.0,6.0,6.0,6.0,7.0,5.0,6.0,3.0,2.0,1.0,5.0
val_fn,13.0,13.0,8.0,6.0,10.0,10.0,6.0,12.0,6.0,15.0,13.0,15.0,12.0
val_tp,3.0,3.0,8.0,10.0,6.0,6.0,10.0,4.0,10.0,1.0,3.0,1.0,4.0
test_precision,0.375,0.4,0.4117647058823529,0.3157894736842105,0.4,0.36363636363636365,0.3333333333333333,0.36363636363636365,0.3888888888888889,0.0,0.4,0.2,0.36363636363636365
recall,0.3,0.2,0.7,0.6,0.6,0.4,0.8,0.4,0.7,0.0,0.2,0.1,0.4
f1score,0.33333333333333326,0.26666666666666666,0.5185185185185185,0.41379310344827586,0.48,0.380952380952381,0.47058823529411764,0.380952380952381,0.5,0.0,0.26666666666666666,0.13333333333333333,0.380952380952381
roc,0.5363636363636364,0.5318181818181819,0.6227272727272727,0.5045454545454545,0.5954545454545453,0.5409090909090909,0.5363636363636364,0.5409090909090909,0.6,0.40909090909090906,0.5318181818181819,0.4590909090909091,0.5409090909090909
test_tn,17.0,19.0,12.0,9.0,13.0,15.0,6.0,15.0,11.0,18.0,19.0,18.0,15.0
test_fp,5.0,3.0,10.0,13.0,9.0,7.0,16.0,7.0,11.0,4.0,3.0,4.0,7.0
test_fn,7.0,8.0,3.0,4.0,4.0,6.0,2.0,6.0,3.0,10.0,8.0,9.0,6.0
test_tp,3.0,2.0,7.0,6.0,6.0,4.0,8.0,4.0,7.0,0.0,2.0,1.0,4.0
