parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value11,value12,value13
roc2,0.5555555555555556,0.6111111111111112,0.6111111111111112,0.5555555555555556,0.5,0.6111111111111112,0.6111111111111112,0.595959595959596,0.4494949494949495,0.7070707070707071,0.6666666666666666,0.6111111111111112
tn2,11.0,11.0,11.0,11.0,11.0,11.0,11.0,7.0,5.0,7.0,11.0,11.0
fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,0.0,0.0
fn2,8.0,7.0,7.0,8.0,9.0,7.0,7.0,4.0,5.0,2.0,6.0,7.0
tp2,1.0,2.0,2.0,1.0,0.0,2.0,2.0,5.0,4.0,7.0,3.0,2.0
acc_test3,0.55,0.5,0.6,0.65,0.65,0.65,0.6,0.4,0.4,0.35,0.7,0.65
precision3,0.25,0.2,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.125,0.6666666666666666,0.5
recall3,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857
f1score3,0.18181818181818182,0.16666666666666666,0.2,0.22222222222222224,0.22222222222222224,0.36363636363636365,0.2,0.25,0.25,0.13333333333333333,0.4,0.36363636363636365
roc3,0.456043956043956,0.41758241758241754,0.49450549450549447,0.532967032967033,0.532967032967033,0.5659340659340659,0.49450549450549447,0.37362637362637363,0.37362637362637363,0.3021978021978022,0.6043956043956044,0.5659340659340659
tn3,10.0,9.0,11.0,12.0,12.0,11.0,11.0,6.0,6.0,6.0,12.0,11.0
fp3,3.0,4.0,2.0,1.0,1.0,2.0,2.0,7.0,7.0,7.0,1.0,2.0
fn3,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0
tp3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
