parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13
roc,0.5098039215686274,0.5392156862745098,0.6740196078431373,0.6617647058823529,0.5906862745098039,0.6078431372549019,0.5698529411764705,0.6433823529411765,0.6740196078431373,0.6531862745098038,0.6740196078431373,0.6740196078431373,0.6948529411764706
tn,29.0,31.0,26.0,28.0,26.0,30.0,26.0,31.0,26.0,26.0,26.0,26.0,26.0
fp,5.0,3.0,8.0,6.0,8.0,4.0,8.0,3.0,8.0,8.0,8.0,8.0,8.0
fn,20.0,20.0,10.0,12.0,14.0,16.0,15.0,15.0,10.0,11.0,10.0,10.0,9.0
tp,4.0,4.0,14.0,12.0,10.0,8.0,9.0,9.0,14.0,13.0,14.0,14.0,15.0
acc_test1,0.47368421052631576,0.5789473684210527,0.631578947368421,0.7894736842105263,0.6842105263157895,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6842105263157895,0.631578947368421,0.631578947368421,0.631578947368421,0.6842105263157895
precision1,0.25,0.5,0.5454545454545454,0.7,0.625,0.8,0.6666666666666666,0.7142857142857143,0.5833333333333334,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5833333333333334
recall1,0.125,0.125,0.75,0.875,0.625,0.5,0.75,0.625,0.875,0.75,0.75,0.75,0.875
f1score1,0.16666666666666666,0.2,0.631578947368421,0.7777777777777777,0.625,0.6153846153846154,0.7058823529411765,0.6666666666666666,0.7000000000000001,0.631578947368421,0.631578947368421,0.631578947368421,0.7000000000000001
roc1,0.42613636363636365,0.5170454545454546,0.6477272727272727,0.8011363636363636,0.6761363636363636,0.7045454545454545,0.7386363636363636,0.721590909090909,0.7102272727272727,0.6477272727272727,0.6477272727272727,0.6477272727272727,0.7102272727272727
tn1,8.0,10.0,6.0,8.0,8.0,10.0,8.0,9.0,6.0,6.0,6.0,6.0,6.0
fp1,3.0,1.0,5.0,3.0,3.0,1.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0
fn1,7.0,7.0,2.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0
tp1,1.0,1.0,6.0,7.0,5.0,4.0,6.0,5.0,7.0,6.0,6.0,6.0,7.0
acc_test2,0.631578947368421,0.5789473684210527,0.6842105263157895,0.631578947368421,0.5789473684210527,0.5789473684210527,0.47368421052631576,0.6842105263157895,0.631578947368421,0.631578947368421,0.6842105263157895,0.6842105263157895,0.6842105263157895
precision2,0.5,0.3333333333333333,0.6,0.5,0.4,0.3333333333333333,0.2,1.0,0.5,0.5,0.6,0.6,0.6
recall2,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855
f1score2,0.36363636363636365,0.2,0.5,0.36363636363636365,0.3333333333333333,0.2,0.16666666666666666,0.25,0.36363636363636365,0.36363636363636365,0.5,0.5,0.5
roc2,0.5595238095238095,0.4880952380952381,0.6309523809523809,0.5595238095238095,0.5178571428571428,0.4880952380952381,0.40476190476190477,0.5714285714285714,0.5595238095238095,0.5595238095238095,0.6309523809523809,0.6309523809523809,0.6309523809523809
tn2,10.0,10.0,10.0,10.0,9.0,10.0,8.0,12.0,10.0,10.0,10.0,10.0,10.0
fp2,2.0,2.0,2.0,2.0,3.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0
fn2,5.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0
tp2,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0
acc_test3,0.6,0.65,0.75,0.65,0.6,0.65,0.6,0.65,0.75,0.75,0.75,0.75,0.75
precision3,1.0,1.0,0.8333333333333334,0.75,0.6,0.75,0.6666666666666666,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
recall3,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
f1score3,0.19999999999999998,0.3636363636363636,0.6666666666666667,0.46153846153846156,0.42857142857142855,0.46153846153846156,0.3333333333333333,0.46153846153846156,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667
roc3,0.5555555555555556,0.6111111111111112,0.7323232323232324,0.6212121212121211,0.5757575757575757,0.6212121212121211,0.5656565656565656,0.6212121212121211,0.7323232323232324,0.7323232323232324,0.7323232323232324,0.7323232323232324,0.7323232323232324
tn3,11.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
fp3,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fn3,8.0,7.0,4.0,6.0,6.0,6.0,7.0,6.0,4.0,4.0,4.0,4.0,4.0
tp3,1.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0
