parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28
learning_rate,0.0001496840381040891,0.00014344009800306407,0.00014344009800306407,0.00014344009800306407,0.000143853984155306,0.000702389009147091,0.0001,0.000143853984155306,0.00033934240767791906,0.0001,0.003919946996788288,0.003919946996788288,0.00042523900642213664,0.0008119026310123009,0.0018742827752409646,0.0008394943606152769,0.0001,0.0007702404251207098,0.001959726177061295,0.00010734021119277334,0.0001,0.0001,0.0034056210107015605,0.0034056210107015605,0.00010734021119277334,0.00010734021119277334,0.000143853984155306,0.002017464378539193
max_bin,100,384,384,384,156,100,608,156,459,669,260,260,1000,481,511,321,669,100,459,429,669,669,1000,1000,429,429,156,100
max_depth,24,22,22,22,22,39,20,22,13,14,22,22,36,18,34,34,14,3,34,27,14,14,50,50,27,27,22,39
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,34,40,40,40,39,31,39,39,5,5,5,5,5,25,29,38,5,18,35,5,5,5,38,38,5,5,39,9
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.971186152239252,4.971186152239252,5.970749399863091,3.7502895076849505,2.559093631761224,2.335906807987292,0.001,3.9732232208098823,3.6298094184083345,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,3905,3435,3435,3435,3078,1563,3522,3078,2299,5000,700,700,5000,4078,4501,3078,5000,2582,4022,5000,5000,5000,3861,3861,5000,5000,3078,700
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,20,20,20,20,23,11,25,23,4,6,11,11,3,18,7,17,6,13,8,13,6,6,20,20,13,13,23,22
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,0.9662044556342132,1.0208384969772457,1.0208384969772457,1.0208384969772457,0.9109583375682111,1.1550198526479492,0.8882798105005751,0.9109583375682111,1.4656219926731697,0.0,0.9086324112283071,0.9086324112283071,0.17989188014260976,1.1369053685086743,0.4565837914837038,1.2146732482438267,0.0,1.771241315109348,0.43675845621089654,1.2839241079346517,0.0,0.0,2.0,2.0,1.2839241079346517,1.2839241079346517,0.9109583375682111,1.9037066823374473
reg_lambda,2.5893426437738922,3.6236248915929092,3.6236248915929092,3.6236248915929092,2.713683316713074,1.929895365459191,2.947048299713806,2.713683316713074,0.0,1.0598854460912344,0.0,0.0,3.338311323964734,3.0215834542330584,4.0,3.4808713907880207,1.0598854460912344,4.0,6.0,0.0,1.0598854460912344,1.0598854460912344,4.0,4.0,0.0,0.0,2.713683316713074,3.8458550334255217
scale_pos_weight,0.4835131617182037,0.46940628919876437,0.46940628919876437,0.46940628919876437,0.4748055644670135,0.5763674348829664,0.4916389503178878,0.4748055644670135,0.2,0.6834779739495481,0.30480717939134216,0.30480717939134216,0.3614483288369859,0.2579097490955903,0.28913540743442506,0.2996854445392426,0.6834779739495481,0.2892678665075925,0.2980173965788879,0.2,0.6834779739495481,0.6834779739495481,0.3122887148735204,0.3122887148735204,0.2,0.2,0.4748055644670135,0.47212174970999077
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.10146264914588654,0.005,0.005,0.005,0.005,0.18169472985912266,0.673026411559742,0.005,0.3878190137684559,1.0,0.9156721153249479,0.9156721153249479,1.0,0.827429066460687,0.4885808951757806,0.39370289770577366,1.0,0.7983117906277571,0.5045271209940444,1.0,1.0,1.0,0.6128009605984448,0.6128009605984448,1.0,1.0,0.005,0.005
subsample_for_bin,388155,324227,324227,324227,363806,348748,145489,363806,443206,195463,362187,362187,358142,385184,465031,313503,195463,159657,444243,500000,195463,195463,500000,500000,500000,500000,363806,475458
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.78989898989899,0.8037878787878789,0.8037878787878789,0.8037878787878789,0.7777777777777778,0.7463888888888889,0.8083333333333333,0.7777777777777778,0.8,0.7166666666666666,0.8055555555555556,0.8055555555555556,0.8025974025974026,0.8866666666666667,0.8097402597402598,0.8550000000000001,0.7166666666666666,0.8433333333333334,0.8216450216450216,0.8317460317460317,0.7166666666666666,0.7166666666666666,0.7476923076923077,0.7476923076923077,0.8317460317460317,0.8317460317460317,0.7777777777777778,0.7438888888888889
best_index,31.0,15.0,15.0,15.0,23.0,0.0,42.0,23.0,22.0,23.0,38.0,38.0,22.0,28.0,19.0,47.0,23.0,22.0,16.0,45.0,23.0,23.0,39.0,39.0,45.0,45.0,23.0,0.0
acc_train,0.7054263565891473,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7674418604651163,0.6705426356589147,0.6666666666666666,0.6317829457364341,0.7984496124031008,0.6356589147286822,0.6356589147286822,0.6782945736434108,0.6317829457364341,0.7054263565891473,0.6627906976744186,0.7984496124031008,0.624031007751938,0.6589147286821705,0.6705426356589147,0.7984496124031008,0.7984496124031008,0.8023255813953488,0.8023255813953488,0.6705426356589147,0.6705426356589147,0.6666666666666666,0.748062015503876
acc_val,0.47368421052631576,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.5263157894736842,0.42105263157894735,0.42105263157894735,0.3684210526315789,0.47368421052631576,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.3684210526315789,0.42105263157894735,0.42105263157894735,0.47368421052631576,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.47368421052631576,0.47368421052631576,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.47368421052631576
acc_test,0.625,0.625,0.625,0.625,0.65625,0.65625,0.625,0.65625,0.53125,0.65625,0.625,0.625,0.59375,0.5625,0.625,0.625,0.65625,0.5625,0.59375,0.5625,0.65625,0.65625,0.65625,0.65625,0.5625,0.5625,0.65625,0.625
train_precision,0.896551724137931,0.8913043478260869,0.8913043478260869,0.8913043478260869,0.86,0.918918918918919,0.8936170212765957,0.86,0.9655172413793104,0.926829268292683,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9354838709677419,1.0,1.0,0.926829268292683,1.0,1.0,1.0,0.926829268292683,0.926829268292683,1.0,1.0,1.0,1.0,0.86,0.9830508474576272
train_tn,130.0,131.0,131.0,131.0,129.0,130.0,131.0,129.0,135.0,130.0,135.0,135.0,133.0,134.0,136.0,136.0,130.0,136.0,136.0,136.0,130.0,130.0,136.0,136.0,136.0,136.0,129.0,135.0
train_fp,6.0,5.0,5.0,5.0,7.0,6.0,5.0,7.0,1.0,6.0,1.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0
train_fn,70.0,81.0,81.0,81.0,79.0,54.0,80.0,79.0,94.0,46.0,93.0,93.0,80.0,93.0,76.0,87.0,46.0,97.0,88.0,85.0,46.0,46.0,51.0,51.0,85.0,85.0,79.0,64.0
train_tp,52.0,41.0,41.0,41.0,43.0,68.0,42.0,43.0,28.0,76.0,29.0,29.0,42.0,29.0,46.0,35.0,76.0,25.0,34.0,37.0,76.0,76.0,71.0,71.0,37.0,37.0,43.0,58.0
val_precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0
val_tn,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
val_fp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
val_fn,10.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,12.0,9.0,11.0,11.0,11.0,12.0,11.0,11.0,9.0,11.0,11.0,11.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,10.0
val_tp,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0
test_precision,0.7142857142857143,1.0,1.0,1.0,1.0,0.7,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.75,1.0,1.0,1.0,0.6666666666666666,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,1.0,1.0,0.7142857142857143
recall,0.3333333333333333,0.2,0.2,0.2,0.26666666666666666,0.4666666666666667,0.2,0.26666666666666666,0.0,0.5333333333333333,0.2,0.2,0.2,0.06666666666666667,0.2,0.2,0.5333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.3333333333333333
f1score,0.4545454545454545,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4210526315789474,0.56,0.33333333333333337,0.4210526315789474,0.0,0.5925925925925926,0.33333333333333337,0.33333333333333337,0.31578947368421056,0.125,0.33333333333333337,0.33333333333333337,0.5925925925925926,0.125,0.31578947368421056,0.125,0.5925925925925926,0.5925925925925926,0.5217391304347827,0.5217391304347827,0.125,0.125,0.4210526315789474,0.4545454545454545
roc,0.6078431372549019,0.6,0.6,0.6,0.6333333333333333,0.6450980392156863,0.6,0.6333333333333333,0.5,0.6490196078431372,0.6,0.6,0.5705882352941176,0.5333333333333333,0.6,0.6,0.6490196078431372,0.5333333333333333,0.5705882352941176,0.5333333333333333,0.6490196078431372,0.6490196078431372,0.6411764705882352,0.6411764705882352,0.5333333333333333,0.5333333333333333,0.6333333333333333,0.6078431372549019
test_tn,15.0,17.0,17.0,17.0,17.0,14.0,17.0,17.0,17.0,13.0,17.0,17.0,16.0,17.0,17.0,17.0,13.0,17.0,16.0,17.0,13.0,13.0,15.0,15.0,17.0,17.0,17.0,15.0
test_fp,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0
test_fn,10.0,12.0,12.0,12.0,11.0,8.0,12.0,11.0,15.0,7.0,12.0,12.0,12.0,14.0,12.0,12.0,7.0,14.0,12.0,14.0,7.0,7.0,9.0,9.0,14.0,14.0,11.0,10.0
test_tp,5.0,3.0,3.0,3.0,4.0,7.0,3.0,4.0,0.0,8.0,3.0,3.0,3.0,1.0,3.0,3.0,8.0,1.0,3.0,1.0,8.0,8.0,6.0,6.0,1.0,1.0,4.0,5.0
