parameter,value1,value2,value4,value5,value6,value7,value8,value9,value10,value11
roc2,0.6500000000000001,0.6500000000000001,0.55,0.55,0.55,0.55,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.5999999999999999
tn2,8.0,8.0,10.0,10.0,10.0,9.0,7.0,7.0,7.0,7.0
fp2,2.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0
fn2,5.0,5.0,9.0,9.0,9.0,8.0,5.0,5.0,5.0,5.0
tp2,5.0,5.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0
acc_test3,0.45,0.45,0.35,0.35,0.3,0.4,0.35,0.6,0.6,0.45
precision3,0.6666666666666666,0.625,0.0,0.0,0.0,0.6,0.5,0.7777777777777778,0.7777777777777778,0.6666666666666666
recall3,0.3076923076923077,0.38461538461538464,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.5384615384615384,0.5384615384615384,0.3076923076923077
f1score3,0.42105263157894735,0.4761904761904762,0.0,0.0,0.0,0.33333333333333337,0.3157894736842105,0.6363636363636364,0.6363636363636364,0.42105263157894735
roc3,0.510989010989011,0.478021978021978,0.5,0.5,0.4285714285714286,0.47252747252747257,0.4010989010989011,0.6263736263736263,0.6263736263736263,0.510989010989011
tn3,5.0,4.0,7.0,7.0,6.0,5.0,4.0,5.0,5.0,5.0
fp3,2.0,3.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0
fn3,9.0,8.0,13.0,13.0,13.0,10.0,10.0,6.0,6.0,9.0
tp3,4.0,5.0,0.0,0.0,0.0,3.0,3.0,7.0,7.0,4.0
