parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16
subsample,0.5,0.8039086161597585,0.9522420186116772,0.9327616323269479,1.0,0.5292188233175613,0.8499833299104912,0.5841330947943177,0.5331427137870066,0.5292188233175613,0.5292188233175613,0.5292188233175613,0.5292188233175613,0.5292188233175613,0.5,0.5292188233175613
subsample_for_bin,500000,177137,429938,650032,700000,521906,50000,145608,700000,521906,521906,521906,521906,521906,50000,521906
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.7360476190476191,0.7173747733747733,0.7632679738562091,0.774993894993895,0.7789743589743591,0.7326341215357234,0.7481650668172406,0.7193193473193473,0.8,0.7326341215357234,0.7326341215357234,0.7326341215357234,0.7326341215357234,0.7326341215357234,0.8,0.7403196726995354
best_index,27.0,28.0,24.0,27.0,18.0,3.0,23.0,27.0,24.0,3.0,3.0,3.0,3.0,3.0,26.0,3.0
acc_train,0.7674418604651163,0.7674418604651163,0.689922480620155,0.6124031007751938,0.689922480620155,0.748062015503876,0.7635658914728682,0.7441860465116279,0.5077519379844961,0.748062015503876,0.748062015503876,0.748062015503876,0.748062015503876,0.748062015503876,0.5542635658914729,0.7441860465116279
acc_val,0.5263157894736842,0.47368421052631576,0.3684210526315789,0.42105263157894735,0.42105263157894735,0.5263157894736842,0.47368421052631576,0.3684210526315789,0.631578947368421,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.631578947368421,0.5263157894736842
acc_test,0.5675675675675675,0.6486486486486487,0.5135135135135135,0.4864864864864865,0.4864864864864865,0.5675675675675675,0.5405405405405406,0.5945945945945946,0.5135135135135135,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.4864864864864865,0.5405405405405406
train_precision,0.8275862068965517,0.7878787878787878,0.8043478260869565,0.8214285714285714,0.8783783783783784,0.7591240875912408,0.8151260504201681,0.7651515151515151,1.0,0.7591240875912408,0.7591240875912408,0.7591240875912408,0.7591240875912408,0.7591240875912408,0.8620689655172413,0.7536231884057971
train_tn,102.0,94.0,104.0,112.0,113.0,89.0,100.0,91.0,122.0,89.0,89.0,89.0,89.0,89.0,118.0,88.0
train_fp,20.0,28.0,18.0,10.0,9.0,33.0,22.0,31.0,0.0,33.0,33.0,33.0,33.0,33.0,4.0,34.0
train_fn,40.0,32.0,62.0,90.0,71.0,32.0,39.0,35.0,127.0,32.0,32.0,32.0,32.0,32.0,111.0,32.0
train_tp,96.0,104.0,74.0,46.0,65.0,104.0,97.0,101.0,9.0,104.0,104.0,104.0,104.0,104.0,25.0,104.0
val_precision,0.4,0.36363636363636365,0.0,0.0,0.0,0.4,0.36363636363636365,0.14285714285714285,0.0,0.4,0.4,0.4,0.4,0.4,0.0,0.4
val_tn,6.0,5.0,7.0,8.0,8.0,6.0,5.0,6.0,12.0,6.0,6.0,6.0,6.0,6.0,12.0,6.0
val_fp,6.0,7.0,5.0,4.0,4.0,6.0,7.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0
val_fn,3.0,3.0,7.0,7.0,7.0,3.0,3.0,6.0,7.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0
val_tp,4.0,4.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0
test_precision,0.5625,0.6470588235294118,0.5,0.3333333333333333,0.4,0.5555555555555556,0.5333333333333333,0.5882352941176471,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.5294117647058824
recall,0.5,0.6111111111111112,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.05555555555555555,0.5
f1score,0.5294117647058824,0.6285714285714287,0.35714285714285715,0.09523809523809525,0.1739130434782609,0.5555555555555556,0.4848484848484848,0.5714285714285715,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.09523809523809525,0.5142857142857143
roc,0.5657894736842105,0.6476608187134503,0.5073099415204678,0.4751461988304093,0.4766081871345029,0.5672514619883041,0.5380116959064327,0.5935672514619883,0.5,0.5672514619883041,0.5672514619883041,0.5672514619883041,0.5672514619883041,0.5672514619883041,0.4751461988304093,0.5394736842105263
test_tn,12.0,13.0,14.0,17.0,16.0,11.0,12.0,12.0,19.0,11.0,11.0,11.0,11.0,11.0,17.0,11.0
test_fp,7.0,6.0,5.0,2.0,3.0,8.0,7.0,7.0,0.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0
test_fn,9.0,7.0,13.0,17.0,16.0,8.0,10.0,8.0,18.0,8.0,8.0,8.0,8.0,8.0,17.0,9.0
test_tp,9.0,11.0,5.0,1.0,2.0,10.0,8.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,1.0,9.0
