parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19
min_child_weight,16.080616553589916,10.0,11.201303844513028,16.906405032728628,15.506555415768464,1.0,1.0,10.906276520976458,10.906276520976458,10.906276520976458,1.0,0.001,0.001,0.001,0.001,0.001,10.906276520976458,5.0,5.6168915454194925
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,9208,6530,6629,4833,9766,10000,7735,8489,8489,8489,10000,4738,7029,6558,1778,10000,8489,1681,8906
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_leaves,16,12,20,5,5,20,20,13,13,13,20,20,18,20,16,20,13,6,7
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,3.3068877182862164,4.815967665364424,1.0,2.470542848498676,4.939702806717484,1.0,5.0,4.858802362848003,4.858802362848003,4.858802362848003,1.0,5.0,9.95260392553858,8.381972151014558,15.0,15.0,14.647005907120008,9.98523205433526,7.678863782487042
reg_lambda,1.9211866897785472,0.0,0.0,0.8093305255687764,2.0,0.0,2.0,0.8922325772501638,0.8922325772501638,0.8922325772501638,0.0,1.0264259556761106,10.0,12.539098676518506,15.0,15.0,9.461162886250818,6.506160603578644,14.859907543687285
scale_pos_weight,0.8143617416931905,1.0005049991126922,1.8167161285317277,1.543029485224939,0.7191033442596229,0.694240226827953,0.22656765492130224,0.765357711438728,0.765357711438728,0.765357711438728,0.694240226827953,0.2,0.2,0.4538499819025539,0.2,0.2,0.765357711438728,0.21714644335465574,0.2750258531790787
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.9063548426918915,0.5,0.6006573243777927,0.9773568709920112,0.9848556527353474,1.0,0.889831841137179,0.5292188233175613,0.5292188233175613,0.5292188233175613,1.0,0.5,0.5948337236839802,0.523908962629269,0.9682060171185274,1.0,0.5292188233175613,0.6043267195168138,0.7461680675230431
subsample_for_bin,102765,500000,500000,96352,50000,500000,50000,376704,376704,376704,500000,500000,462303,354495,500000,1000000,739709,423622,879021
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.7155555555555555,0.6895927601809955,0.7224872000674356,0.753393987056155,0.7456862943819467,0.7497633477633479,0.9333333333333332,0.7099533799533799,0.7099533799533799,0.7099533799533799,0.7497633477633479,0.9333333333333332,0.9314285714285713,0.8001709401709401,0.8184848484848486,0.9166666666666667,0.7374774500861457,0.9318181818181819,0.9151515151515153
best_index,24.0,12.0,22.0,8.0,23.0,12.0,47.0,3.0,3.0,3.0,12.0,12.0,18.0,1.0,13.0,16.0,3.0,12.0,4.0
acc_train,0.7558139534883721,0.7558139534883721,0.7364341085271318,0.7209302325581395,0.7674418604651163,0.7829457364341085,0.5581395348837209,0.7713178294573644,0.7713178294573644,0.7713178294573644,0.7829457364341085,0.5503875968992248,0.5775193798449613,0.6472868217054264,0.6007751937984496,0.5348837209302325,0.7209302325581395,0.5852713178294574,0.562015503875969
acc_val,0.5789473684210527,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5789473684210527,0.631578947368421,0.3684210526315789,0.631578947368421,0.631578947368421,0.3157894736842105,0.5789473684210527,0.5789473684210527
acc_test,0.6111111111111112,0.6388888888888888,0.6111111111111112,0.6388888888888888,0.6388888888888888,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5,0.5555555555555556,0.5,0.5,0.6388888888888888,0.5,0.5
train_precision,0.762589928057554,0.7354838709677419,0.6847826086956522,0.6927710843373494,0.8114754098360656,0.8636363636363636,0.9583333333333334,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.8636363636363636,0.9545454545454546,0.9655172413793104,0.8082191780821918,0.9714285714285714,1.0,0.7622950819672131,1.0,0.896551724137931
train_tn,89.0,81.0,64.0,71.0,99.0,107.0,121.0,94.0,94.0,94.0,107.0,121.0,121.0,108.0,121.0,122.0,93.0,122.0,119.0
train_fp,33.0,41.0,58.0,51.0,23.0,15.0,1.0,28.0,28.0,28.0,15.0,1.0,1.0,14.0,1.0,0.0,29.0,0.0,3.0
train_fn,30.0,22.0,10.0,21.0,37.0,41.0,113.0,31.0,31.0,31.0,41.0,115.0,108.0,77.0,102.0,120.0,43.0,107.0,110.0
train_tp,106.0,114.0,126.0,115.0,99.0,95.0,23.0,105.0,105.0,105.0,95.0,21.0,28.0,59.0,34.0,16.0,93.0,29.0,26.0
val_precision,0.45454545454545453,0.38461538461538464,0.4,0.4,0.36363636363636365,0.4166666666666667,0.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val_tn,6.0,4.0,3.0,3.0,5.0,5.0,11.0,5.0,5.0,5.0,5.0,11.0,12.0,7.0,12.0,12.0,6.0,11.0,11.0
val_fp,6.0,8.0,9.0,9.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,1.0,0.0,5.0,0.0,0.0,6.0,1.0,1.0
val_fn,2.0,2.0,1.0,1.0,3.0,2.0,7.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
val_tp,5.0,5.0,6.0,6.0,4.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_precision,0.625,0.631578947368421,0.5769230769230769,0.6086956521739131,0.6666666666666666,0.6153846153846154,0.0,0.6,0.6,0.6,0.6153846153846154,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0
recall,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.7777777777777778,0.5555555555555556,0.4444444444444444,0.0,0.5,0.5,0.5,0.4444444444444444,0.0,0.0,0.2222222222222222,0.0,0.0,0.5555555555555556,0.0,0.0
f1score,0.5882352941176471,0.6486486486486486,0.6818181818181818,0.6829268292682927,0.606060606060606,0.5161290322580646,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5161290322580646,0.0,0.0,0.3333333333333333,0.0,0.0,0.606060606060606,0.0,0.0
roc,0.6111111111111112,0.638888888888889,0.6111111111111112,0.6388888888888888,0.638888888888889,0.5833333333333333,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333333,0.5,0.5,0.5555555555555556,0.5,0.5,0.638888888888889,0.5,0.5
test_tn,12.0,11.0,7.0,9.0,13.0,13.0,18.0,12.0,12.0,12.0,13.0,18.0,18.0,16.0,18.0,18.0,13.0,18.0,18.0
test_fp,6.0,7.0,11.0,9.0,5.0,5.0,0.0,6.0,6.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0
test_fn,8.0,6.0,3.0,4.0,8.0,10.0,18.0,9.0,9.0,9.0,10.0,18.0,18.0,14.0,18.0,18.0,8.0,18.0,18.0
test_tp,10.0,12.0,15.0,14.0,10.0,8.0,0.0,9.0,9.0,9.0,8.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0
