parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36
min_child_weight,"(1.0, 20.0)","(10.0, 20.0)","(10.0, 30.0)","(10.0, 30.0)","(10.0, 30.0)","(10.0, 30.0)","(10.0, 30.0)","(10.0, 30.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 15.0)","(7.0, 15.0)","(7.0, 15.0)","(7.0, 20.0)","(7.0, 17.0)","(7.0, 16.0)","(7.0, 18.0)","(7.0, 19.0)","(10.0, 19.0)","(10.0, 22.0)","(10.0, 22.0)"
max_bin,"(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)","(100, 1200)"
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
colsample_bytree,"(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.3, 1.0, 'uniform')","(0.3, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')","(0.4, 1.0, 'uniform')"
subsample_for_bin,"(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 700000)","(50000, 700000)","(50000, 700000)"
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
n_estimators,"(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)"
reg_alpha,"(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.5, 'uniform')","(0.0, 5.5, 'uniform')","(0.0, 4.5, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 12.0, 'uniform')","(0.0, 12.0, 'uniform')","(0.0, 11.0, 'uniform')","(0.0, 11.0, 'uniform')","(0.0, 11.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 5.0, 'uniform')"
reg_lambda,"(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
force_col_wise,['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true'],['true']
importance_type,['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split'],['split']
boost_from_average,"[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]","[True, False]"
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
