parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,5,12,10,34,25,25,23,10,35,6,16,39,5
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_weight,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)","(700, 5000)"
n_estimators,5000,971,5000,1269,3232,3232,5000,5000,2842,3999,4260,1506,1022
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
num_leaves,3,15,3,16,13,13,7,3,20,3,10,9,7
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,0.0,3.012912493571017,0.0,1.9772585980160489,1.9926933510296294,2.989040026544444,3.053173487941956,0.0,0.0,2.2622074229360667,1.6019743825655635,1.0,1.8105204327959676
reg_alpha,"(0.0, 6.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 3.0, 'uniform')","(1.0, 3.0, 'uniform')","(1.0, 3.0, 'uniform')"
reg_lambda,"(0.0, 6.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 3.0, 'uniform')","(1.0, 3.0, 'uniform')","(1.0, 3.0, 'uniform')"
reg_lambda,6.0,3.404532740093061,0.0,1.7646516914497123,3.8726966959629308,5.809045043944396,4.580718927992797,0.0,5.971080706070928,2.4921593174148517,1.7921084454633665,2.61747884207994,2.208339915297117
scale_pos_weight,"(0.3, 3.0, 'uniform')","(0.3, 3.0, 'uniform')","(0.3, 3.0, 'uniform')","(0.3, 3.0, 'uniform')","(0.3, 3.0, 'uniform')","(0.3, 3.0, 'uniform')","(0.3, 3.0, 'uniform')","(0.3, 3.0, 'uniform')","(0.3, 3.0, 'uniform')","(0.3, 3.0, 'uniform')","(0.3, 3.0, 'uniform')","(0.3, 3.0, 'uniform')","(0.3, 3.0, 'uniform')"
scale_pos_weight,0.411326317717778,0.3894242746939932,1.0276856801633478,0.6323680578549123,1.0026768516879585,1.0026768516879585,1.1835993977835937,1.0276856801633478,0.4473788550119307,0.32861898128169315,0.3,0.5147114877993575,0.3
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
second_best_index,,,,,,,,,,,,,
second_best_index,,,,,,,,,,,,,
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample,0.1499255174301551,0.5268694226551486,0.4171770315314737,0.9739647181624085,0.6487712293279236,0.6487712293279236,0.8531598417702712,0.4171770315314737,0.7237255269653549,0.3551180004038614,0.7487952107330174,1.0,0.3340383046195157
subsample_for_bin,465374,500000,1000000,966371,949309,949309,522931,1000000,686464,351722,1000000,748707,968159
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)","(100000, 1000000)"
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.750909090909091,0.7904761904761904,0.7835497835497837,0.8583333333333334,0.6266666666666666,0.6266666666666666,0.7750000000000001,0.7835497835497837,0.95,1.0,1.0,0.8533333333333333,1.0
best_index,34.0,20.0,65.0,25.0,5.0,5.0,18.0,65.0,62.0,58.0,16.0,62.0,79.0
acc_train,0.7796610169491526,0.7372881355932204,0.809322033898305,0.75,0.7796610169491526,0.7415254237288136,0.8432203389830508,0.809322033898305,0.7333333333333333,0.7368421052631579,0.8092105263157895,0.8289473684210527,0.7352941176470589
acc_val,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222
acc_test,0.6842105263157895,0.631578947368421,0.7368421052631579,0.5789473684210527,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.7368421052631579,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.7368421052631579,0.6842105263157895
train_precision,1.0,0.9523809523809523,0.8913043478260869,0.8666666666666667,0.9393939393939394,0.9545454545454546,0.9074074074074074,0.8913043478260869,0.95,1.0,1.0,1.0,1.0
train_tn,155.0,154.0,150.0,151.0,153.0,154.0,150.0,150.0,124.0,96.0,96.0,96.0,83.0
train_fp,0.0,1.0,5.0,4.0,2.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0
train_fn,52.0,61.0,40.0,55.0,50.0,60.0,32.0,40.0,51.0,40.0,29.0,26.0,36.0
train_tp,29.0,20.0,41.0,26.0,31.0,21.0,49.0,41.0,19.0,16.0,27.0,30.0,17.0
val_precision,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
val_tn,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0
val_fp,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
val_fn,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
val_tp,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_precision,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
recall,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0
f1score,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0
roc,0.5,0.46153846153846156,0.5833333333333334,0.4230769230769231,0.5,0.5,0.5,0.5833333333333334,0.5,0.5,0.5,0.5833333333333334,0.5
test_tn,13.0,12.0,13.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
test_fp,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_fn,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0
test_tp,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
