parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13
acc_val,0.47368421052631576,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.5263157894736842,0.42105263157894735,0.42105263157894735,0.3684210526315789,0.47368421052631576,0.42105263157894735,0.42105263157894735,0.42105263157894735
acc_test,0.625,0.625,0.625,0.625,0.65625,0.65625,0.625,0.65625,0.53125,0.65625,0.625,0.625,0.59375
train_precision,0.896551724137931,0.8913043478260869,0.8913043478260869,0.8913043478260869,0.86,0.918918918918919,0.8936170212765957,0.86,0.9655172413793104,0.926829268292683,0.9666666666666667,0.9666666666666667,0.9333333333333333
train_tn,130.0,131.0,131.0,131.0,129.0,130.0,131.0,129.0,135.0,130.0,135.0,135.0,133.0
train_fp,6.0,5.0,5.0,5.0,7.0,6.0,5.0,7.0,1.0,6.0,1.0,1.0,3.0
train_fn,70.0,81.0,81.0,81.0,79.0,54.0,80.0,79.0,94.0,46.0,93.0,93.0,80.0
train_tp,52.0,41.0,41.0,41.0,43.0,68.0,42.0,43.0,28.0,76.0,29.0,29.0,42.0
val_precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0
val_tn,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0
val_fp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val_fn,10.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,12.0,9.0,11.0,11.0,11.0
val_tp,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0
test_precision,0.7142857142857143,1.0,1.0,1.0,1.0,0.7,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.75
recall,0.3333333333333333,0.2,0.2,0.2,0.26666666666666666,0.4666666666666667,0.2,0.26666666666666666,0.0,0.5333333333333333,0.2,0.2,0.2
f1score,0.4545454545454545,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4210526315789474,0.56,0.33333333333333337,0.4210526315789474,0.0,0.5925925925925926,0.33333333333333337,0.33333333333333337,0.31578947368421056
roc,0.6078431372549019,0.6,0.6,0.6,0.6333333333333333,0.6450980392156863,0.6,0.6333333333333333,0.5,0.6490196078431372,0.6,0.6,0.5705882352941176
test_tn,15.0,17.0,17.0,17.0,17.0,14.0,17.0,17.0,17.0,13.0,17.0,17.0,16.0
test_fp,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
test_fn,10.0,12.0,12.0,12.0,11.0,8.0,12.0,11.0,15.0,7.0,12.0,12.0,12.0
test_tp,5.0,3.0,3.0,3.0,4.0,7.0,3.0,4.0,0.0,8.0,3.0,3.0,3.0
