parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40,iter_41,iter_42,iter_43
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)"
n_estimators,10000,9328,10000,9551,4117,9215,10000,1315,6027,2250,1162,5210,6558,3814,3814,3814,6558,9929,7296,10000,9928,9928,8906,8906,8906,8906,8906,885,885,8489,8489,8489,885,8489,8489,8489,885,885,10000,8489,8489,8489,8489
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
num_leaves,8,15,5,20,3,14,16,9,15,9,20,4,20,13,13,13,20,20,20,20,16,16,7,7,7,7,7,7,7,13,13,13,7,13,13,13,7,7,3,13,13,13,13
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,"(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 2.0, 'uniform')","(2.0, 4.0, 'uniform')","(2.0, 4.0, 'uniform')","(2.0, 4.0, 'uniform')","(2.0, 4.0, 'uniform')","(2.0, 4.0, 'uniform')","(2.0, 4.0, 'uniform')","(2.0, 4.0, 'uniform')","(2.0, 4.0, 'uniform')","(2.0, 4.0, 'uniform')","(2.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 8.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 6.0, 'uniform')"
reg_alpha,1.6455964625223447,1.1720402283355784,1.7642498096188606,0.5640494507423273,0.6774401511455075,0.06762990610908697,1.0,0.0,0.27449148980179033,0.9455770901011178,2.0,2.4796225513591366,2.7770497001067955,2.8394037564727523,2.8394037564727523,2.8394037564727523,2.7770497001067955,2.7130845913216612,2.6784163369008547,2.0,3.2146419659493164,2.429283931898633,1.071545512994817,1.071545512994817,0.5357727564974085,0.5357727564974085,0.5357727564974085,0.904783531521163,0.904783531521163,1.9294011814240015,3.858802362848003,4.823502953560004,2.7143505945634887,4.823502953560004,4.823502953560004,5.788203544272005,2.7143505945634887,2.7143505945634887,3.568713618878947,5.788203544272005,7.717604725696006,4.823502953560004,5.788203544272005
reg_lambda,"(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(3.0, 6.0, 'uniform')","(3.0, 6.0, 'uniform')","(3.0, 6.0, 'uniform')","(3.0, 6.0, 'uniform')","(3.0, 6.0, 'uniform')","(3.0, 6.0, 'uniform')","(3.0, 6.0, 'uniform')","(3.0, 6.0, 'uniform')","(3.0, 6.0, 'uniform')","(3.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 8.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 12.0, 'uniform')","(0.0, 14.0, 'uniform')","(0.0, 14.0, 'uniform')","(0.0, 14.0, 'uniform')","(0.0, 14.0, 'uniform')","(0.0, 14.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')"
reg_lambda,0.0,0.09700565256614767,0.0,4.0,2.5538908717048554,2.7219040442475118,3.208528906341535,0.0,2.230181357072983,1.8435668130276408,3.6384948538107986,5.170679289196323,4.821962948923975,6.0,6.0,6.0,4.821962948923975,4.9608776781838815,5.253370571884735,3.0,3.423083303170923,0.8461666063418463,5.915944526212371,7.887926034949828,9.859907543687285,11.831889052424742,13.8038705611622,10.547944792951455,10.547944792951455,6.245628040751146,6.245628040751146,4.461162886250819,7.534246280679611,4.461162886250819,4.461162886250819,4.461162886250819,7.534246280679611,7.534246280679611,7.724169176163961,4.461162886250819,4.461162886250819,4.461162886250819,4.461162886250819
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.20414818491939818,0.2,1.8398626348593718,0.889956496025059,0.7375011789673651,2.0,1.231320589879109,1.3749627871777566,1.7282621752122682,0.2,0.20374164899391525,0.2,0.4538499819025539,0.2794642685312785,0.2794642685312785,0.2794642685312785,0.4538499819025539,0.4004640666137073,0.2578966221913972,0.2,0.28607226546536846,0.28607226546536846,0.2750258531790787,0.2750258531790787,0.2750258531790787,0.2750258531790787,0.2750258531790787,0.4999694296348429,0.4999694296348429,0.765357711438728,0.765357711438728,0.765357711438728,0.4999694296348429,0.765357711438728,0.765357711438728,0.765357711438728,0.4999694296348429,0.4999694296348429,0.40180442014826645,0.765357711438728,0.765357711438728,0.765357711438728,0.765357711438728
scoring,precision,precision,accuracy,accuracy,accuracy,accuracy,accuracy,roc_auc,f1,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
scoring,precision,precision,accuracy,accuracy,accuracy,accuracy,accuracy,roc_auc,f1,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
second_best_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
second_best_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,0.7869815892214965,0.23109878863026764,1.0,0.005,0.005742501721506053,1.0,0.9017541304792811,0.11037437050545244,0.042829920284984946,0.8275597604301846,0.005,0.005,0.05257883563224533,0.005,0.005,0.005,0.05257883563224533,0.05674082928236964,0.005,0.005,0.6782718353636769,0.6782718353636769,0.49487445437085587,0.49487445437085587,0.49487445437085587,0.49487445437085587,0.49487445437085587,0.6166698852894678,0.6166698852894678,0.06314545840194703,0.06314545840194703,0.06314545840194703,0.6166698852894678,0.06314545840194703,0.06314545840194703,0.06314545840194703,0.6166698852894678,0.6166698852894678,1.0,0.06314545840194703,0.06314545840194703,0.06314545840194703,0.06314545840194703
