parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_weight,"(1.0, 20.0)","(10.0, 20.0)","(10.0, 30.0)","(10.0, 30.0)","(10.0, 30.0)","(10.0, 30.0)","(10.0, 30.0)","(10.0, 30.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 20.0)","(1.0, 15.0)","(7.0, 15.0)","(7.0, 15.0)","(7.0, 20.0)","(7.0, 17.0)","(7.0, 16.0)","(7.0, 18.0)","(7.0, 19.0)","(10.0, 19.0)","(10.0, 22.0)","(10.0, 22.0)"
min_child_weight,7.490319099950093,13.415957421026365,16.83191484205273,16.83191484205273,16.83191484205273,16.83191484205273,16.83191484205273,10.0,14.69365211059798,4.193182004157377,4.281292595647207,12.415533510465623,11.88321429079221,2.7961709259949608,10.922755699166057,5.442763132402936,4.430472730376415,15.313105531120506,18.83762248576636,18.83762248576636,7.852717135316955,4.715736861821828,10.293144498306612,7.490319099950093,18.561345994818762,9.818614930736661,14.394250945186847,14.394250945186847,11.440744647334274,16.24281368148356,15.318532313335204,17.167095049631914,18.09137641778027,18.318532313335204,14.099148905231637,14.099148905231637
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)","(700, 12000)"
n_estimators,8489,8489,8489,8489,8489,10164,10164,5850,700,6086,700,8302,8698,10454,6816,9339,3030,924,9430,9430,7032,2057,2799,10164,8134,11913,8134,8134,10164,8134,8134,8134,8134,8134,10164,10164
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
num_leaves,13,13,13,13,13,13,13,9,17,3,17,10,19,19,5,17,4,7,11,11,14,9,13,13,13,16,13,13,13,13,13,13,13,13,13,13
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,5.788203544272005,5.788203544272005,5.788203544272005,0.9647005907120008,0.9647005907120008,0.9647005907120008,0.9647005907120008,1.0,2.66950962326417,4.0,1.2642921277857233,3.4197222112436694,5.0,2.4408995482094866,5.072909033361127,4.256977860495232,4.509555020758549,2.2619588288029076,1.1568357046467186,1.1568357046467186,7.640811083795964,10.0,2.976816859500093,11.57640708854401,5.153671206543251,6.680530812721241,5.153671206543251,4.3425778211560235,6.823502953560004,4.3425778211560235,4.3425778211560235,4.3425778211560235,4.3425778211560235,4.3425778211560235,6.823502953560004,4.894101772136002
reg_alpha,"(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 6.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 1.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.5, 'uniform')","(0.0, 5.5, 'uniform')","(0.0, 4.5, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 5.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 12.0, 'uniform')","(0.0, 12.0, 'uniform')","(0.0, 11.0, 'uniform')","(0.0, 11.0, 'uniform')","(0.0, 11.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 7.0, 'uniform')","(2.0, 5.0, 'uniform')"
reg_lambda,"(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 10.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_lambda,4.461162886250819,4.461162886250819,4.461162886250819,0.8922325772501638,0.8922325772501638,0.8922325772501638,0.8922325772501638,1.7668586502119885,1.2900551699198224,1.0107490447954466,1.8714216597071052,1.807804116059535,0.9089934279506181,0.13284480026794343,1.4436450917565837,0.30879004252402464,2.414977670332343,1.8835615701699027,0.6411331110486702,0.6411331110486702,0.0,1.4897213472349995,1.1028217573210122,0.8922325772501638,1.6304209488010621,0.28205553544728207,1.6304209488010621,1.6304209488010621,0.8922325772501638,1.6304209488010621,1.6304209488010621,1.6304209488010621,1.6304209488010621,1.6304209488010621,0.8922325772501638,0.8922325772501638
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.765357711438728,0.765357711438728,0.765357711438728,0.765357711438728,0.765357711438728,0.765357711438728,0.765357711438728,0.38874196039858544,0.5467506964646013,0.2,0.2,0.4509801524934674,0.5735279312252157,0.2583019418031408,0.4447697063127227,0.2,0.5095289261926521,0.4999694296348429,0.564775309740951,0.564775309740951,0.9061606219030451,0.7972542077389595,0.4187732262216215,0.765357711438728,0.7892600062914028,0.28607226546536846,0.7892600062914028,0.7892600062914028,0.765357711438728,0.7892600062914028,0.7892600062914028,0.7892600062914028,0.7892600062914028,0.7892600062914028,0.765357711438728,0.765357711438728
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
second_best_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
second_best_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample,0.06314545840194703,0.06314545840194703,0.06314545840194703,0.06314545840194703,0.06314545840194703,0.06314545840194703,0.06314545840194703,1.0,0.156910878956714,0.005,0.10841093422511609,0.4638187002728222,0.823193978000434,0.16824368968362272,0.7129783321778459,0.9337744018844452,0.6233592633952831,0.6166698852894678,0.8914588647979002,0.8914588647979002,0.9309433645698101,0.29312567591387223,0.6581130816438856,0.06314545840194703,0.3982415029612957,0.6782718353636769,0.3982415029612957,0.3982415029612957,0.06314545840194703,0.3982415029612957,0.3982415029612957,0.3982415029612957,0.3982415029612957,0.3982415029612957,0.06314545840194703,0.06314545840194703
subsample_for_bin,739709,739709,739709,739709,739709,739709,739709,146021,126155,844358,827406,611825,495792,562708,380977,102932,326220,115958,917848,917848,677861,1000000,740506,739709,540796,826140,540796,540796,739709,540796,540796,540796,540796,385808,521906,521906
subsample_for_bin,"(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 1000000)","(50000, 700000)","(50000, 700000)","(50000, 700000)"
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.6905964405964407,0.7085834165834166,0.7134354186118892,0.7054847020933978,0.7054847020933978,0.7054847020933978,0.7054847020933978,0.7676923076923077,0.7719444444444445,0.9333333333333332,0.8695959595959597,0.8088515406162464,0.7839697282421741,0.8383333333333333,0.7555555555555555,0.9199999999999999,0.7598656898656899,0.7170238095238095,0.7355392156862746,0.7355392156862746,0.7240305352374318,0.721845039018952,0.803076923076923,0.7166903820816865,0.7104141414141413,0.7411255411255412,0.7321639471639472,0.7321639471639472,0.7110809785472454,0.7216482776482775,0.7265782912739434,0.729078477078477,0.7188233264320221,0.7159661835748793,0.7208026755852843,0.7215555555555555
best_index,3.0,3.0,3.0,3.0,3.0,3.0,3.0,31.0,41.0,41.0,23.0,46.0,38.0,21.0,32.0,27.0,47.0,9.0,13.0,13.0,14.0,19.0,10.0,3.0,6.0,1.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0
acc_train,0.7635658914728682,0.7558139534883721,0.7248062015503876,0.7441860465116279,0.7441860465116279,0.7441860465116279,0.7441860465116279,0.7131782945736435,0.7054263565891473,0.5736434108527132,0.5736434108527132,0.7325581395348837,0.7713178294573644,0.624031007751938,0.6976744186046512,0.5542635658914729,0.686046511627907,0.6589147286821705,0.7558139534883721,0.7558139534883721,0.7790697674418605,0.7596899224806202,0.7364341085271318,0.7286821705426356,0.7635658914728682,0.6046511627906976,0.7751937984496124,0.7713178294573644,0.7635658914728682,0.7674418604651163,0.7713178294573644,0.7674418604651163,0.7635658914728682,0.7674418604651163,0.7596899224806202,0.751937984496124
acc_val,0.5789473684210527,0.47368421052631576,0.42105263157894735,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.47368421052631576,0.3157894736842105,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.47368421052631576,0.5789473684210527,0.3684210526315789,0.631578947368421,0.42105263157894735,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.42105263157894735,0.5263157894736842,0.42105263157894735,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.5263157894736842,0.47368421052631576,0.47368421052631576,0.5789473684210527,0.5263157894736842
