parameter,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14
best_score,0.5353439153439153,0.545903369999588,0.5445213806504129,0.5428690774555437,0.5161220043572984,0.5531650071123755,0.5559440559440559,0.5445213806504129,0.545903369999588,0.6888950174365955,0.7039186113210134,0.6666666666666667,0.5410997741598409,0.5545411421273492
best_index,3.0,5.0,3.0,1.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0
acc_train,0.7604166666666666,0.8854166666666666,0.7604166666666666,0.9479166666666666,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.7604166666666666,0.8854166666666666,0.7760416666666666,0.8229166666666666,0.8229166666666666,0.828125,0.7760416666666666
acc_val,0.6458333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6875,0.6875,0.6875,0.6666666666666666,0.6666666666666666,0.6041666666666666,0.625,0.625,0.6666666666666666,0.6458333333333334
acc_test,0.6,0.5833333333333334,0.6,0.5333333333333333,0.6,0.6,0.6,0.6,0.5833333333333334,0.5,0.48333333333333334,0.48333333333333334,0.5666666666666667,0.5
precision,0.8666666666666667,0.7272727272727273,0.8666666666666667,0.6842105263157895,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.8666666666666667,0.7272727272727273,0.8571428571428571,0.75,0.75,0.7368421052631579,0.6470588235294118
recall,0.37142857142857144,0.45714285714285713,0.37142857142857144,0.37142857142857144,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.37142857142857144,0.45714285714285713,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.4,0.3142857142857143
f1score,0.52,0.5614035087719298,0.52,0.4814814814814815,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.52,0.5614035087719298,0.2857142857142857,0.2790697674418604,0.2790697674418604,0.5185185185185185,0.4230769230769231
roc,0.6457142857142858,0.6085714285714285,0.6457142857142858,0.5657142857142857,0.6228571428571429,0.6228571428571429,0.6228571428571429,0.6457142857142858,0.6085714285714285,0.5657142857142857,0.5457142857142858,0.5457142857142858,0.6,0.5371428571428571
tn,23.0,19.0,23.0,19.0,19.0,19.0,19.0,23.0,19.0,24.0,23.0,23.0,20.0,19.0
fp,2.0,6.0,2.0,6.0,6.0,6.0,6.0,2.0,6.0,1.0,2.0,2.0,5.0,6.0
fn,22.0,19.0,22.0,22.0,18.0,18.0,18.0,22.0,19.0,29.0,29.0,29.0,21.0,24.0
tp,13.0,16.0,13.0,13.0,17.0,17.0,17.0,13.0,16.0,6.0,6.0,6.0,14.0,11.0
acc_test1,0.6,0.7,0.6,0.65,0.7,0.7,0.7,0.6,0.7,0.55,0.55,0.55,0.7,0.6
precision1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
recall1,0.3333333333333333,0.5,0.3333333333333333,0.4166666666666667,0.5,0.5,0.5,0.3333333333333333,0.5,0.25,0.25,0.25,0.5,0.4166666666666667
f1score1,0.5,0.6666666666666666,0.5,0.5882352941176471,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.4,0.4,0.4,0.6666666666666666,0.5555555555555556
roc1,0.6666666666666666,0.75,0.6666666666666666,0.7083333333333334,0.75,0.75,0.75,0.6666666666666666,0.75,0.625,0.625,0.625,0.75,0.6458333333333334
tn1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0
fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fn1,8.0,6.0,8.0,7.0,6.0,6.0,6.0,8.0,6.0,9.0,9.0,9.0,6.0,7.0
tp1,4.0,6.0,4.0,5.0,6.0,6.0,6.0,4.0,6.0,3.0,3.0,3.0,6.0,5.0
acc_test2,0.75,0.55,0.75,0.65,0.6,0.6,0.6,0.75,0.55,0.55,0.5,0.5,0.6,0.65
precision2,0.8571428571428571,0.5555555555555556,0.8571428571428571,0.6666666666666666,0.6,0.6,0.6,0.8571428571428571,0.5555555555555556,0.6666666666666666,0.5,0.5,0.625,0.7142857142857143
recall2,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.2,0.2,0.2,0.5,0.5
f1score2,0.7058823529411764,0.5263157894736842,0.7058823529411764,0.631578947368421,0.6,0.6,0.6,0.7058823529411764,0.5263157894736842,0.30769230769230765,0.28571428571428575,0.28571428571428575,0.5555555555555556,0.588235294117647
roc2,0.7500000000000001,0.5499999999999999,0.7500000000000001,0.6499999999999999,0.6,0.6,0.6,0.7500000000000001,0.5499999999999999,0.55,0.5,0.5,0.5999999999999999,0.6500000000000001
tn2,9.0,6.0,9.0,7.0,6.0,6.0,6.0,9.0,6.0,9.0,8.0,8.0,7.0,8.0
fp2,1.0,4.0,1.0,3.0,4.0,4.0,4.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0
fn2,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,8.0,8.0,8.0,5.0,5.0
tp2,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,2.0,2.0,2.0,5.0,5.0
acc_test3,0.45,0.5,0.45,0.3,0.5,0.5,0.5,0.45,0.5,0.4,0.4,0.4,0.4,0.25
precision3,0.75,0.7142857142857143,0.75,0.4,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.75,0.7142857142857143,1.0,1.0,1.0,0.6,0.25
recall3,0.23076923076923078,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693
f1score3,0.3529411764705882,0.5,0.3529411764705882,0.2222222222222222,0.5,0.5,0.5,0.3529411764705882,0.5,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.33333333333333337,0.11764705882352941
roc3,0.543956043956044,0.5494505494505495,0.543956043956044,0.36263736263736257,0.5494505494505495,0.5494505494505495,0.5494505494505495,0.543956043956044,0.5494505494505495,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.47252747252747257,0.32417582417582413
tn3,6.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,5.0,7.0,7.0,7.0,5.0,4.0
fp3,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0
fn3,10.0,8.0,10.0,11.0,8.0,8.0,8.0,10.0,8.0,12.0,12.0,12.0,10.0,12.0
tp3,3.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0
