parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22
max_bin,"(100, 1200)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)","(100, 1500)"
max_depth,60,5,5,16,5,53,5,5,5,5,54,28,5,53,60,5,42,45,26,9,42,52
max_depth,"(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)","(5, 60)"
metric,['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss'],['binary_logloss']
metric,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss,binary_logloss
min_child_samples,5,13,40,36,40,19,40,13,13,35,34,38,24,19,24,5,33,5,5,5,33,19
min_child_samples,"(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)","(5, 40)"
min_child_weight,"(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)","(8.0, 19.0)","(12.0, 19.0)","(10.0, 19.0)","(10.0, 19.0)"
min_child_weight,16.10216468803569,17.591392577663196,14.396138243255846,16.080616553589916,14.396138243255846,13.07436167892373,14.396138243255846,17.591392577663196,17.591392577663196,16.274131956085064,12.798913726430259,19.0,19.0,13.07436167892373,14.244140086442112,13.127465503930281,10.0,12.518833057952886,8.0,15.208445756780794,10.0,10.0
min_split_gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_estimators,"(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)","(700, 10000)"
n_estimators,2685,10000,10000,9208,10000,8489,10000,10000,10000,10000,10000,2613,9185,8489,7069,10000,8653,10000,10000,10000,8653,10000
n_jobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,49
num_col,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,49
num_leaves,"(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)","(3, 20)"
num_leaves,4,14,3,16,3,13,3,14,14,14,3,5,20,13,4,20,3,20,20,3,3,3
objective,['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary'],['binary']
objective,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary
random_state,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
reg_alpha,4.556952120682544,3.4050475615320575,5.0,3.3068877182862164,5.0,4.858802362848003,5.0,3.4050475615320575,3.4050475615320575,1.830698411651031,4.5,5.0,2.7819276305030476,4.858802362848003,1.5206611961269834,5.5,5.5,6.0,5.5,4.236607035733982,5.5,4.253626388922492
reg_alpha,"(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 6.0, 'uniform')","(1.0, 4.5, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.0, 'uniform')","(1.0, 5.5, 'uniform')","(0.0, 5.5, 'uniform')","(2.0, 5.5, 'uniform')","(3.0, 6.0, 'uniform')","(2.0, 5.5, 'uniform')","(2.0, 5.5, 'uniform')","(2.0, 5.5, 'uniform')","(2.0, 5.5, 'uniform')"
reg_lambda,"(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(2.0, 4.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 3.0, 'uniform')"
reg_lambda,0.0,2.0,2.0,1.9211866897785472,2.0,0.8922325772501638,2.0,2.0,2.0,2.027118199682358,2.4794978578404163,0.0,0.0,1.3383488658752456,0.0,0.09409159979637274,3.0,2.3159319559105653,3.0,0.0,3.0,3.0
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.7084627004902617,0.776077591795387,0.8089192864385488,0.8143617416931905,0.8089192864385488,0.765357711438728,0.8089192864385488,0.776077591795387,0.776077591795387,0.7382355772058726,0.7934527611631708,0.7751377506267976,0.8332208695450913,0.765357711438728,0.7929589912664099,0.7289698235779487,0.6396354741780875,0.5714596658609434,0.474236327712113,0.6928862639037658,0.6396354741780875,0.5096660549579501
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
second_best_index,,,,,,,,,,,,,,,,,,,,,,
second_best_index,,,,,,,,,,,,,,,,,,,,,,
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,"(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')","(0.5, 1.0, 'uniform')"
subsample,1.0,0.8063519718674821,0.7530457757720397,0.9063548426918915,0.7530457757720397,0.5292188233175613,0.7530457757720397,0.8063519718674821,0.8063519718674821,0.8377256074394007,0.8705898188765875,0.9965357301042387,0.7448302820714083,0.5292188233175613,0.552879840346477,0.7793050986264647,0.5,0.6960796446146243,0.8500081877203736,0.9637105826465212,0.5,0.9955280927921335
subsample_for_bin,474450,170294,366376,102765,366376,376704,366376,170294,170294,146356,57576,50000,442344,376704,477502,80862,250617,50000,50000,175419,250617,500000
subsample_for_bin,"(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)"
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.7491282554211616,0.7322360248447205,0.7321639471639472,0.7155555555555555,0.7321639471639472,0.7098532578532579,0.7321639471639472,0.7322360248447205,0.7322360248447205,0.7381456707543664,0.7282601263470829,0.7192246733775969,0.7170019996106952,0.7049271494788736,0.7283748984093811,0.7346086956521739,0.7513875598086125,0.756108597285068,0.7951298701298701,0.7623737373737374,0.7513875598086125,0.8139705882352942
best_index,28.0,68.0,33.0,24.0,33.0,3.0,33.0,68.0,68.0,37.0,38.0,39.0,13.0,3.0,39.0,38.0,49.0,36.0,39.0,30.0,49.0,44.0
acc_train,0.7674418604651163,0.751937984496124,0.7829457364341085,0.7558139534883721,0.7829457364341085,0.7596899224806202,0.7829457364341085,0.751937984496124,0.751937984496124,0.751937984496124,0.7713178294573644,0.7674418604651163,0.751937984496124,0.7596899224806202,0.7558139534883721,0.7751937984496124,0.7596899224806202,0.6627906976744186,0.7286821705426356,0.7635658914728682,0.7596899224806202,0.7403100775193798
acc_val,0.47368421052631576,0.47368421052631576,0.5263157894736842,0.5789473684210527,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5789473684210527,0.5263157894736842,0.47368421052631576,0.3684210526315789,0.42105263157894735,0.47368421052631576,0.47368421052631576,0.42105263157894735
acc_test,0.6571428571428571,0.6857142857142857,0.6571428571428571,0.6285714285714286,0.6571428571428571,0.6,0.6571428571428571,0.6857142857142857,0.6857142857142857,0.6571428571428571,0.6285714285714286,0.6857142857142857,0.6571428571428571,0.6,0.6,0.6,0.6285714285714286,0.5714285714285714,0.5142857142857142,0.6285714285714286,0.6285714285714286,0.5142857142857142
train_precision,0.796875,0.7465753424657534,0.8076923076923077,0.762589928057554,0.8076923076923077,0.7569444444444444,0.8076923076923077,0.7465753424657534,0.7465753424657534,0.7647058823529411,0.808,0.8064516129032258,0.7571428571428571,0.7569444444444444,0.7829457364341085,0.8145161290322581,0.8557692307692307,0.7752808988764045,0.8928571428571429,0.8151260504201681,0.8557692307692307,0.896551724137931
train_tn,96.0,85.0,97.0,89.0,97.0,87.0,97.0,85.0,85.0,90.0,98.0,98.0,88.0,87.0,94.0,99.0,107.0,102.0,113.0,100.0,107.0,113.0
train_fp,26.0,37.0,25.0,33.0,25.0,35.0,25.0,37.0,37.0,32.0,24.0,24.0,34.0,35.0,28.0,23.0,15.0,20.0,9.0,22.0,15.0,9.0
train_fn,34.0,27.0,31.0,30.0,31.0,27.0,31.0,27.0,27.0,32.0,35.0,36.0,30.0,27.0,35.0,35.0,47.0,67.0,61.0,39.0,47.0,58.0
train_tp,102.0,109.0,105.0,106.0,105.0,109.0,105.0,109.0,109.0,104.0,101.0,100.0,106.0,109.0,101.0,101.0,89.0,69.0,75.0,97.0,89.0,78.0
val_precision,0.36363636363636365,0.36363636363636365,0.4,0.45454545454545453,0.4,0.4166666666666667,0.4,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.4166666666666667,0.4,0.4166666666666667,0.4166666666666667,0.45454545454545453,0.4,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25
val_tn,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,8.0,6.0,6.0,6.0
val_fp,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0
val_fn,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,7.0,7.0,4.0,4.0,5.0
val_tp,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,3.0,3.0,2.0
test_precision,0.6875,0.6842105263157895,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.625,0.7142857142857143,0.6842105263157895,0.6842105263157895,0.7142857142857143,0.6666666666666666,0.7058823529411765,0.6666666666666666,0.625,0.6428571428571429,0.6428571428571429,0.7272727272727273,0.7142857142857143,0.5714285714285714,0.6923076923076923,0.7272727272727273,0.5714285714285714
recall,0.6111111111111112,0.7222222222222222,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7222222222222222,0.7222222222222222,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.5,0.5,0.4444444444444444,0.2777777777777778,0.2222222222222222,0.5,0.4444444444444444,0.2222222222222222
f1score,0.6470588235294118,0.7027027027027027,0.6250000000000001,0.606060606060606,0.6250000000000001,0.5882352941176471,0.6250000000000001,0.7027027027027027,0.7027027027027027,0.6250000000000001,0.606060606060606,0.6857142857142857,0.6666666666666666,0.5882352941176471,0.5625000000000001,0.5625000000000001,0.5517241379310345,0.4,0.32,0.5806451612903226,0.5517241379310345,0.32
roc,0.6584967320261438,0.684640522875817,0.6601307189542484,0.630718954248366,0.6601307189542484,0.6013071895424836,0.6601307189542484,0.684640522875817,0.684640522875817,0.6601307189542484,0.630718954248366,0.6862745098039215,0.6568627450980391,0.6013071895424836,0.6029411764705881,0.6029411764705881,0.6339869281045751,0.5800653594771241,0.5228758169934641,0.6323529411764706,0.6339869281045751,0.5228758169934641
test_tn,12.0,11.0,13.0,12.0,13.0,11.0,13.0,11.0,11.0,13.0,12.0,12.0,11.0,11.0,12.0,12.0,14.0,15.0,14.0,13.0,14.0,14.0
test_fp,5.0,6.0,4.0,5.0,4.0,6.0,4.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,3.0
test_fn,7.0,5.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,8.0,8.0,6.0,6.0,8.0,9.0,9.0,10.0,13.0,14.0,9.0,10.0,14.0
test_tp,11.0,13.0,10.0,10.0,10.0,10.0,10.0,13.0,13.0,10.0,10.0,12.0,12.0,10.0,9.0,9.0,8.0,5.0,4.0,9.0,8.0,4.0
