parameter,value1,value2,value3,value4,value5,value6,value7,value8
fn,22.0,21.0,20.0,23.0,24.0,20.0,20.0,13.0
tp,4.0,5.0,6.0,3.0,2.0,6.0,6.0,13.0
acc_test1,0.6,0.6,0.65,0.55,0.55,0.6,0.65,0.7
precision1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75
recall1,0.2,0.2,0.3,0.1,0.1,0.2,0.3,0.6
f1score1,0.33333333333333337,0.33333333333333337,0.4615384615384615,0.18181818181818182,0.18181818181818182,0.33333333333333337,0.4615384615384615,0.6666666666666665
roc1,0.6,0.6,0.65,0.55,0.55,0.6,0.65,0.7000000000000002
tn1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0
fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
fn1,8.0,8.0,7.0,9.0,9.0,8.0,7.0,4.0
tp1,2.0,2.0,3.0,1.0,1.0,2.0,3.0,6.0
acc_test2,0.6,0.65,0.65,0.6,0.55,0.65,0.65,0.6
precision2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5555555555555556
recall2,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.5555555555555556
f1score2,0.19999999999999998,0.3636363636363636,0.3636363636363636,0.19999999999999998,0.0,0.3636363636363636,0.3636363636363636,0.5555555555555556
roc2,0.5555555555555556,0.6111111111111112,0.6111111111111112,0.5555555555555556,0.5,0.6111111111111112,0.6111111111111112,0.595959595959596
tn2,11.0,11.0,11.0,11.0,11.0,11.0,11.0,7.0
fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
fn2,8.0,7.0,7.0,8.0,9.0,7.0,7.0,4.0
tp2,1.0,2.0,2.0,1.0,0.0,2.0,2.0,5.0
acc_test3,0.55,0.5,0.6,0.65,0.65,0.65,0.6,0.4
precision3,0.25,0.2,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,0.2222222222222222
recall3,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857
f1score3,0.18181818181818182,0.16666666666666666,0.2,0.22222222222222224,0.22222222222222224,0.36363636363636365,0.2,0.25
roc3,0.456043956043956,0.41758241758241754,0.49450549450549447,0.532967032967033,0.532967032967033,0.5659340659340659,0.49450549450549447,0.37362637362637363
tn3,10.0,9.0,11.0,12.0,12.0,11.0,11.0,6.0
fp3,3.0,4.0,2.0,1.0,1.0,2.0,2.0,7.0
fn3,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0
tp3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
