parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18
best_score,0.6917989417989419,0.6717948717948717,0.6534391534391534,0.6851282051282052,0.6412141779788838,0.7452991452991453,0.6917989417989419,0.6966666666666667,0.7633333333333333,0.6917989417989419,0.6411420708634331,0.6944444444444445,0.6722689075630252,0.6767676767676768,0.6917989417989419,0.6640740740740741,0.6399108138238573,0.8380952380952381
best_index,23.0,43.0,38.0,35.0,28.0,19.0,23.0,20.0,31.0,23.0,41.0,47.0,39.0,34.0,23.0,16.0,37.0,20.0
acc_train,0.7035175879396985,0.6733668341708543,0.7437185929648241,0.7336683417085427,0.8090452261306532,0.7487437185929648,0.7035175879396985,0.8190954773869347,0.7085427135678392,0.7035175879396985,0.7839195979899497,0.7085427135678392,0.7085427135678392,0.7487437185929648,0.7035175879396985,0.6683417085427136,0.6884422110552764,0.6180904522613065
acc_val,0.46,0.44,0.46,0.38,0.4,0.44,0.46,0.46,0.46,0.46,0.46,0.42,0.44,0.4,0.46,0.42,0.36,0.58
acc_test,0.6349206349206349,0.6190476190476191,0.6349206349206349,0.6507936507936508,0.6031746031746031,0.6507936507936508,0.6349206349206349,0.6031746031746031,0.5555555555555556,0.6349206349206349,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6349206349206349,0.5555555555555556,0.6349206349206349,0.5714285714285714
precision,0.75,0.7058823529411765,0.7222222222222222,0.6551724137931034,0.65,0.7142857142857143,0.75,0.6666666666666666,0.6363636363636364,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.56,0.6538461538461539,0.8333333333333334
recall,0.3870967741935484,0.3870967741935484,0.41935483870967744,0.6129032258064516,0.41935483870967744,0.4838709677419355,0.3870967741935484,0.3870967741935484,0.22580645161290322,0.3870967741935484,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.3870967741935484,0.45161290322580644,0.5483870967741935,0.16129032258064516
f1score,0.5106382978723403,0.5,0.5306122448979592,0.6333333333333333,0.5098039215686274,0.5769230769230769,0.5106382978723403,0.4897959183673469,0.3333333333333333,0.5106382978723403,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5106382978723403,0.5,0.5964912280701755,0.27027027027027023
roc,0.6310483870967742,0.6154233870967742,0.6315524193548387,0.6502016129032258,0.6003024193548387,0.6481854838709677,0.6310483870967742,0.5997983870967742,0.5504032258064516,0.6310483870967742,0.6164314516129032,0.6164314516129032,0.6164314516129032,0.6164314516129032,0.6310483870967742,0.5539314516129032,0.6335685483870968,0.5650201612903226
tn,28.0,27.0,27.0,22.0,25.0,26.0,28.0,26.0,28.0,28.0,25.0,25.0,25.0,25.0,28.0,21.0,23.0,31.0
fp,4.0,5.0,5.0,10.0,7.0,6.0,4.0,6.0,4.0,4.0,7.0,7.0,7.0,7.0,4.0,11.0,9.0,1.0
fn,19.0,19.0,18.0,12.0,18.0,16.0,19.0,19.0,24.0,19.0,17.0,17.0,17.0,17.0,19.0,17.0,14.0,26.0
tp,12.0,12.0,13.0,19.0,13.0,15.0,12.0,12.0,7.0,12.0,14.0,14.0,14.0,14.0,12.0,14.0,17.0,5.0
acc_test1,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5238095238095238,0.5714285714285714,0.47619047619047616,0.5238095238095238,0.5714285714285714,0.42857142857142855,0.5238095238095238,0.47619047619047616,0.42857142857142855,0.5714285714285714,0.47619047619047616,0.47619047619047616,0.6666666666666666
precision1,0.25,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.14285714285714285,0.2857142857142857,0.25,0.16666666666666666,0.0,0.25,0.14285714285714285,0.2857142857142857,0.16666666666666666,0.14285714285714285,0.25,0.25,0.16666666666666666,0.0
recall1,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0
f1score1,0.18181818181818182,0.15384615384615383,0.30769230769230765,0.25,0.14285714285714285,0.2857142857142857,0.18181818181818182,0.15384615384615383,0.0,0.18181818181818182,0.14285714285714285,0.2857142857142857,0.15384615384615383,0.14285714285714285,0.18181818181818182,0.26666666666666666,0.15384615384615383,0.0
roc1,0.46428571428571425,0.3928571428571428,0.49999999999999994,0.3928571428571428,0.3571428571428571,0.4642857142857142,0.46428571428571425,0.3928571428571428,0.39285714285714285,0.46428571428571425,0.3571428571428571,0.4642857142857142,0.3928571428571428,0.3571428571428571,0.46428571428571425,0.42857142857142855,0.3928571428571428,0.5
tn1,11.0,9.0,10.0,7.0,8.0,9.0,11.0,9.0,11.0,11.0,8.0,9.0,9.0,8.0,11.0,8.0,9.0,14.0
fp1,3.0,5.0,4.0,7.0,6.0,5.0,3.0,5.0,3.0,3.0,6.0,5.0,5.0,6.0,3.0,6.0,5.0,0.0
fn1,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0
tp1,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0
acc_test2,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.8095238095238095,0.8095238095238095,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.6190476190476191,0.6666666666666666,0.8095238095238095,0.6190476190476191,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.7619047619047619,0.5714285714285714
precision2,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.875,1.0,1.0,0.7142857142857143,0.8181818181818182,0.8
recall2,0.4166666666666667,0.5,0.5,0.75,0.6666666666666666,0.5,0.4166666666666667,0.5,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.4166666666666667,0.5833333333333334,0.5,0.4166666666666667,0.4166666666666667,0.75,0.3333333333333333
f1score2,0.5882352941176471,0.6666666666666666,0.6666666666666666,0.8181818181818182,0.8,0.6666666666666666,0.5882352941176471,0.6666666666666666,0.5,0.5882352941176471,0.8,0.5555555555555556,0.7000000000000001,0.6666666666666666,0.5882352941176471,0.5263157894736842,0.7826086956521738,0.47058823529411764
roc2,0.7083333333333334,0.75,0.75,0.8194444444444443,0.8333333333333333,0.75,0.7083333333333334,0.75,0.6666666666666666,0.7083333333333334,0.8333333333333333,0.6527777777777778,0.7361111111111112,0.75,0.7083333333333334,0.5972222222222222,0.763888888888889,0.611111111111111
tn2,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,7.0,7.0,8.0
fp2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0
fn2,7.0,6.0,6.0,3.0,4.0,6.0,7.0,6.0,8.0,7.0,4.0,7.0,5.0,6.0,7.0,7.0,3.0,8.0
tp2,5.0,6.0,6.0,9.0,8.0,6.0,5.0,6.0,4.0,5.0,8.0,5.0,7.0,6.0,5.0,5.0,9.0,4.0
acc_test3,0.6666666666666666,0.6666666666666666,0.6190476190476191,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.6666666666666666,0.6190476190476191,0.5238095238095238,0.6666666666666666,0.6190476190476191,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.47619047619047616
precision3,0.8571428571428571,1.0,0.8333333333333334,0.8,0.8,0.875,0.8571428571428571,0.8333333333333334,0.75,0.8571428571428571,0.8333333333333334,0.875,0.8571428571428571,0.875,0.8571428571428571,0.7,0.7777777777777778,1.0
recall3,0.5,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.5,0.4166666666666667,0.25,0.5,0.4166666666666667,0.5833333333333334,0.5,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,0.08333333333333333
f1score3,0.631578947368421,0.5882352941176471,0.5555555555555556,0.7272727272727272,0.47058823529411764,0.7000000000000001,0.631578947368421,0.5555555555555556,0.375,0.631578947368421,0.5555555555555556,0.7000000000000001,0.631578947368421,0.7000000000000001,0.631578947368421,0.6363636363636365,0.6666666666666666,0.15384615384615385
roc3,0.6944444444444444,0.7083333333333334,0.6527777777777778,0.7222222222222222,0.611111111111111,0.7361111111111112,0.6944444444444444,0.6527777777777778,0.5694444444444444,0.6944444444444444,0.6527777777777778,0.7361111111111112,0.6944444444444444,0.7361111111111112,0.6944444444444444,0.6250000000000001,0.6805555555555556,0.5416666666666666
tn3,8.0,9.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,9.0
fp3,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0
fn3,6.0,7.0,7.0,4.0,8.0,5.0,6.0,7.0,9.0,6.0,7.0,5.0,6.0,5.0,6.0,5.0,5.0,11.0
tp3,6.0,5.0,5.0,8.0,4.0,7.0,6.0,5.0,3.0,6.0,5.0,7.0,6.0,7.0,6.0,7.0,7.0,1.0
