Date,Price,Open,High,Low,Vol.,Change %
16-Mar-22,"81,500","80,800","81,500","80,800",0.01K,0.25%
15-Mar-22,"81,300","80,400","81,300","80,300",246.82K,0.00%
14-Mar-22,"81,300","80,000","81,300","79,900",0.00K,1.37%
13-Mar-22,"80,200","80,200","80,200","80,200",-,0.00%
11-Mar-22,"80,200","80,200","80,200","79,700",281.32K,-0.50%
10-Mar-22,"80,600","80,800","80,900","80,300",326.20K,0.00%
08-Mar-22,"80,600","80,600","80,700","80,100",294.70K,-0.12%
07-Mar-22,"80,700","80,200","80,900","79,800",261.67K,-0.25%
06-Mar-22,"80,900","80,900","80,900","80,900",-,0.00%
04-Mar-22,"80,900","80,500","80,900","80,100",290.92K,0.62%
03-Mar-22,"80,400","79,600","80,400","79,600",0.04K,0.25%
02-Mar-22,"80,200","79,500","80,300","79,400",0.00K,0.50%
28-Feb-22,"79,800","79,700","79,800","79,000",332.03K,-0.13%
25-Feb-22,"79,900","79,800","80,300","79,300",234.63K,0.25%
24-Feb-22,"79,700","79,800","80,200","79,100",0.02K,-0.50%
23-Feb-22,"80,100","80,800","80,800","79,900",0.02K,-0.74%
22-Feb-22,"80,700","80,500","80,700","79,900",0.08K,0.25%
21-Feb-22,"80,500","80,100","80,800","80,000",0.03K,-0.37%
20-Feb-22,"80,800","80,800","80,800","80,800",-,0.00%
18-Feb-22,"80,800","79,800","81,200","79,800",358.24K,1.00%
17-Feb-22,"80,000","80,000","80,400","79,500",271.12K,0.13%
16-Feb-22,"79,900","79,600","80,000","79,500",172.12K,0.38%
15-Feb-22,"79,600","79,600","80,000","79,100",291.93K,0.00%
14-Feb-22,"79,600","79,800","79,800","79,000",0.00K,-0.50%
13-Feb-22,"80,000","80,000","80,000","80,000",-,0.00%
11-Feb-22,"80,000","79,200","80,100","78,900",370.27K,0.63%
10-Feb-22,"79,500","78,600","79,600","78,600",0.01K,1.02%
09-Feb-22,"78,700","78,700","78,900","78,300",253.34K,0.13%
08-Feb-22,"78,600","78,800","79,100","78,000",234.46K,0.00%
07-Feb-22,"78,600","78,100","78,700","77,600",0.00K,0.51%
04-Feb-22,"78,200","77,900","78,500","77,800",217.57K,0.39%
03-Feb-22,"77,900","77,700","78,600","77,600",376.53K,0.39%
28-Jan-22,"77,600","77,200","77,800","76,600",563.06K,0.65%
27-Jan-22,"77,100","78,900","79,000","76,800",0.01K,-2.03%
26-Jan-22,"78,700","78,300","78,900","78,300",0.00K,0.51%
25-Jan-22,"78,300","78,300","78,500","77,600",429.45K,-0.38%
24-Jan-22,"78,600","79,300","79,400","78,400",214.20K,-0.76%
21-Jan-22,"79,200","78,700","79,400","78,600",263.92K,0.51%
20-Jan-22,"78,800","79,200","79,200","78,600",0.02K,-0.25%
19-Jan-22,"79,000","78,400","79,200","78,300",0.02K,0.64%
18-Jan-22,"78,500","79,000","79,000","78,300",258.21K,-0.51%
17-Jan-22,"78,900","78,400","78,900","78,300",257.53K,0.25%
16-Jan-22,"78,700","78,700","78,700","78,700",-,0.00%
14-Jan-22,"78,700","78,900","78,900","78,300",208.75K,-0.38%
13-Jan-22,"79,000","78,900","79,300","78,900",320.85K,-0.25%
12-Jan-22,"79,200","78,900","79,300","78,700",303.79K,0.00%
11-Jan-22,"79,200","78,300","79,200","78,300",0.01K,0.89%
10-Jan-22,"78,500","78,400","78,600","78,200",0.02K,0.13%
09-Jan-22,"78,400","78,400","78,400","78,400",-,0.00%
07-Jan-22,"78,400","78,500","78,800","78,200",281.96K,-0.38%
06-Jan-22,"78,700","78,700","79,400","78,500",378.52K,0.25%
05-Jan-22,"78,500","78,400","78,900","78,400",341.02K,0.13%
04-Jan-22,"78,400","78,800","78,900","78,200",423.29K,-0.76%
03-Jan-22,"79,000","79,100","79,400","78,700",308.69K,0.00%
