parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8
subsample_for_bin,157786,100000,477471,261866,398451,306651,442017,155443
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)"
subsample_freq,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0
best_score,0.5333333333333333,0.5187545787545788,0.5429797979797979,0.4840811965811966,0.5018686868686869,0.48338281601439503,0.6,0.4976812947401183
best_index,28.0,18.0,5.0,8.0,8.0,6.0,48.0,37.0
acc_train,0.5797665369649806,0.8015564202334631,0.7431906614785992,0.8715953307392996,0.7509727626459144,0.9221789883268483,0.5486381322957199,0.980544747081712
acc_val,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.7368421052631579,0.7368421052631579,0.8421052631578947,0.5789473684210527
acc_test,0.6190476190476191,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6190476190476191,0.5238095238095238,0.6190476190476191,0.5238095238095238
train_precision,1.0,0.9577464788732394,1.0,1.0,0.9814814814814815,0.98,0.0,1.0
train_tn,141.0,138.0,141.0,141.0,140.0,139.0,141.0,141.0
train_fp,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0
train_fn,108.0,48.0,66.0,33.0,63.0,18.0,116.0,5.0
train_tp,8.0,68.0,50.0,83.0,53.0,98.0,0.0,111.0
val_precision,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
val_tn,16.0,16.0,16.0,15.0,14.0,14.0,16.0,11.0
val_fp,0.0,0.0,0.0,1.0,2.0,2.0,0.0,5.0
val_fn,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
val_tp,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
test_precision,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5,0.25,0.0,0.3333333333333333
recall,0.0,0.125,0.0,0.125,0.125,0.125,0.0,0.25
f1score,0.0,0.18181818181818182,0.0,0.18181818181818182,0.2,0.16666666666666666,0.0,0.28571428571428575
roc,0.5,0.4855769230769231,0.46153846153846156,0.4855769230769231,0.5240384615384616,0.4471153846153846,0.5,0.47115384615384615
test_tn,13.0,11.0,12.0,11.0,12.0,10.0,13.0,9.0
test_fp,0.0,2.0,1.0,2.0,1.0,3.0,0.0,4.0
test_fn,8.0,7.0,8.0,7.0,7.0,7.0,8.0,6.0
test_tp,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0
