parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12
best_index,26.0,27.0,40.0,40.0,38.0,38.0,29.0,31.0,48.0,47.0,40.0,48.0
acc_train,0.7142857142857143,0.6502463054187192,0.6650246305418719,0.6650246305418719,0.6551724137931034,0.7586206896551724,0.729064039408867,0.7142857142857143,0.7931034482758621,0.6699507389162561,0.6748768472906403,0.7931034482758621
acc_val,0.5098039215686274,0.5294117647058824,0.5686274509803921,0.5686274509803921,0.49019607843137253,0.49019607843137253,0.5098039215686274,0.5490196078431373,0.5686274509803921,0.5098039215686274,0.5686274509803921,0.5686274509803921
acc_test,0.609375,0.59375,0.609375,0.609375,0.640625,0.671875,0.625,0.640625,0.609375,0.59375,0.546875,0.609375
train_precision,1.0,0.7076923076923077,0.7142857142857143,0.7142857142857143,0.8888888888888888,0.8656716417910447,0.864406779661017,0.8703703703703703,1.0,0.8974358974358975,0.75,1.0
train_tn,105.0,86.0,85.0,85.0,101.0,96.0,97.0,98.0,105.0,101.0,89.0,105.0
train_fp,0.0,19.0,20.0,20.0,4.0,9.0,8.0,7.0,0.0,4.0,16.0,0.0
train_fn,58.0,52.0,48.0,48.0,66.0,40.0,47.0,51.0,42.0,63.0,50.0,42.0
train_tp,40.0,46.0,50.0,50.0,32.0,58.0,51.0,47.0,56.0,35.0,48.0,56.0
val_precision,0.5,0.5294117647058824,0.5882352941176471,0.5882352941176471,0.4444444444444444,0.47058823529411764,0.5,0.5714285714285714,0.6666666666666666,0.5,0.6153846153846154,0.6666666666666666
val_tn,22.0,18.0,19.0,19.0,21.0,17.0,20.0,20.0,23.0,23.0,21.0,23.0
val_fp,4.0,8.0,7.0,7.0,5.0,9.0,6.0,6.0,3.0,3.0,5.0,3.0
val_fn,21.0,16.0,15.0,15.0,21.0,17.0,19.0,17.0,19.0,22.0,17.0,19.0
val_tp,4.0,9.0,10.0,10.0,4.0,8.0,6.0,8.0,6.0,3.0,8.0,6.0
test_precision,0.5555555555555556,0.5,0.5238095238095238,0.5238095238095238,0.6666666666666666,0.6190476190476191,0.55,0.6,0.5714285714285714,0.5,0.42857142857142855,0.5714285714285714
recall,0.19230769230769232,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.23076923076923078,0.5,0.4230769230769231,0.34615384615384615,0.15384615384615385,0.23076923076923078,0.34615384615384615,0.15384615384615385
f1score,0.28571428571428575,0.4583333333333333,0.4680851063829788,0.4680851063829788,0.3428571428571429,0.5531914893617021,0.47826086956521735,0.43902439024390244,0.24242424242424246,0.3157894736842105,0.3829787234042554,0.24242424242424246
roc,0.5435222672064778,0.5668016194331984,0.5799595141700407,0.5799595141700407,0.5759109311740891,0.644736842105263,0.5931174089068827,0.5941295546558705,0.5374493927125505,0.5364372469635628,0.5151821862348178,0.5374493927125505
test_tn,34.0,27.0,28.0,28.0,35.0,30.0,29.0,32.0,35.0,32.0,26.0,35.0
test_fp,4.0,11.0,10.0,10.0,3.0,8.0,9.0,6.0,3.0,6.0,12.0,3.0
test_fn,21.0,15.0,15.0,15.0,20.0,13.0,15.0,17.0,22.0,20.0,17.0,22.0
test_tp,5.0,11.0,11.0,11.0,6.0,13.0,11.0,9.0,4.0,6.0,9.0,4.0
acc_test1,0.6666666666666666,0.6666666666666666,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.5714285714285714,0.7142857142857143
precision1,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.2,0.3333333333333333,0.5,0.3333333333333333,0.2,0.5
recall1,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
f1score1,0.2222222222222222,0.3636363636363636,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.1818181818181818,0.2222222222222222,0.25,0.2222222222222222,0.1818181818181818,0.25
roc1,0.5166666666666667,0.5666666666666667,0.5333333333333333,0.5333333333333333,0.43333333333333335,0.5333333333333333,0.45,0.5166666666666667,0.55,0.5166666666666667,0.45,0.55
tn1,13.0,12.0,11.0,11.0,13.0,11.0,11.0,13.0,14.0,13.0,11.0,14.0
fp1,2.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,2.0,4.0,1.0
fn1,5.0,4.0,4.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
tp1,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
acc_test2,0.6190476190476191,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.5238095238095238,0.47619047619047616,0.5714285714285714
precision2,1.0,0.5454545454545454,0.5555555555555556,0.5555555555555556,1.0,0.75,0.7,0.6666666666666666,0.75,0.6,0.5,0.75
recall2,0.2727272727272727,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.2727272727272727
f1score2,0.42857142857142855,0.5454545454545454,0.5,0.5,0.5333333333333333,0.631578947368421,0.6666666666666666,0.4705882352941177,0.39999999999999997,0.37499999999999994,0.47619047619047616,0.39999999999999997
roc2,0.6363636363636364,0.5227272727272727,0.5272727272727272,0.5272727272727272,0.6818181818181819,0.6727272727272727,0.6681818181818181,0.5818181818181819,0.5863636363636364,0.5363636363636364,0.4772727272727273,0.5863636363636364
tn2,10.0,5.0,6.0,6.0,10.0,8.0,7.0,8.0,9.0,8.0,5.0,9.0
fp2,0.0,5.0,4.0,4.0,0.0,2.0,3.0,2.0,1.0,2.0,5.0,1.0
fn2,8.0,5.0,6.0,6.0,7.0,5.0,4.0,7.0,8.0,8.0,6.0,8.0
tp2,3.0,6.0,5.0,5.0,4.0,6.0,7.0,4.0,3.0,3.0,5.0,3.0
acc_test3,0.5454545454545454,0.5909090909090909,0.6818181818181818,0.6818181818181818,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.6818181818181818,0.5454545454545454,0.5909090909090909,0.5909090909090909,0.5454545454545454
precision3,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6,0.6666666666666666,0.0,0.5,0.5,0.0
recall3,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.0,0.2222222222222222,0.3333333333333333,0.0
f1score3,0.16666666666666666,0.4,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.6250000000000001,0.42857142857142855,0.5333333333333333,0.0,0.30769230769230765,0.4,0.0
roc3,0.47863247863247865,0.5512820512820512,0.6452991452991452,0.6452991452991452,0.5726495726495727,0.7008547008547008,0.5897435897435898,0.6452991452991452,0.46153846153846156,0.5341880341880343,0.5512820512820512,0.46153846153846156
tn3,11.0,10.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,10.0,12.0
fp3,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0
fn3,8.0,6.0,5.0,5.0,7.0,4.0,6.0,5.0,9.0,7.0,6.0,9.0
tp3,1.0,3.0,4.0,4.0,2.0,5.0,3.0,4.0,0.0,2.0,3.0,0.0
