parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15
reg_lambda,1.7138415666514268,3.2852800520394547,0.15578245827451312,2.049802309654506,3.5,3.5,3.5,3.5,3.4171398068654826,2.796625360932252,3.5288327134137223,4.0,3.5317509510888527,3.020186869751333,5.0
scale_pos_weight,"(0.2, 2.0, 'uniform')",[1.1746160540042596],"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')",[0.39699904775285966],"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')",[0.6584626718047019],"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')",[0.7151912801557232]
scale_pos_weight,0.47843830564833295,1.1746160540042596,1.400292014625875,0.5311685292773861,0.5779798406241397,0.5779798406241397,0.5779798406241397,0.5779798406241397,0.39699904775285966,0.273699760758479,0.659516017319801,0.6584626718047019,0.2,0.4836083347172489,0.7151912801557232
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
scoring,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision
second_best_index,,27,27,,,,,,34,,,39,,,31
second_best_index,,27,27,,,,,,34,,,39,,,31
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,"(0.005, 1.0, 'uniform')",[0.018693361431785984],"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')",[0.7079429151035661],"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')",[0.8017211727097934],"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')",[0.7965165719975793]
subsample,0.9691257546907539,0.018693361431785984,0.6843335166200109,0.18094850285971525,0.6800022756932484,0.6800022756932484,0.6800022756932484,0.6800022756932484,0.7079429151035661,0.9836380653222238,0.5155120146607769,0.8017211727097934,0.05581231470092772,0.6434438887672298,0.7965165719975793
subsample_for_bin,291238,314990,408795,500000,475466,475466,475466,475466,391256,100000,477166,473210,144372,325860,478030
subsample_for_bin,"(100000, 500000)",[314990],"(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)",[391256],"(100000, 500000)","(100000, 500000)",[473210],"(100000, 500000)","(100000, 500000)",[478030]
subsample_freq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best_score,0.82,0.7273015873015873,0.48954013377926425,0.7961904761904762,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7333333333333333,0.8333333333333333,0.8583333333333332,0.7333333333333333,0.85,0.7647619047619048,0.7528571428571429
best_index,31.0,0.0,0.0,28.0,15.0,15.0,15.0,15.0,0.0,34.0,21.0,0.0,19.0,33.0,0.0
acc_train,0.6356589147286822,0.6589147286821705,0.813953488372093,0.6821705426356589,0.6705426356589147,0.6705426356589147,0.6705426356589147,0.6705426356589147,0.6472868217054264,0.6472868217054264,0.6937984496124031,0.6937984496124031,0.6705426356589147,0.7635658914728682,0.7248062015503876
acc_val,0.7894736842105263,0.6842105263157895,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6842105263157895,0.7368421052631579,0.7368421052631579,0.7894736842105263
acc_test,0.6666666666666666,0.696969696969697,0.6363636363636364,0.6666666666666666,0.696969696969697,0.696969696969697,0.696969696969697,0.696969696969697,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7272727272727273
train_precision,1.0,0.8928571428571429,0.7540983606557377,0.9375,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9523809523809523,1.0,1.0,0.9696969696969697,1.0,1.0,0.9534883720930233
train_tn,148.0,145.0,118.0,146.0,147.0,147.0,147.0,147.0,147.0,148.0,148.0,147.0,148.0,148.0,146.0
train_fp,0.0,3.0,30.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
train_fn,94.0,85.0,18.0,80.0,84.0,84.0,84.0,84.0,90.0,91.0,79.0,78.0,85.0,61.0,69.0
train_tp,16.0,25.0,92.0,30.0,26.0,26.0,26.0,26.0,20.0,19.0,31.0,32.0,25.0,49.0,41.0
val_precision,1.0,0.0,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
val_tn,13.0,13.0,10.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0
val_fp,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
val_fn,4.0,6.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
val_tp,2.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
test_precision,0.0,1.0,0.4666666666666667,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0
recall,0.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182
f1score,0.0,0.16666666666666669,0.5384615384615385,0.15384615384615385,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.0,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077
roc,0.5,0.5454545454545454,0.6363636363636362,0.5227272727272727,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.4772727272727273,0.5,0.5227272727272727,0.5227272727272727,0.5227272727272727,0.5227272727272727,0.5909090909090909
test_tn,22.0,22.0,14.0,21.0,22.0,22.0,22.0,22.0,21.0,22.0,21.0,21.0,21.0,21.0,22.0
test_fp,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
test_fn,11.0,10.0,4.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0
test_tp,0.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
