parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9
reg_alpha,"(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')"
reg_alpha,3.1954526423902947,1.6836823836219634,1.612317276272075,1.3827966866664034,0.580189227509621,1.5364481945269748,0.4655567230986813,1.8168178724406938,0.25815944972172944
reg_lambda,"(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.5, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 3.0, 'uniform')"
reg_lambda,2.5120173367951693,1.3625813435094682,3.0,2.4802027642393543,2.203053246985727,0.52217644160993,0.4730254411883521,2.0,0.9428299046268187
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.7541541563577852,0.6691733738579273,0.6577078573310646,0.7083718948920357,0.5408840305224848,0.6279358510958724,0.46445665396784197,0.699891750081862,0.5095318276272639
scoring,precision,precision,precision,precision,accuracy,accuracy,precision,precision,precision
scoring,precision,precision,precision,precision,accuracy,accuracy,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn,warn,warn,warn
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample,1.0,0.7218428682504613,0.12441140431372101,0.7673015565766623,0.5738482152862168,0.745167486829297,0.0381232341478545,0.8983403844454824,0.3202054119296907
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)","(100000, 500000)"
subsample_for_bin,121691,144722,216489,375135,468590,455923,500000,492915,398774
subsample_freq,0,0,0,0,0,0,0,0,0
verbose,0,0,0,0,0,0,0,0,0
best_score,0.5874999999999999,0.6222222222222222,0.6031746031746031,0.5467617349970291,0.5679933665008292,0.5778682345846525,0.6388888888888888,0.5850427350427351,0.6111111111111112
best_index,17.0,15.0,35.0,11.0,48.0,43.0,44.0,20.0,42.0
acc_train,0.6984924623115578,0.6331658291457286,0.7035175879396985,0.7286432160804021,0.8844221105527639,0.8894472361809045,0.9748743718592965,0.7638190954773869,0.7386934673366834
acc_val,0.5,0.56,0.46,0.52,0.52,0.5,0.46,0.54,0.5
acc_test,0.5396825396825397,0.5396825396825397,0.5396825396825397,0.5714285714285714,0.5396825396825397,0.5396825396825397,0.6190476190476191,0.5714285714285714,0.6031746031746031
precision,0.5555555555555556,1.0,0.625,0.6428571428571429,0.5833333333333334,0.5833333333333334,0.8181818181818182,0.6428571428571429,1.0
recall,0.3225806451612903,0.06451612903225806,0.16129032258064516,0.2903225806451613,0.22580645161290322,0.22580645161290322,0.2903225806451613,0.2903225806451613,0.1935483870967742
f1score,0.40816326530612246,0.12121212121212122,0.2564102564102564,0.4,0.3255813953488372,0.3255813953488372,0.4285714285714286,0.4,0.3243243243243243
roc,0.5362903225806451,0.532258064516129,0.5337701612903226,0.5670362903225806,0.5347782258064515,0.5347782258064515,0.6139112903225806,0.5670362903225806,0.5967741935483871
tn,24.0,32.0,29.0,27.0,27.0,27.0,30.0,27.0,32.0
fp,8.0,0.0,3.0,5.0,5.0,5.0,2.0,5.0,0.0
fn,21.0,29.0,26.0,22.0,24.0,24.0,22.0,22.0,25.0
tp,10.0,2.0,5.0,9.0,7.0,7.0,9.0,9.0,6.0
acc_test1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.5238095238095238
precision1,0.6,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,1.0
recall1,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091
f1score1,0.37499999999999994,0.16666666666666669,0.16666666666666669,0.28571428571428575,0.28571428571428575,0.15384615384615385,0.28571428571428575,0.28571428571428575,0.16666666666666669
roc1,0.5363636363636364,0.5454545454545454,0.5454545454545454,0.5409090909090909,0.5409090909090909,0.4954545454545454,0.5409090909090909,0.5409090909090909,0.5454545454545454
tn1,8.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0
fp1,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
fn1,8.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0
tp1,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
acc_test2,0.5238095238095238,0.42857142857142855,0.5714285714285714,0.5238095238095238,0.47619047619047616,0.42857142857142855,0.5714285714285714,0.5238095238095238,0.5714285714285714
precision2,0.8,1.0,1.0,0.8,0.75,0.6,1.0,0.8,1.0
recall2,0.3076923076923077,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.3076923076923077
f1score2,0.4444444444444444,0.14285714285714288,0.47058823529411764,0.4444444444444444,0.3529411764705882,0.33333333333333337,0.47058823529411764,0.4444444444444444,0.47058823529411764
roc2,0.5913461538461539,0.5384615384615384,0.6538461538461539,0.5913461538461539,0.5528846153846154,0.4903846153846154,0.6538461538461539,0.5913461538461539,0.6538461538461539
tn2,7.0,8.0,8.0,7.0,7.0,6.0,8.0,7.0,8.0
fp2,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0
fn2,9.0,12.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0
tp2,4.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0
acc_test3,0.5714285714285714,0.6666666666666666,0.5238095238095238,0.6666666666666666,0.6190476190476191,0.7142857142857143,0.7619047619047619,0.6666666666666666,0.7142857142857143
precision3,0.375,0.0,0.0,0.5,0.4,0.6,0.75,0.5,1.0
recall3,0.42857142857142855,0.0,0.0,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.14285714285714285
f1score3,0.39999999999999997,0.0,0.0,0.4615384615384615,0.3333333333333333,0.5,0.5454545454545454,0.4615384615384615,0.25
roc3,0.5357142857142857,0.5,0.39285714285714285,0.6071428571428571,0.5357142857142857,0.6428571428571429,0.6785714285714286,0.6071428571428571,0.5714285714285714
tn3,9.0,14.0,11.0,11.0,11.0,12.0,13.0,11.0,14.0
fp3,5.0,0.0,3.0,3.0,3.0,2.0,1.0,3.0,0.0
fn3,4.0,7.0,7.0,4.0,5.0,4.0,4.0,4.0,6.0
tp3,3.0,0.0,0.0,3.0,2.0,3.0,3.0,3.0,1.0
