Date,Price,Open,High,Low,Vol.,Change %
24-Feb-22,"173,000","178,500","179,000","171,000",0.79K,-4.16%
23-Feb-22,"180,500","182,000","183,000","179,500",0.04K,-0.55%
22-Feb-22,"181,500","181,000","183,000","180,500",0.40K,-1.89%
21-Feb-22,"185,000","180,500","185,500","179,500",0.01K,0.82%
20-Feb-22,"183,500","183,500","183,500","183,500",-,0.00%
18-Feb-22,"183,500","181,000","184,000","180,500",425.07K,0.00%
17-Feb-22,"183,500","182,500","186,000","181,000",0.02K,0.82%
16-Feb-22,"182,000","185,000","185,000","181,500",0.00K,0.83%
15-Feb-22,"180,500","177,000","183,000","176,500",952.24K,2.27%
14-Feb-22,"176,500","179,500","181,000","176,000",0.29K,-3.55%
13-Feb-22,"183,000","183,000","183,000","183,000",-,0.00%
11-Feb-22,"183,000","183,000","184,500","181,000",996.54K,-1.35%
10-Feb-22,"185,500","186,000","187,000","182,500",0.02K,0.27%
09-Feb-22,"185,000","186,000","186,000","182,500",990.14K,0.27%
08-Feb-22,"184,500","186,500","188,000","183,500",1.06M,-1.07%
07-Feb-22,"186,500","189,500","190,000","184,500",822.87K,-1.84%
06-Feb-22,"190,000","190,000","190,000","190,000",-,0.00%
04-Feb-22,"190,000","190,500","192,000","188,000",831.95K,-0.78%
03-Feb-22,"191,500","194,500","195,000","191,500",0.33K,1.06%
28-Jan-22,"189,500","186,500","190,500","180,000",1.41M,1.61%
27-Jan-22,"186,500","190,000","191,500","185,500",0.68K,-1.84%
26-Jan-22,"190,000","193,500","194,500","189,500",0.69K,-2.31%
25-Jan-22,"194,500","196,500","197,000","190,000",1.17M,-1.27%
24-Jan-22,"197,000","197,500","200,000","195,000",655.60K,-1.50%
23-Jan-22,"200,000","200,000","200,000","200,000",-,0.00%
21-Jan-22,"200,000","199,500","201,000","198,500",511.87K,-0.99%
20-Jan-22,"202,000","200,500","202,500","199,500",0.16K,0.75%
19-Jan-22,"200,500","200,500","203,500","200,000",522.38K,-0.99%
18-Jan-22,"202,500","206,000","206,000","201,500",577.58K,-1.22%
17-Jan-22,"205,000","208,500","209,000","202,500",721.98K,-1.91%
16-Jan-22,"209,000","209,000","209,000","209,000",-,0.00%
14-Jan-22,"209,000","209,500","211,000","208,000",404.24K,-0.48%
13-Jan-22,"210,000","211,500","213,000","210,000",497.33K,-0.71%
12-Jan-22,"211,500","211,500","213,000","210,500",467.91K,0.48%
11-Jan-22,"210,500","209,500","211,000","209,000",0.07K,0.48%
10-Jan-22,"209,500","214,500","215,000","209,000",0.18K,-2.56%
09-Jan-22,"215,000","215,000","215,000","215,000",-,0.00%
07-Jan-22,"215,000","214,500","216,500","213,500",575.22K,0.47%
06-Jan-22,"214,000","210,000","216,500","210,000",0.14K,0.23%
05-Jan-22,"213,500","214,000","217,500","212,000",1.17M,1.67%
04-Jan-22,"210,000","212,000","212,500","208,500",0.06K,-0.24%
03-Jan-22,"210,500","211,500","212,500","209,000",467.14K,0.72%
