parameter,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6
reg_alpha,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_lambda,"(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 4.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')","(0.0, 2.0, 'uniform')"
reg_lambda,3.1951921507392886,0.3781717712641274,2.0410860478752677,1.2021861884701073,0.0,0.4324182612629247
scale_pos_weight,"(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')","(0.2, 2.0, 'uniform')"
scale_pos_weight,0.31441049707542845,1.055861288562209,0.9679646096494141,0.6120784265105508,0.731929003741655,1.6734107855723575
scoring,precision,accuracy,precision,precision,precision,precision
scoring,precision,accuracy,precision,precision,precision,precision
silent,warn,warn,warn,warn,warn,warn
subsample,0.4125507502211575,0.5597181714623971,0.3734620814214115,0.05447576564392038,0.740995476224128,1.0
subsample,"(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')","(0.005, 1.0, 'uniform')"
subsample_for_bin,100000,100000,50000,88529,500000,1000000
subsample_for_bin,"(100000, 500000)","(100000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 500000)","(50000, 1000000)"
subsample_freq,0,0,0,0,0,0
verbose,0,0,0,0,0,0
best_score,0.6666666666666666,0.6050052766470677,0.5651046271735927,0.5673913043478261,0.5784370015948963,0.5520833333333334
best_index,20.0,43.0,45.0,34.0,26.0,35.0
acc_train,0.625,0.695,1.0,0.715,0.725,0.99
acc_val,0.58,0.64,0.6,0.66,0.6,0.54
acc_test,0.5396825396825397,0.49206349206349204,0.4603174603174603,0.42857142857142855,0.5238095238095238,0.42857142857142855
precision,0.0,0.4375,0.39285714285714285,0.3181818181818182,0.46153846153846156,0.36666666666666664
recall,0.0,0.5,0.39285714285714285,0.25,0.42857142857142855,0.39285714285714285
f1score,0.0,0.4666666666666667,0.39285714285714285,0.28,0.4444444444444445,0.3793103448275862
roc,0.4857142857142857,0.4928571428571429,0.4535714285714285,0.41071428571428564,0.5142857142857142,0.425
tn,34.0,17.0,18.0,20.0,21.0,16.0
fp,1.0,18.0,17.0,15.0,14.0,19.0
fn,28.0,14.0,17.0,21.0,16.0,17.0
tp,0.0,14.0,11.0,7.0,12.0,11.0
acc_test1,0.5238095238095238,0.5714285714285714,0.38095238095238093,0.38095238095238093,0.5238095238095238,0.3333333333333333
precision1,0.0,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.5,0.3
recall1,0.0,0.6,0.3,0.3,0.5,0.3
f1score1,0.0,0.5714285714285713,0.3157894736842105,0.3157894736842105,0.5,0.3
roc1,0.5,0.5727272727272728,0.37727272727272726,0.37727272727272726,0.5227272727272727,0.33181818181818185
tn1,11.0,6.0,5.0,5.0,6.0,4.0
fp1,0.0,5.0,6.0,6.0,5.0,7.0
fn1,10.0,4.0,7.0,7.0,5.0,7.0
tp1,0.0,6.0,3.0,3.0,5.0,3.0
acc_test2,0.47619047619047616,0.5714285714285714,0.47619047619047616,0.5238095238095238,0.6190476190476191,0.5238095238095238
precision2,0.0,0.5454545454545454,0.4444444444444444,0.5,0.625,0.5
recall2,0.0,0.6,0.4,0.3,0.5,0.5
f1score2,0.0,0.5714285714285713,0.4210526315789474,0.37499999999999994,0.5555555555555556,0.5
roc2,0.45454545454545453,0.5727272727272728,0.47272727272727266,0.5136363636363637,0.6136363636363635,0.5227272727272727
tn2,10.0,6.0,6.0,8.0,8.0,6.0
fp2,1.0,5.0,5.0,3.0,3.0,5.0
fn2,10.0,4.0,6.0,7.0,5.0,5.0
tp2,0.0,6.0,4.0,3.0,5.0,5.0
acc_test3,0.6190476190476191,0.3333333333333333,0.5238095238095238,0.38095238095238093,0.42857142857142855,0.42857142857142855
precision3,0.0,0.2,0.4,0.14285714285714285,0.25,0.3
recall3,0.0,0.25,0.5,0.125,0.25,0.375
f1score3,0.0,0.22222222222222224,0.4444444444444445,0.13333333333333333,0.25,0.33333333333333326
roc3,0.5,0.3173076923076923,0.5192307692307693,0.3317307692307692,0.3942307692307692,0.41826923076923084
tn3,13.0,5.0,7.0,7.0,7.0,6.0
fp3,0.0,8.0,6.0,6.0,6.0,7.0
fn3,8.0,6.0,4.0,7.0,6.0,5.0
tp3,0.0,2.0,4.0,1.0,2.0,3.0
